region_bld,urt,clim,year,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,2015,1.2958929616380035
C-EEU-BGR,rur,Zone_4A Mixed Humid,2020,1.175085847927994
C-EEU-BGR,rur,Zone_4A Mixed Humid,2025,1.071488594685782
C-EEU-BGR,rur,Zone_4A Mixed Humid,2030,0.9814382070762834
C-EEU-BGR,rur,Zone_4A Mixed Humid,2035,0.9024201274151831
C-EEU-BGR,rur,Zone_4A Mixed Humid,2040,0.8328694413391147
C-EEU-BGR,rur,Zone_4A Mixed Humid,2045,0.7710055833989619
C-EEU-BGR,rur,Zone_4A Mixed Humid,2050,0.7153468526300396
C-EEU-BGR,rur,Zone_4A Mixed Humid,2055,0.664881388015576
C-EEU-BGR,rur,Zone_4A Mixed Humid,2060,0.618913710255363
C-EEU-BGR,rur,Zone_4A Mixed Humid,2065,0.575215643669742
C-EEU-BGR,rur,Zone_4A Mixed Humid,2070,0.5339391768177176
C-EEU-BGR,rur,Zone_4A Mixed Humid,2075,0.495222865761906
C-EEU-BGR,rur,Zone_4A Mixed Humid,2080,0.45918612456939406
C-EEU-BGR,rur,Zone_4A Mixed Humid,2085,0.42584475171434233
C-EEU-BGR,rur,Zone_4A Mixed Humid,2090,0.39508002801814063
C-EEU-BGR,rur,Zone_4A Mixed Humid,2095,0.36651643171939546
C-EEU-BGR,rur,Zone_4A Mixed Humid,2100,0.3397057691497995
C-EEU-BGR,rur,Zone_5A Cool Humid,2015,0.6342717473619964
C-EEU-BGR,rur,Zone_5A Cool Humid,2020,0.5751429910720062
C-EEU-BGR,rur,Zone_5A Cool Humid,2025,0.5244375603142178
C-EEU-BGR,rur,Zone_5A Cool Humid,2030,0.4803626109237166
C-EEU-BGR,rur,Zone_5A Cool Humid,2035,0.4416873985848168
C-EEU-BGR,rur,Zone_5A Cool Humid,2040,0.40764597966088534
C-EEU-BGR,rur,Zone_5A Cool Humid,2045,0.3773668606010382
C-EEU-BGR,rur,Zone_5A Cool Humid,2050,0.3501248263699604
C-EEU-BGR,rur,Zone_5A Cool Humid,2055,0.325424623984424
C-EEU-BGR,rur,Zone_5A Cool Humid,2060,0.302925852744637
C-EEU-BGR,rur,Zone_5A Cool Humid,2065,0.281537937330258
C-EEU-BGR,rur,Zone_5A Cool Humid,2070,0.2613352681822823
C-EEU-BGR,rur,Zone_5A Cool Humid,2075,0.24238566123809402
C-EEU-BGR,rur,Zone_5A Cool Humid,2080,0.2247475634306059
C-EEU-BGR,rur,Zone_5A Cool Humid,2085,0.20842870728565766
C-EEU-BGR,rur,Zone_5A Cool Humid,2090,0.19337098598185934
C-EEU-BGR,rur,Zone_5A Cool Humid,2095,0.17939060128060452
C-EEU-BGR,rur,Zone_5A Cool Humid,2100,0.16626818585020048
