region_bld,urt,clim,year,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,2015,1.295892962
C-EEU-BGR,rur,Zone_4A Mixed Humid,2020,1.175085848
C-EEU-BGR,rur,Zone_4A Mixed Humid,2025,1.071488595
C-EEU-BGR,rur,Zone_4A Mixed Humid,2030,0.981438207
C-EEU-BGR,rur,Zone_4A Mixed Humid,2035,0.902420127
C-EEU-BGR,rur,Zone_4A Mixed Humid,2040,0.832869441
C-EEU-BGR,rur,Zone_4A Mixed Humid,2045,0.771005583
C-EEU-BGR,rur,Zone_4A Mixed Humid,2050,0.715346853
C-EEU-BGR,rur,Zone_4A Mixed Humid,2055,0.664881388
C-EEU-BGR,rur,Zone_4A Mixed Humid,2060,0.61891371
C-EEU-BGR,rur,Zone_4A Mixed Humid,2065,0.575215644
C-EEU-BGR,rur,Zone_4A Mixed Humid,2070,0.533939177
C-EEU-BGR,rur,Zone_4A Mixed Humid,2075,0.495222866
C-EEU-BGR,rur,Zone_4A Mixed Humid,2080,0.459186125
C-EEU-BGR,rur,Zone_4A Mixed Humid,2085,0.425844752
C-EEU-BGR,rur,Zone_4A Mixed Humid,2090,0.395080028
C-EEU-BGR,rur,Zone_4A Mixed Humid,2095,0.366516432
C-EEU-BGR,rur,Zone_4A Mixed Humid,2100,0.339705769
C-EEU-BGR,rur,Zone_5A Cool Humid,2015,0.634271747
C-EEU-BGR,rur,Zone_5A Cool Humid,2020,0.575142991
C-EEU-BGR,rur,Zone_5A Cool Humid,2025,0.52443756
C-EEU-BGR,rur,Zone_5A Cool Humid,2030,0.480362611
C-EEU-BGR,rur,Zone_5A Cool Humid,2035,0.441687399
C-EEU-BGR,rur,Zone_5A Cool Humid,2040,0.40764598
C-EEU-BGR,rur,Zone_5A Cool Humid,2045,0.377366861
C-EEU-BGR,rur,Zone_5A Cool Humid,2050,0.350124826
C-EEU-BGR,rur,Zone_5A Cool Humid,2055,0.325424624
C-EEU-BGR,rur,Zone_5A Cool Humid,2060,0.302925853
C-EEU-BGR,rur,Zone_5A Cool Humid,2065,0.281537937
C-EEU-BGR,rur,Zone_5A Cool Humid,2070,0.261335268
C-EEU-BGR,rur,Zone_5A Cool Humid,2075,0.242385661
C-EEU-BGR,rur,Zone_5A Cool Humid,2080,0.224747563
C-EEU-BGR,rur,Zone_5A Cool Humid,2085,0.208428707
C-EEU-BGR,rur,Zone_5A Cool Humid,2090,0.193370986
C-EEU-BGR,rur,Zone_5A Cool Humid,2095,0.179390601
C-EEU-BGR,rur,Zone_5A Cool Humid,2100,0.166268186
C-EEU-BGR,urb,Zone_4A Mixed Humid,2015,3.809650911
C-EEU-BGR,urb,Zone_4A Mixed Humid,2020,3.796005263
C-EEU-BGR,urb,Zone_4A Mixed Humid,2025,3.786018111
C-EEU-BGR,urb,Zone_4A Mixed Humid,2030,3.777261904
C-EEU-BGR,urb,Zone_4A Mixed Humid,2035,3.76866534
C-EEU-BGR,urb,Zone_4A Mixed Humid,2040,3.761082593
C-EEU-BGR,urb,Zone_4A Mixed Humid,2045,3.752961085
C-EEU-BGR,urb,Zone_4A Mixed Humid,2050,3.74243419
C-EEU-BGR,urb,Zone_4A Mixed Humid,2055,3.728614623
C-EEU-BGR,urb,Zone_4A Mixed Humid,2060,3.711398888
C-EEU-BGR,urb,Zone_4A Mixed Humid,2065,3.680142892
C-EEU-BGR,urb,Zone_4A Mixed Humid,2070,3.637054865
C-EEU-BGR,urb,Zone_4A Mixed Humid,2075,3.584662555
C-EEU-BGR,urb,Zone_4A Mixed Humid,2080,3.525758348
C-EEU-BGR,urb,Zone_4A Mixed Humid,2085,3.462687564
C-EEU-BGR,urb,Zone_4A Mixed Humid,2090,3.396858816
C-EEU-BGR,urb,Zone_4A Mixed Humid,2095,3.327315888
C-EEU-BGR,urb,Zone_4A Mixed Humid,2100,3.251852871
C-EEU-BGR,urb,Zone_5A Cool Humid,2015,1.527520695
C-EEU-BGR,urb,Zone_5A Cool Humid,2020,1.522049325
C-EEU-BGR,urb,Zone_5A Cool Humid,2025,1.518044868
C-EEU-BGR,urb,Zone_5A Cool Humid,2030,1.514533973
C-EEU-BGR,urb,Zone_5A Cool Humid,2035,1.511087088
C-EEU-BGR,urb,Zone_5A Cool Humid,2040,1.508046703
C-EEU-BGR,urb,Zone_5A Cool Humid,2045,1.504790296
C-EEU-BGR,urb,Zone_5A Cool Humid,2050,1.500569424
C-EEU-BGR,urb,Zone_5A Cool Humid,2055,1.49502832
C-EEU-BGR,urb,Zone_5A Cool Humid,2060,1.488125485
