region_bld,ssp,urt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-EEU-BGR,SSP2,rur,1.930164709,1.750228839,1.595926155,1.461800818,1.344107526,1.240515421,1.148372444,1.065471679,0.990306012,0.921839563,0.856753581,0.795274445,0.737608527,0.683933688,0.634273459,0.588451014,0.545907033,0.505973955
C-EEU-BGR,SSP2,urb,5.337171606,5.318054588,5.304062979,5.291795877,5.279752428,5.269129296,5.257751381,5.243003614,5.223642943,5.199524373,5.155735948,5.09537131,5.021971737,4.939449253,4.851089556,4.758866061,4.661439144,4.555718415
C-EEU-CZE,SSP2,rur,2.63412228,2.485160151,2.337507986,2.189930243,2.043955227,1.907355263,1.783307222,1.668171428,1.557535328,1.449259171,1.340069084,1.233083719,1.131648932,1.037851621,0.951841288,0.872577311,0.799105494,0.730560026
C-EEU-CZE,SSP2,urb,8.12574171,8.486758181,8.816027703,9.101901582,9.342805306,9.570419903,9.805525964,10.03552958,10.23658867,10.39185484,10.47034569,10.48605119,10.46294022,10.42250615,10.37291788,10.31037041,10.22987414,10.12523286
C-EEU-EST,SSP2,rur,0.383979314,0.35939862,0.335715934,0.312971014,0.291987212,0.273355068,0.256558576,0.24088041,0.225872218,0.211560438,0.197863307,0.185014207,0.173019233,0.161778595,0.151210724,0.141308394,0.132049944,0.123338749
C-EEU-EST,SSP2,urb,0.95053355,0.965226717,0.976379853,0.983992561,0.990794226,0.999566678,1.00950622,1.018526015,1.025008283,1.029134028,1.03059002,1.030738583,1.029977451,1.028104229,1.024939981,1.020758889,1.015765788,1.00956817
C-EEU-HUN,SSP2,rur,2.974326381,2.777816402,2.594810189,2.421048929,2.254233362,2.096245259,1.947943351,1.808850506,1.677968027,1.554159873,1.434328441,1.319556408,1.211855683,1.112796079,1.022288856,0.939568529,0.863708441,0.793663607
C-EEU-HUN,SSP2,urb,6.878262773,6.951069016,7.01718468,7.067210865,7.094706218,7.105551804,7.104045142,7.090595783,7.063402189,7.019356051,6.944856121,6.844110963,6.728131711,6.608630491,6.489876686,6.372191141,6.254184438,6.132578613
C-EEU-LTU,SSP2,rur,1.013009179,0.935098125,0.862389517,0.792278428,0.724519136,0.661191013,0.603281232,0.549972314,0.500205879,0.453631247,0.410822655,0.371978553,0.337308793,0.306542091,0.279291428,0.255206309,0.233946184,0.215108081
C-EEU-LTU,SSP2,urb,2.24190521,2.254459702,2.2621495,2.258427193,2.241779103,2.218271349,2.192337993,2.162758321,2.126661396,2.083340779,2.036415757,1.988621412,1.943439322,1.902164464,1.8653197,1.833430844,1.806849637,1.785114203
C-EEU-LVA,SSP2,rur,0.667458794,0.614252431,0.566731295,0.522890296,0.482448664,0.44572573,0.411733009,0.379973124,0.350308355,0.322690871,0.296533105,0.271926025,0.248929631,0.227666387,0.208298883,0.190887368,0.175254602,0.161014305
C-EEU-LVA,SSP2,urb,1.516621119,1.509530672,1.50424241,1.49702583,1.488020689,1.479290475,1.468739489,1.455346384,1.439176402,1.420657382,1.39774018,1.371157517,1.341681375,1.310629669,1.279871909,1.251015258,1.22428998,1.198250746
C-EEU-POL,SSP2,rur,13.89987241,12.92223461,11.98995773,11.08791865,10.21576172,9.40469856,8.672070171,8.014805693,7.415533778,6.85755992,6.326642274,5.823094573,5.356118461,4.934320964,4.559947299,4.229367145,3.936028879,3.671969779
C-EEU-POL,SSP2,urb,24.49492906,25.48729744,26.26870282,26.80077522,27.07574794,27.18101991,27.19486469,27.14807842,27.02041705,26.77972474,26.38901997,25.86253088,25.25813063,24.64220275,24.05858593,23.52237707,23.02868491,22.55741529
C-EEU-ROU,SSP2,rur,8.321681375,7.616745046,6.999542677,6.45865805,5.979679485,5.548938042,5.15474002,4.787957562,4.443278338,4.117729875,3.811404856,3.528080962,3.271625238,3.044241046,2.845710663,2.674169508,2.524565002,2.391144307
C-EEU-ROU,SSP2,urb,12.81551565,13.14910415,13.35511139,13.45654517,13.46507449,13.38576031,13.22012857,12.96916262,12.63883701,12.23845229,11.78441255,11.3039825,10.82521756,10.37073515,9.954067884,9.581330065,9.245020072,8.932338021
C-EEU-SVK,SSP2,rur,2.317255231,2.190358819,2.072812974,1.960228354,1.851051382,1.750487919,1.660965107,1.580893728,1.50689086,1.43589393,1.364244829,1.293240065,1.225631085,1.163564397,1.107480109,1.056729206,1.010087434,0.966405361
C-EEU-SVK,SSP2,urb,3.221338553,3.416437015,3.580776851,3.70849628,3.797925253,3.862245694,3.911842005,3.948675969,3.969064747,3.968328759,3.938474088,3.88465099,3.817180035,3.745567403,3.674366095,3.604355055,3.533835758,3.460762055
C-EEU-SVN,SSP2,rur,0.975626656,0.926653061,0.879152548,0.833979343,0.792163974,0.754570769,0.720554359,0.689112034,0.659647105,0.632134347,0.605455571,0.580046334,0.555894895,0.532802202,0.51048389,0.488858249,0.467948545,0.447594116
C-EEU-SVN,SSP2,urb,1.089797994,1.167409172,1.237563321,1.300682796,1.358319101,1.412640111,1.463544814,1.509942426,1.551211156,1.587902135,1.617723758,1.642143307,1.661627318,1.676090552,1.685076008,1.688678083,1.687341557,1.68085075
C-WEU-AUT,SSP2,rur,2.628657676,2.528696383,2.429268049,2.327181715,2.222244314,2.117139946,2.013891835,1.911217811,1.807910584,1.704524205,1.59974318,1.49690807,1.397638046,1.301773456,1.209206801,1.120056071,1.033937184,0.950374717
