region_gea,ssp,scenario,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AFR,SSP1,FLRD,1.491652982,1.642949905,1.873216171,2.227477866,2.760117868,3.535344155,4.649123092,6.212473805,8.171018248,10.1505365,11.71177156,12.66440068,13.12723509,13.3205104,13.39651626,13.42867292,13.4453992,13.45654651
AFR,SSP1,nsp,1.491652982,1.642949905,1.887195396,2.28676435,2.90538723,3.818171687,5.123523408,6.902748673,9.078909165,11.27837388,13.01307951,14.07155631,14.58581676,14.80056711,14.88501807,14.92074769,14.93933244,14.95171835
CPA,SSP1,FLRD,7.72766031,10.80322232,13.05256225,13.84433272,13.86848673,13.68038608,13.50105619,13.44478513,13.47369489,13.48809855,13.49499904,13.49794983,13.49914788,13.49964666,13.49985653,13.49994576,13.49998083,13.4999936
CPA,SSP1,nsp,7.72766031,10.80322232,13.14996943,14.21281306,14.59840708,14.77481697,14.87871498,14.93865015,14.9707721,14.98677616,14.99444338,14.99772203,14.9990532,14.9996074,14.99984059,14.99993973,14.9999787,14.99999289
EEU,SSP1,FLRD,9.240224795,11.66414258,13.75657774,15.15526011,15.80715471,15.95104722,15.91663295,15.94541415,16.04199584,16.10375018,16.14221743,16.16477861,16.17821206,16.18672687,16.19203143,16.19537725,16.19743739,16.19863641
EEU,SSP1,nsp,9.240224795,11.66414258,13.85923877,15.55863205,16.63911023,17.22713099,17.54077917,17.71712683,17.82443982,17.89305575,17.93579714,17.96086513,17.97579118,17.98525208,17.99114603,17.99486361,17.99715266,17.9984849
FSU,SSP1,FLRD,8.532171864,10.95935222,13.261273,14.80356149,15.51094918,15.73176512,15.77499472,15.85623726,15.98691701,16.07485213,16.13372644,16.16695713,16.18331934,16.19183008,16.19614982,16.19827088,16.1992385,16.19965497
FSU,SSP1,nsp,8.532171864,10.95935222,13.36023773,15.19757263,16.32731492,16.99030633,17.38468806,17.6180414,17.76324112,17.86094681,17.92636271,17.9632857,17.98146593,17.99092231,17.99572202,17.99807876,17.99915389,17.99961663
LAC,SSP1,FLRD,5.812547598,7.363089489,9.248125645,11.28680095,13.10569241,14.37504492,15.13135972,15.61278593,15.93365302,16.08790484,16.15520678,16.1826037,16.19336821,16.19753863,16.19910212,16.1996818,16.19989137,16.19996382
LAC,SSP1,nsp,5.812547598,7.363089489,9.317141508,11.5872101,13.7954657,15.52504851,16.67537602,17.34753992,17.70405891,17.87544983,17.95022975,17.98067078,17.99263134,17.99726515,17.99900235,17.99964645,17.9998793,17.9999598
MEA,SSP1,FLRD,4.537542216,5.550255838,6.801286216,8.244349968,9.592126628,10.62075038,11.36632219,11.97754484,12.49877012,12.87128341,13.11810664,13.27025011,13.36204181,13.41759972,13.45095629,13.47088573,13.48272013,13.48963355
MEA,SSP1,nsp,4.537542216,5.550255838,6.852042083,8.463781335,10.0969754,11.47041041,12.52615098,13.30838315,13.88752235,14.30142601,14.57567404,14.74472234,14.84671312,14.90844413,14.94550699,14.96765081,14.98080014,14.98848172
NAM,SSP1,FLRD,24.32460983,24.73910205,24.69900172,24.29656965,23.72289476,23.1343527,22.67785787,22.495831,22.49757827,22.49865628,22.49931408,22.49966524,22.49983772,22.49992487,22.49996661,22.49998587,22.49999441,22.49999793
NAM,SSP1,nsp,24.32460983,24.73910205,24.88332262,24.94324641,24.97146816,24.98510091,24.99192501,24.99536777,24.99730919,24.99850698,24.99923786,24.99962805,24.99981969,24.99991652,24.9999629,24.9999843,24.99999379,24.9999977
PAO,SSP1,FLRD,17.36148201,19.50673017,21.43281539,22.58664842,22.91915962,22.76501986,22.51692712,22.4253852,22.46765115,22.48684293,22.49495395,22.49815976,22.49934091,22.49976942,22.49992458,22.49997688,22.49999331,22.49999816
PAO,SSP1,nsp,17.36148201,19.50673017,21.59276178,23.18781397,24.12543118,24.58622145,24.81457274,24.91709466,24.96405684,24.98538103,24.99439328,24.99795529,24.99926768,24.9997438,24.99991621,24.99997431,24.99999257,24.99999795
PAS,SSP1,FLRD,2.867558955,4.009658406,5.486095197,7.263008597,9.140913041,10.57685698,11.48379613,12.15915555,12.69803071,13.04761884,13.25356224,13.36788386,13.42965462,13.46318684,13.48103294,13.4904222,13.49526242,13.49767836
PAS,SSP1,nsp,2.867558955,4.009658406,5.527036206,7.456320613,9.622013727,11.42300553,12.65561207,13.51017283,14.10892301,14.49735426,14.72618027,14.85320429,14.92183847,14.95909649,14.97892549,14.989358,14.99473602,14.9974204
SAS,SSP1,FLRD,2.487720816,2.967523129,3.725702366,4.878723934,6.494129294,8.329953188,9.972766707,11.23539106,12.15008325,12.74655874,13.11424313,13.32133977,13.42456765,13.47067159,13.4893133,13.49630759,13.49878505,13.49961171
SAS,SSP1,nsp,2.487720816,2.967523129,3.753506115,5.008575902,6.835925573,8.996349443,10.99039596,12.48376785,13.5000925,14.16284304,14.57138125,14.80148863,14.91618628,14.96741288,14.98812588,14.99589733,14.99865006,14.99956857
WEU,SSP1,FLRD,15.39051025,16.78025853,17.71011991,18.2015907,18.30453177,18.15442681,17.95568079,17.89687602,17.94690238,17.97460561,17.98868839,17.9950936,17.99788667,17.99912785,17.99966037,17.99987768,17.99995858,17.99998654
WEU,SSP1,nsp,15.39051025,16.78025853,17.84228499,18.68604369,19.26792817,19.60678096,19.78789311,19.8854178,19.94100265,19.97178401,19.98743155,19.99454845,19.99765186,19.99903095,19.99962264,19.99986409,19.99995398,19.99998505
