region_gea,ssp,scenario,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AFR,SSP2,FLRD,1.491413943,1.632728623,1.80697027,2.008960988,2.247945436,2.563447495,2.997673772,3.614981782,4.480362601,5.60882298,6.981452827,8.497423079,9.986251897,11.27058018,12.22642089,12.8302789,13.15352111,13.30448121
CPA,SSP2,FLRD,7.727321121,10.68629811,12.66955475,13.42707845,13.53681823,13.43071501,13.30838352,13.29748785,13.36706745,13.4174506,13.4528283,13.4748638,13.48734239,13.49399038,13.49730662,13.49886793,13.49955123,13.49982972
EEU,SSP2,FLRD,9.239115265,11.600276,13.48285595,14.67747263,15.27151918,15.48088135,15.53851422,15.6518779,15.81939829,15.94244366,16.02899244,16.0875028,16.12702165,16.15374323,16.17120001,16.18238706,16.18947473,16.19388571
FSU,SSP2,FLRD,8.531491402,10.85142181,12.87236349,14.13734015,14.74543984,15.00357502,15.1411386,15.33629515,15.58464815,15.78333995,15.93497955,16.03940363,16.10479934,16.14583011,16.17077729,16.18523701,16.19295607,16.19675821
LAC,SSP2,FLRD,5.810492149,7.301534629,8.831245465,10.20961984,11.37690807,12.37968252,13.25543139,14.07912513,14.81497713,15.35056821,15.70918935,15.93348928,16.06509377,16.1354838,16.17060115,16.18713942,16.19459115,16.19780987
MEA,SSP2,FLRD,4.536739397,5.507712309,6.591042758,7.667928486,8.600112874,9.381282253,10.03638494,10.65119028,11.24683258,11.76613463,12.21686606,12.58703371,12.87861455,13.09695091,13.25080241,13.35232242,13.41512383,13.45191465
NAM,SSP2,FLRD,24.32435242,24.72930413,24.68323241,24.28125493,23.71032943,23.12530274,22.67147104,22.49115199,22.49415805,22.49622325,22.49766386,22.49854693,22.49908477,22.49944034,22.49965765,22.49979128,22.49987388,22.49992475
PAO,SSP2,FLRD,17.36154065,19.45323671,21.15038865,22.04644501,22.28356256,22.21799427,22.12755673,22.17077987,22.31470532,22.40267099,22.45202646,22.47770377,22.48998187,22.49565676,22.49825318,22.49934946,22.49977591,22.49992848
PAS,SSP2,FLRD,2.866285427,3.96285755,5.177994891,6.349992002,7.468810761,8.524503804,9.44489719,10.27643008,11.02879523,11.65100953,12.15541515,12.54500547,12.8300635,13.02770735,13.1620981,13.25564934,13.32372023,13.37522859
SAS,SSP2,FLRD,2.487651676,2.943360807,3.544233896,4.251601687,5.068710157,6.023531556,7.086392253,8.244170542,9.421188321,10.48532489,11.37758513,12.07978628,12.60145167,12.96752933,13.20910342,13.35646395,13.43678598,13.47510162
WEU,SSP2,FLRD,15.39084564,16.76032288,17.59551264,17.9774239,18.0429288,17.93664163,17.800709,17.79691229,17.88832026,17.94371397,17.97366884,17.9880183,17.99460146,17.99765619,17.99902155,17.99961583,17.99985764,17.9999493
