region_gea,year,value
WEU,NA,0.01
WEU,NA,0.01
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
WEU,NA,0.015
EEU,NA,0.01
EEU,NA,0.01
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
EEU,NA,0.015
"NAM",NA,0.01
"NAM",NA,0.01
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
"NAM",NA,0.015
PAO,NA,0.01
PAO,NA,0.01
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
PAO,NA,0.015
FSU,NA,0.01
FSU,NA,0.01
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
FSU,NA,0.015
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
AFR,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
SAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
PAS,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
LAC,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
MEA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
CPA,NA,0.005
