region_bld,clim,urt,arch,eneff,en_dem_heat_sim,en_dem_cool_sim,n_days_cool
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s1,195.8651079,24.31615313,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s2,187.1783861,22.9619112,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s3,116.5441466,23.90456116,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s51_std,85.35658307,25.21327567,53.09722222
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s52_low,38.12468591,29.64203319,62.04166667
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr11_std,195.8651079,24.31615313,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr12_low,195.8651079,24.31615313,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr21_std,187.1783861,22.9619112,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr22_low,187.1783861,22.9619112,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr31_std,116.5441466,23.90456116,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr32_low,116.5441466,23.90456116,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s1,196.3847977,24.44478056,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s2,187.6672935,23.0620224,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s3,116.8155221,23.91734987,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s51_std,85.51459929,25.17218351,53.09722222
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s52_low,38.13822199,29.62885883,62.04166667
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr11_std,196.3847977,24.44478056,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr12_low,196.3847977,24.44478056,43.5625
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr21_std,187.6672935,23.0620224,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr22_low,187.6672935,23.0620224,43.09027778
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr31_std,116.8155221,23.91734987,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr32_low,116.8155221,23.91734987,48.95138889
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s1,243.505392,7.384252004,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s2,232.8737997,6.901233771,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s3,144.9558566,8.271892779,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s51_std,106.4316991,9.690917463,24.625
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s52_low,47.82274152,15.03554725,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr11_std,243.505392,7.384252004,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr12_low,243.505392,7.384252004,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr21_std,232.8737997,6.901233771,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr22_low,232.8737997,6.901233771,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr31_std,144.9558566,8.271892779,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr32_low,144.9558566,8.271892779,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s1,236.6463323,8.289542162,16.125
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s2,226.2902798,7.771372443,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s3,140.8227256,9.268383215,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s51_std,103.3361457,10.83118403,24.625
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s52_low,46.31921552,16.35781926,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr11_std,236.6463323,8.289542162,16.125
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr12_low,236.6463323,8.289542162,16.125
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr21_std,226.2902798,7.771372443,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr22_low,226.2902798,7.771372443,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr31_std,140.8227256,9.268383215,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr32_low,140.8227256,9.268383215,20.55555556
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s1,263.0674075,4.038465628,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s2,251.4028444,3.80412564,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s3,158.2012777,4.900867259,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s51_std,117.2273711,5.938899851,16.71153846
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s52_low,55.41501773,9.696188187,25.8525641
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr11_std,263.0674075,4.038465628,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr12_low,263.0674075,4.038465628,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr21_std,251.4028444,3.80412564,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr22_low,251.4028444,3.80412564,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr31_std,158.2012777,4.900867259,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr32_low,158.2012777,4.900867259,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s1,259.8929919,4.422212049,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s2,248.3638034,4.1858579,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s3,156.3322958,5.309201722,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s51_std,115.8856686,6.389327835,16.71153846
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s52_low,54.8728658,10.40857433,25.8525641
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr11_std,259.8929919,4.422212049,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr12_low,259.8929919,4.422212049,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr21_std,248.3638034,4.1858579,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr22_low,248.3638034,4.1858579,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr31_std,156.3322958,5.309201722,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr32_low,156.3322958,5.309201722,13.96794872
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s1,319.7253082,2.055077538,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s2,305.370614,1.941781899,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s3,192.7616445,2.988286926,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s51_std,143.5852337,3.96740939,10.34659091
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s52_low,69.5722001,8.144518071,19.125
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr11_std,319.7253082,2.055077538,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr12_low,319.7253082,2.055077538,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr21_std,305.370614,1.941781899,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr22_low,305.370614,1.941781899,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr31_std,192.7616445,2.988286926,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr32_low,192.7616445,2.988286926,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s1,321.0360351,1.844753497,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s2,306.6247737,1.746926506,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s3,193.5774773,2.754317143,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s51_std,144.2224587,3.646479422,10.34659091
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s52_low,69.99729542,7.823574151,19.125
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr11_std,321.0360351,1.844753497,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr12_low,321.0360351,1.844753497,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr21_std,306.6247737,1.746926506,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr22_low,306.6247737,1.746926506,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr31_std,193.5774773,2.754317143,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr32_low,193.5774773,2.754317143,7.926136364
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s1,207.8227526,16.43281039,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s2,198.546497,15.51360462,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s3,123.9937535,17.19589263,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s51_std,91.24636608,18.75788067,44.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s52_low,41.29953884,23.96004665,54.88541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr11_std,207.8227526,16.43281039,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr12_low,207.8227526,16.43281039,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr21_std,198.546497,15.51360462,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr22_low,198.546497,15.51360462,32.5
