region_gea,fuel,year,value
CPA,electricity,2015,14.90869094
CPA,electricity,2020,19.27624027
CPA,electricity,2025,39.51690542
CPA,electricity,2030,31.41351343
CPA,electricity,2035,29.83901859
CPA,electricity,2040,33.68998497
CPA,electricity,2045,33.1767228
CPA,electricity,2050,33.56945618
CPA,electricity,2055,33.11082571
CPA,electricity,2060,35.06961975
CPA,electricity,2070,25.67723406
CPA,electricity,2080,24.91368174
CPA,electricity,2090,25.00684932
CPA,electricity,2100,26.88896688
CPA,gas,2015,4.697031948
CPA,gas,2020,5.73595421
CPA,gas,2025,18.91688623
CPA,gas,2030,25.14362712
CPA,gas,2035,20.25125523
CPA,gas,2040,28.06661554
CPA,gas,2045,35.94434783
CPA,gas,2050,38.91797209
CPA,gas,2055,41.36192218
CPA,gas,2060,42.60780071
CPA,gas,2070,22.21306915
CPA,gas,2080,19.29420989
CPA,gas,2090,21.96572177
CPA,gas,2100,24.47643707
CPA,oil,2015,1.622474172
CPA,oil,2020,3.713021308
CPA,oil,2025,17.52398428
CPA,oil,2030,22.43290634
CPA,oil,2035,23.58810396
CPA,oil,2040,35.11879295
CPA,oil,2045,36.47586191
CPA,oil,2050,45.45230778
CPA,oil,2055,46.67437352
CPA,oil,2060,42.60780071
CPA,oil,2070,22.18734315
CPA,oil,2080,20.70285505
CPA,oil,2090,23.74840739
CPA,oil,2100,27.47956584
CPA,biomass_solid,2015,10.27741247
CPA,biomass_solid,2020,70.97464754
CPA,biomass_solid,2025,10.62647638
CPA,biomass_solid,2030,12.98601174
CPA,biomass_solid,2035,10.30366208
CPA,biomass_solid,2040,17.47512081
CPA,biomass_solid,2045,20.52649901
CPA,biomass_solid,2050,20.787781119999998
CPA,biomass_solid,2055,20.53790928
CPA,biomass_solid,2060,26.00646143
CPA,biomass_solid,2070,19.90380919
CPA,biomass_solid,2080,11.3084652
CPA,biomass_solid,2090,14.13446032
CPA,biomass_solid,2100,17.19860213
CPA,coal,2015,3.313716543
CPA,coal,2020,3.476584072
CPA,coal,2025,21.80996236
CPA,coal,2030,25.13214101
CPA,coal,2035,32.58573155
CPA,coal,2040,35.71741698
CPA,coal,2045,49.30186522
CPA,coal,2050,46.58832697
CPA,coal,2055,44.80061277
CPA,coal,2060,70.75997077
CPA,coal,2070,21.39022161
CPA,coal,2080,20.73223325
CPA,coal,2090,21.96572177
CPA,coal,2100,24.47643707
EEU,electricity,2015,20.47050908
EEU,electricity,2020,36.58444074
EEU,electricity,2025,42.99864886
EEU,electricity,2030,37.15223802
EEU,electricity,2035,39.5239037
EEU,electricity,2040,36.58257567
EEU,electricity,2045,30.60312129
EEU,electricity,2050,33.95825899
EEU,electricity,2055,34.42754683
EEU,electricity,2060,38.62244598
EEU,electricity,2070,29.34677586
EEU,electricity,2080,28.5877757
EEU,electricity,2090,29.23619997
EEU,electricity,2100,33.893762
EEU,gas,2015,1.488285029
EEU,gas,2020,14.60331377
EEU,gas,2025,17.76390108
EEU,gas,2030,19.45379055
EEU,gas,2035,22.68014334
EEU,gas,2040,21.90897833
EEU,gas,2045,29.55858871
EEU,gas,2050,35.58739482
EEU,gas,2055,42.35484492
EEU,gas,2060,41.44813983
EEU,gas,2070,21.3582316
EEU,gas,2080,19.53321667
EEU,gas,2090,21.48704194
EEU,gas,2100,24.52321232
EEU,oil,2015,0.252038927
EEU,oil,2020,13.13494448
EEU,oil,2025,17.32383069
EEU,oil,2030,21.3208168
EEU,oil,2035,25.3641353
EEU,oil,2040,34.13057173
EEU,oil,2045,38.21126771
EEU,oil,2050,43.82937145
EEU,oil,2055,59.31415062
EEU,oil,2060,48.84106767
EEU,oil,2070,21.85289286
EEU,oil,2080,21.29062086
EEU,oil,2090,22.87117878
EEU,oil,2100,27.60739751
EEU,biomass_solid,2015,0.702528708
EEU,biomass_solid,2020,8.060383248
EEU,biomass_solid,2025,8.795576837
EEU,biomass_solid,2030,7.600840961
EEU,biomass_solid,2035,9.166270702
EEU,biomass_solid,2040,9.692516817
EEU,biomass_solid,2045,16.77525154
EEU,biomass_solid,2050,22.34756115
EEU,biomass_solid,2055,24.20224715
EEU,biomass_solid,2060,20.81860533
EEU,biomass_solid,2070,14.90972426
EEU,biomass_solid,2080,12.35059872
EEU,biomass_solid,2090,14.84734448
EEU,biomass_solid,2100,16.89285441
EEU,coal,2015,3.910956348
EEU,coal,2020,10.11464277
EEU,coal,2025,20.81419855
EEU,coal,2030,25.05756999
EEU,coal,2035,32.25592401
EEU,coal,2040,34.94999059
EEU,coal,2045,29.55858871
EEU,coal,2050,35.58739482
EEU,coal,2055,67.38226316
EEU,coal,2060,47.35081144
EEU,coal,2070,20.14377758
EEU,coal,2080,19.53321667
EEU,coal,2090,21.48704194
EEU,coal,2100,24.52321232
FSU,electricity,2015,20.44963003
FSU,electricity,2020,16.16117331
FSU,electricity,2025,43.4208268
FSU,electricity,2030,30.01724828
FSU,electricity,2035,27.88267572
FSU,electricity,2040,26.95839807
FSU,electricity,2045,29.37099959
FSU,electricity,2050,29.40742737
FSU,electricity,2055,30.28654032
FSU,electricity,2060,33.72092382
FSU,electricity,2070,24.43974491
FSU,electricity,2080,24.56399118
FSU,electricity,2090,24.90145851
FSU,electricity,2100,31.35417365
FSU,gas,2015,4.497247272
FSU,gas,2020,5.342317491
FSU,gas,2025,23.15181647
FSU,gas,2030,23.42199583
FSU,gas,2035,31.06256906
FSU,gas,2040,35.21348992
FSU,gas,2045,37.7119797
FSU,gas,2050,34.54530942
FSU,gas,2055,40.1413178
FSU,gas,2060,41.17529594
FSU,gas,2070,19.60518752
FSU,gas,2080,17.69343673
FSU,gas,2090,20.57000329
FSU,gas,2100,23.00283167
FSU,oil,2015,0
FSU,oil,2020,3.945958648
FSU,oil,2025,17.37559655
FSU,oil,2030,18.76705089
FSU,oil,2035,25.91181875
FSU,oil,2040,35.97780339
FSU,oil,2045,34.95846658
FSU,oil,2050,43.60165235
FSU,oil,2055,53.11304542
FSU,oil,2060,55.5466987
FSU,oil,2070,21.0517656
FSU,oil,2080,19.91683455
FSU,oil,2090,21.99487216
FSU,oil,2100,25.13671599
FSU,biomass_solid,2015,0.702528708
FSU,biomass_solid,2020,3.034103681
FSU,biomass_solid,2025,11.22038474
FSU,biomass_solid,2030,9.879097073
FSU,biomass_solid,2035,15.34076192
FSU,biomass_solid,2040,11.92030293
FSU,biomass_solid,2045,13.48438847
FSU,biomass_solid,2050,21.97832776
FSU,biomass_solid,2055,24.30533396
FSU,biomass_solid,2060,23.16783343
FSU,biomass_solid,2070,9.240988877
FSU,biomass_solid,2080,8.023349427
FSU,biomass_solid,2090,10.28610568
FSU,biomass_solid,2100,10.57989866
FSU,coal,2015,2.055792743
FSU,coal,2020,3.03444618
FSU,coal,2025,22.73960769
FSU,coal,2030,28.46821808
FSU,coal,2035,35.55703416
FSU,coal,2040,36.35193393
FSU,coal,2045,38.12522487
FSU,coal,2050,34.54530942
FSU,coal,2055,64.82145995
FSU,coal,2060,46.30211874
FSU,coal,2070,19.25458261
FSU,coal,2080,17.79651808
FSU,coal,2090,20.57000329
FSU,coal,2100,23.00283167
LAC,electricity,2015,12.73904406
LAC,electricity,2020,13.51431999
LAC,electricity,2025,29.87516724
LAC,electricity,2030,29.72043862
LAC,electricity,2035,27.31859142
LAC,electricity,2040,28.85029871
LAC,electricity,2045,27.50149058
LAC,electricity,2050,26.6969017
LAC,electricity,2055,26.74950436
LAC,electricity,2060,30.13148911
LAC,electricity,2070,23.72535752
LAC,electricity,2080,22.11288401
LAC,electricity,2090,23.49075924
LAC,electricity,2100,23.27869787
