region_bld,urt,arch,mat,bld_age,year,value
C-EEU-BGR,rur,mfh,perm,p1,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2020,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2025,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2030,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2035,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2040,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2045,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2050,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2055,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2060,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2070,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2080,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2090,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2100,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2020,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2025,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2030,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2035,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2040,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2045,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2050,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2055,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2060,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2070,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2080,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2090,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2100,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2020,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2025,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2030,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2035,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2040,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2045,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2050,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2055,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2060,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2070,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2080,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2090,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2100,23.61997792
C-EEU-BGR,rur,mfh,perm,p5,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p5,2020,55.39140196
C-EEU-BGR,rur,mfh,perm,p5,2025,56.22372281
C-EEU-BGR,rur,mfh,perm,p5,2030,57.15340174
