region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-EEU-BGR,SSP2,nsp,rur,mfh,perm,19.23461899,20.74876032,22.24896672,23.71556096,25.13076513,26.47949347,27.74986777,28.93343513,30.0251107,31.0228994,31.92746638,32.74162747,33.46982147,34.11761122,34.69124373,35.19728486,35.64233226,36.03280233
C-EEU-BGR,SSP2,nsp,rur,sfh,perm,32.15558145,34.68685565,37.19483406,39.64662116,42.01249661,44.26724072,46.39099603,48.36963137,50.19464609,51.8627049,53.37491978,54.73599812,55.9533605,57.03630662,57.99527997,58.84125705,59.58526752,60.23803803
C-EEU-BGR,SSP2,nsp,urb,mfh,perm,18.08698336,19.51078329,20.92147971,22.30056945,23.63133531,24.89959162,26.0941689,27.20711859,28.23365922,29.17191474,30.02251064,30.78809472,31.47284094,32.08198025,32.62138691,33.09723504,33.51572864,33.88290127
C-EEU-BGR,SSP2,nsp,urb,sfh,perm,31.59602068,34.08324649,36.54758189,38.9567038,41.28140908,43.49691687,45.5837153,47.52791908,49.3211755,50.9602073,52.44610713,53.78350043,54.97967867,56.04377973,56.98606534,57.817321,58.54838445,59.18979567
C-EEU-CZE,SSP2,nsp,rur,mfh,perm,24.48894429,25.61603207,26.73084542,27.8195789,28.86973984,29.87069096,30.81404475,31.69382122,32.50640508,33.25037459,33.92619346,34.53584988,35.0825119,35.57012541,36.00317634,36.38635728,36.72441048,37.02195406
C-EEU-CZE,SSP2,nsp,rur,sfh,perm,40.93952905,42.82374431,44.68743975,46.507536,48.26314842,49.93649403,51.51355097,52.9843222,54.34276379,55.58649895,56.71630291,57.73549944,58.64938472,59.46455531,60.18851062,60.82909549,61.39423782,61.89165795
C-EEU-CZE,SSP2,nsp,urb,mfh,perm,23.02780878,24.08764874,25.13594663,26.15972071,27.14722369,28.08845295,28.97552143,29.80280595,30.5669069,31.26648739,31.90198345,32.47526466,32.98931003,33.44783002,33.85504292,34.21536133,34.53324455,34.81303516
C-EEU-CZE,SSP2,nsp,urb,sfh,perm,40.22711294,42.07853972,43.90980374,45.69822728,47.42328911,49.06751572,50.61712924,52.06230659,53.39710904,54.61920113,55.72934462,56.73080542,57.62878757,58.42977284,59.14113012,59.77056774,60.32587565,60.81463984
C-EEU-EST,SSP2,nsp,rur,mfh,perm,19.10440617,20.5975865,22.08014864,23.53263334,24.93736283,26.2792036,27.54613761,28.729471,29.82381905,30.82683878,31.73882193,32.56221448,33.30110594,33.96071552,34.54699463,35.06624867,35.52482194,35.92895677
C-EEU-EST,SSP2,nsp,rur,sfh,perm,31.93789745,34.43412998,36.9126115,39.34081089,41.68917524,43.93240501,46.05040901,48.0286532,49.85813564,51.53493947,53.05955239,54.43606347,55.67130937,56.77401537,57.75413073,58.62219658,59.38881899,60.06443364
C-EEU-EST,SSP2,nsp,urb,mfh,perm,17.96453971,19.36862927,20.76273418,22.12855622,23.44947238,24.71125207,25.90259432,27.015324,28.04437765,28.98755211,29.84512169,30.61938643,31.31419184,31.93444575,32.48574445,32.97401715,33.40522959,33.78525167
C-EEU-EST,SSP2,nsp,urb,sfh,perm,31.38212475,33.83491867,36.27027047,38.65621514,40.96371403,43.16790787,45.24905506,47.19287451,48.9905209,50.63814554,52.13622765,53.48878514,54.70253571,55.78605278,56.7491125,57.60207255,58.35535446,59.01921228
C-EEU-HUN,SSP2,nsp,rur,mfh,perm,24.96969496,25.98849606,26.99863654,27.98768811,28.94435753,29.85897287,30.72385274,31.53341489,32.28422166,32.9747391,33.6051754,34.17707096,34.69304313,35.15645762,35.57112644,35.94110964,36.27050605,36.56334272
C-EEU-HUN,SSP2,nsp,rur,sfh,perm,41.74322666,43.44641306,45.13512104,46.78857352,48.38789095,49.91690424,51.36277198,52.71616201,53.97132741,55.12570379,56.17963919,57.13570877,57.99828813,58.77300389,59.46622879,60.08475027,60.63542055,61.12497189
C-EEU-HUN,SSP2,nsp,urb,mfh,perm,23.47987541,24.43788962,25.38775996,26.31779967,27.2173893,28.07743402,28.89071074,29.65197027,30.35798007,31.00729772,31.60011897,32.13789231,32.62307896,33.05884377,33.44877133,33.79667944,34.10642238,34.38178692
C-EEU-HUN,SSP2,nsp,urb,sfh,perm,41.01682487,42.69037299,44.34969463,45.97437427,47.54586092,49.04826682,50.46897405,51.79881284,53.03213627,54.16642457,55.20201974,56.14145211,56.98902115,57.75025556,58.4314172,59.03917537,59.58026307,60.0612954
C-EEU-LTU,SSP2,nsp,rur,mfh,perm,18.96811301,20.46014918,21.94363742,23.39911574,24.80882364,26.15747449,27.43284066,28.62597917,29.73123405,30.74598518,31.67025492,32.50623815,33.25779881,33.92996022,34.52850904,35.05961678,35.52952276,35.94439064
C-EEU-LTU,SSP2,nsp,rur,sfh,perm,31.7100486,34.20436838,36.6843981,39.11760209,41.47428912,43.7289037,45.8610042,47.85564016,49.70335616,51.39977201,52.9449251,54.34248472,55.59891044,56.72260002,57.72322735,58.61110967,59.39667761,60.09023529
C-EEU-LTU,SSP2,nsp,urb,mfh,perm,17.83637849,19.23939216,20.63436792,22.00300496,23.32860249,24.59678594,25.79605725,26.91800702,27.95731675,28.91152264,29.78064573,30.56674993,31.27346864,31.90552546,32.46836181,32.96778094,33.40964994,33.79976468
