region_bld,mat,eneff,value
C-EEU-BGR,perm,std,0.928571429
C-EEU-CZE,perm,std,0.941176471
C-EEU-EST,perm,std,0.875
C-EEU-HUN,perm,std,0.9
C-EEU-LTU,perm,std,0.777777778
C-EEU-LVA,perm,std,1
C-EEU-POL,perm,std,1
C-EEU-ROU,perm,std,0.928571429
C-EEU-SVK,perm,std,0.909090909
C-EEU-SVN,perm,std,0.928571429
C-WEU-AUT,perm,std,0.894736842
C-WEU-BEL,perm,std,0.833333333
C-WEU-CHE,perm,std,0.894669083
C-WEU-CYP,perm,std,0.833333333
C-WEU-DEU,perm,std,0.9
C-WEU-DNK,perm,std,1
C-WEU-ESP,perm,std,0.85
C-WEU-FIN,perm,std,1
C-WEU-FRA,perm,std,0.833333333
C-WEU-GBR,perm,std,0.916666667
C-WEU-GRC,perm,std,0.846153846
C-WEU-IRL,perm,std,0.857142857
C-WEU-ISL,perm,std,0.894669083
C-WEU-ITA,perm,std,0.833333333
C-WEU-LUX,perm,std,0.8
C-WEU-MLT,perm,std,0.857142857
C-WEU-NLD,perm,std,0.888888889
C-WEU-NOR,perm,std,0.894669083
C-WEU-PRT,perm,std,0.928571429
C-WEU-SWE,perm,std,0.875
C-EEU-BGR,perm,low,0.071428571
C-EEU-CZE,perm,low,0.058823529
C-EEU-EST,perm,low,0.125
C-EEU-HUN,perm,low,0.1
C-EEU-LTU,perm,low,0.222222222
C-EEU-LVA,perm,low,0
C-EEU-POL,perm,low,0
C-EEU-ROU,perm,low,0.071428571
C-EEU-SVK,perm,low,0.090909091
C-EEU-SVN,perm,low,0.071428571
C-WEU-AUT,perm,low,0.105263158
C-WEU-BEL,perm,low,0.166666667
C-WEU-CHE,perm,low,0.105330917
C-WEU-CYP,perm,low,0.166666667
C-WEU-DEU,perm,low,0.1
C-WEU-DNK,perm,low,0
C-WEU-ESP,perm,low,0.15
C-WEU-FIN,perm,low,0
C-WEU-FRA,perm,low,0.166666667
C-WEU-GBR,perm,low,0.083333333
C-WEU-GRC,perm,low,0.153846154
C-WEU-IRL,perm,low,0.142857143
C-WEU-ISL,perm,low,0.105330917
C-WEU-ITA,perm,low,0.166666667
C-WEU-LUX,perm,low,0.2
C-WEU-MLT,perm,low,0.142857143
C-WEU-NLD,perm,low,0.111111111
C-WEU-NOR,perm,low,0.105330917
C-WEU-PRT,perm,low,0.071428571
C-WEU-SWE,perm,low,0.125
