region_gea,ssp,scenario,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WEU,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEU,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAO,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSU,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAS,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEA,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPA,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
