mat,urt,fuel_heat_i,fuel_heat_f,value
perm,rur,biomass_solid,biomass_solid,1
perm,rur,biomass_solid,electricity,1
perm,rur,biomass_solid,coal,0
perm,rur,biomass_solid,gas,0
perm,rur,biomass_solid,oil,0
perm,rur,biomass_solid,district_heat,0
perm,rur,biomass_solid,heat_pump,1
perm,urb,biomass_solid,biomass_solid,0
perm,urb,biomass_solid,electricity,1
perm,urb,biomass_solid,coal,0
perm,urb,biomass_solid,gas,0
perm,urb,biomass_solid,oil,0
perm,urb,biomass_solid,district_heat,1
perm,urb,biomass_solid,heat_pump,1
perm,rur,electricity,biomass_solid,1
perm,rur,electricity,electricity,1
perm,rur,electricity,coal,0
perm,rur,electricity,gas,0
perm,rur,electricity,oil,0
perm,rur,electricity,district_heat,0
perm,rur,electricity,heat_pump,1
perm,urb,electricity,biomass_solid,1
perm,urb,electricity,electricity,1
perm,urb,electricity,coal,0
perm,urb,electricity,gas,0
perm,urb,electricity,oil,0
perm,urb,electricity,district_heat,1
perm,urb,electricity,heat_pump,1
perm,rur,coal,biomass_solid,1
perm,rur,coal,electricity,1
perm,rur,coal,coal,1
perm,rur,coal,gas,0
perm,rur,coal,oil,0
perm,rur,coal,district_heat,0
perm,rur,coal,heat_pump,1
perm,urb,coal,biomass_solid,0
perm,urb,coal,electricity,1
perm,urb,coal,coal,1
perm,urb,coal,gas,1
perm,urb,coal,oil,0
perm,urb,coal,district_heat,1
perm,urb,coal,heat_pump,1
perm,rur,gas,biomass_solid,1
perm,rur,gas,electricity,1
perm,rur,gas,coal,0
perm,rur,gas,gas,1
perm,rur,gas,oil,0
perm,rur,gas,district_heat,0
perm,rur,gas,heat_pump,1
perm,urb,gas,biomass_solid,0
perm,urb,gas,electricity,1
perm,urb,gas,coal,0
perm,urb,gas,gas,1
perm,urb,gas,oil,0
perm,urb,gas,district_heat,1
perm,urb,gas,heat_pump,1
perm,rur,oil,biomass_solid,1
perm,rur,oil,electricity,1
perm,rur,oil,coal,0
perm,rur,oil,gas,0
perm,rur,oil,oil,1
perm,rur,oil,district_heat,0
perm,rur,oil,heat_pump,1
perm,urb,oil,biomass_solid,0
perm,urb,oil,electricity,1
perm,urb,oil,coal,0
perm,urb,oil,gas,1
perm,urb,oil,oil,1
perm,urb,oil,district_heat,1
perm,urb,oil,heat_pump,1
perm,rur,district_heat,biomass_solid,0
perm,rur,district_heat,electricity,0
perm,rur,district_heat,coal,0
perm,rur,district_heat,gas,0
perm,rur,district_heat,oil,0
perm,rur,district_heat,district_heat,1
perm,rur,district_heat,heat_pump,0
perm,urb,district_heat,biomass_solid,0
perm,urb,district_heat,electricity,0
perm,urb,district_heat,coal,0
perm,urb,district_heat,gas,0
perm,urb,district_heat,oil,0
perm,urb,district_heat,district_heat,1
perm,urb,district_heat,heat_pump,0
perm,rur,heat_pump,biomass_solid,0
perm,rur,heat_pump,electricity,0
perm,rur,heat_pump,coal,0
perm,rur,heat_pump,gas,0
perm,rur,heat_pump,oil,0
perm,rur,heat_pump,district_heat,0
perm,rur,heat_pump,heat_pump,1
perm,urb,heat_pump,biomass_solid,0
perm,urb,heat_pump,electricity,0
perm,urb,heat_pump,coal,0
perm,urb,heat_pump,gas,0
perm,urb,heat_pump,oil,0
perm,urb,heat_pump,district_heat,0
perm,urb,heat_pump,heat_pump,1
