region_gea,fuel,year,value
AFR,biomass_solid,2015,0
AFR,biomass_solid,2020,0
AFR,biomass_solid,2025,0
AFR,biomass_solid,2030,0
AFR,biomass_solid,2035,0
AFR,biomass_solid,2040,0
AFR,biomass_solid,2045,0
AFR,biomass_solid,2050,0
AFR,biomass_solid,2055,0
AFR,biomass_solid,2060,0
AFR,biomass_solid,2070,0
AFR,biomass_solid,2080,0
AFR,biomass_solid,2090,0
AFR,biomass_solid,2100,0
AFR,coal,2015,94.6
AFR,coal,2020,94.6
AFR,coal,2025,94.6
AFR,coal,2030,94.6
AFR,coal,2035,94.6
AFR,coal,2040,94.6
AFR,coal,2045,94.6
AFR,coal,2050,94.6
AFR,coal,2055,94.6
AFR,coal,2060,94.6
AFR,coal,2070,94.6
AFR,coal,2080,94.6
AFR,coal,2090,94.6
AFR,coal,2100,94.6
AFR,district_heat,2015,25.91185944
AFR,district_heat,2020,46.06813782
AFR,district_heat,2025,52.44008651
AFR,district_heat,2030,43.32507506
AFR,district_heat,2035,34.29135715
AFR,district_heat,2040,26.57044901
AFR,district_heat,2045,47.09881311
AFR,district_heat,2050,48.05378779
AFR,district_heat,2055,40.51061476
AFR,district_heat,2060,30.55283026
AFR,district_heat,2070,14.18070352
AFR,district_heat,2080,15.01696187
AFR,district_heat,2090,10.5140436
AFR,district_heat,2100,10.65022852
AFR,electricity,2015,228.8735819
AFR,electricity,2020,179.1983778
AFR,electricity,2025,166.1126491
AFR,electricity,2030,152.8713075
AFR,electricity,2035,134.8708767
AFR,electricity,2040,113.2047503
AFR,electricity,2045,100.402109
AFR,electricity,2050,95.14252103
AFR,electricity,2055,98.14983843
AFR,electricity,2060,95.9076413
AFR,electricity,2070,85.82979445
AFR,electricity,2080,77.42033904
AFR,electricity,2090,61.92032727
AFR,electricity,2100,36.00994709
AFR,gas,2015,56.1
AFR,gas,2020,56.1
AFR,gas,2025,56.1
AFR,gas,2030,56.1
AFR,gas,2035,56.1
AFR,gas,2040,56.1
AFR,gas,2045,56.1
AFR,gas,2050,56.1
AFR,gas,2055,56.1
AFR,gas,2060,56.1
AFR,gas,2070,56.1
AFR,gas,2080,56.1
AFR,gas,2090,56.1
AFR,gas,2100,56.1
AFR,oil,2015,73.3
AFR,oil,2020,73.3
AFR,oil,2025,73.3
AFR,oil,2030,73.3
AFR,oil,2035,73.3
AFR,oil,2040,73.3
AFR,oil,2045,73.3
AFR,oil,2050,73.3
AFR,oil,2055,73.3
AFR,oil,2060,73.3
AFR,oil,2070,73.3
AFR,oil,2080,73.3
AFR,oil,2090,73.3
AFR,oil,2100,73.3
CPA,biomass_solid,2015,0
CPA,biomass_solid,2020,0
CPA,biomass_solid,2025,0
CPA,biomass_solid,2030,0
CPA,biomass_solid,2035,0
CPA,biomass_solid,2040,0
CPA,biomass_solid,2045,0
CPA,biomass_solid,2050,0
CPA,biomass_solid,2055,0
CPA,biomass_solid,2060,0
CPA,biomass_solid,2070,0
CPA,biomass_solid,2080,0
CPA,biomass_solid,2090,0
CPA,biomass_solid,2100,0
CPA,coal,2015,94.6
CPA,coal,2020,94.6
CPA,coal,2025,94.6
CPA,coal,2030,94.6
CPA,coal,2035,94.6
CPA,coal,2040,94.6
CPA,coal,2045,94.6
CPA,coal,2050,94.6
CPA,coal,2055,94.6
CPA,coal,2060,94.6
CPA,coal,2070,94.6
CPA,coal,2080,94.6
CPA,coal,2090,94.6
CPA,coal,2100,94.6
