region_gea,fuel_cool,year,value
AFR,electricity,2015,2.7
AFR,electricity,2020,2.894117647
AFR,electricity,2025,3.088235294
AFR,electricity,2030,3.282352941
AFR,electricity,2035,3.476470588
AFR,electricity,2040,3.670588235
AFR,electricity,2045,3.864705882
AFR,electricity,2050,4.058823529
AFR,electricity,2055,4.252941176
AFR,electricity,2060,4.447058824
AFR,electricity,2065,4.641176471
AFR,electricity,2070,4.835294118
AFR,electricity,2075,5.029411765
AFR,electricity,2080,5.223529412
AFR,electricity,2085,5.417647059
AFR,electricity,2090,5.611764706
AFR,electricity,2095,5.805882353
AFR,electricity,2100,6
CPA,electricity,2015,3.2
CPA,electricity,2020,3.364705882
CPA,electricity,2025,3.529411765
CPA,electricity,2030,3.694117647
CPA,electricity,2035,3.858823529
CPA,electricity,2040,4.023529412
CPA,electricity,2045,4.188235294
CPA,electricity,2050,4.352941176
CPA,electricity,2055,4.517647059
CPA,electricity,2060,4.682352941
CPA,electricity,2065,4.847058824
CPA,electricity,2070,5.011764706
CPA,electricity,2075,5.176470588
CPA,electricity,2080,5.341176471
CPA,electricity,2085,5.505882353
CPA,electricity,2090,5.670588235
CPA,electricity,2095,5.835294118
CPA,electricity,2100,6
EEU,electricity,2015,3
EEU,electricity,2020,3.176470588
EEU,electricity,2025,3.352941176
EEU,electricity,2030,3.529411765
EEU,electricity,2035,3.705882353
EEU,electricity,2040,3.882352941
EEU,electricity,2045,4.058823529
EEU,electricity,2050,4.235294118
EEU,electricity,2055,4.411764706
EEU,electricity,2060,4.588235294
EEU,electricity,2065,4.764705882
EEU,electricity,2070,4.941176471
EEU,electricity,2075,5.117647059
EEU,electricity,2080,5.294117647
EEU,electricity,2085,5.470588235
EEU,electricity,2090,5.647058824
EEU,electricity,2095,5.823529412
EEU,electricity,2100,6
FSU,electricity,2015,3
FSU,electricity,2020,3.176470588
FSU,electricity,2025,3.352941176
FSU,electricity,2030,3.529411765
FSU,electricity,2035,3.705882353
FSU,electricity,2040,3.882352941
FSU,electricity,2045,4.058823529
FSU,electricity,2050,4.235294118
FSU,electricity,2055,4.411764706
FSU,electricity,2060,4.588235294
FSU,electricity,2065,4.764705882
FSU,electricity,2070,4.941176471
FSU,electricity,2075,5.117647059
FSU,electricity,2080,5.294117647
FSU,electricity,2085,5.470588235
FSU,electricity,2090,5.647058824
FSU,electricity,2095,5.823529412
FSU,electricity,2100,6
LAC,electricity,2015,2.9
LAC,electricity,2020,3.082352941
LAC,electricity,2025,3.264705882
LAC,electricity,2030,3.447058824
LAC,electricity,2035,3.629411765
LAC,electricity,2040,3.811764706
LAC,electricity,2045,3.994117647
LAC,electricity,2050,4.176470588
LAC,electricity,2055,4.358823529
LAC,electricity,2060,4.541176471
LAC,electricity,2065,4.723529412
LAC,electricity,2070,4.905882353
LAC,electricity,2075,5.088235294
LAC,electricity,2080,5.270588235
LAC,electricity,2085,5.452941176
LAC,electricity,2090,5.635294118
LAC,electricity,2095,5.817647059
LAC,electricity,2100,6
MEA,electricity,2015,2.9
MEA,electricity,2020,3.082352941
MEA,electricity,2025,3.264705882
MEA,electricity,2030,3.447058824
MEA,electricity,2035,3.629411765
MEA,electricity,2040,3.811764706
MEA,electricity,2045,3.994117647
MEA,electricity,2050,4.176470588
MEA,electricity,2055,4.358823529
MEA,electricity,2060,4.541176471
MEA,electricity,2065,4.723529412
MEA,electricity,2070,4.905882353
MEA,electricity,2075,5.088235294
MEA,electricity,2080,5.270588235
MEA,electricity,2085,5.452941176
MEA,electricity,2090,5.635294118
MEA,electricity,2095,5.817647059
MEA,electricity,2100,6
"NAM",electricity,2015,3
"NAM",electricity,2020,3.176470588
"NAM",electricity,2025,3.352941176
"NAM",electricity,2030,3.529411765
"NAM",electricity,2035,3.705882353
"NAM",electricity,2040,3.882352941
"NAM",electricity,2045,4.058823529
"NAM",electricity,2050,4.235294118
"NAM",electricity,2055,4.411764706
"NAM",electricity,2060,4.588235294
"NAM",electricity,2065,4.764705882
"NAM",electricity,2070,4.941176471
"NAM",electricity,2075,5.117647059
"NAM",electricity,2080,5.294117647
"NAM",electricity,2085,5.470588235
"NAM",electricity,2090,5.647058824
"NAM",electricity,2095,5.823529412
"NAM",electricity,2100,6
PAO,electricity,2015,3
PAO,electricity,2020,3.176470588
PAO,electricity,2025,3.352941176
PAO,electricity,2030,3.529411765
PAO,electricity,2035,3.705882353
PAO,electricity,2040,3.882352941
PAO,electricity,2045,4.058823529
PAO,electricity,2050,4.235294118
PAO,electricity,2055,4.411764706
PAO,electricity,2060,4.588235294
PAO,electricity,2065,4.764705882
PAO,electricity,2070,4.941176471
PAO,electricity,2075,5.117647059
PAO,electricity,2080,5.294117647
PAO,electricity,2085,5.470588235
PAO,electricity,2090,5.647058824
PAO,electricity,2095,5.823529412
PAO,electricity,2100,6
PAS,electricity,2015,2.9
PAS,electricity,2020,3.082352941
PAS,electricity,2025,3.264705882
PAS,electricity,2030,3.447058824
PAS,electricity,2035,3.629411765
PAS,electricity,2040,3.811764706
PAS,electricity,2045,3.994117647
PAS,electricity,2050,4.176470588
PAS,electricity,2055,4.358823529
PAS,electricity,2060,4.541176471
PAS,electricity,2065,4.723529412
PAS,electricity,2070,4.905882353
PAS,electricity,2075,5.088235294
PAS,electricity,2080,5.270588235
PAS,electricity,2085,5.452941176
PAS,electricity,2090,5.635294118
PAS,electricity,2095,5.817647059
PAS,electricity,2100,6
SAS,electricity,2015,2.9
SAS,electricity,2020,3.082352941
SAS,electricity,2025,3.264705882
SAS,electricity,2030,3.447058824
SAS,electricity,2035,3.629411765
SAS,electricity,2040,3.811764706
SAS,electricity,2045,3.994117647
SAS,electricity,2050,4.176470588
SAS,electricity,2055,4.358823529
SAS,electricity,2060,4.541176471
SAS,electricity,2065,4.723529412
SAS,electricity,2070,4.905882353
SAS,electricity,2075,5.088235294
SAS,electricity,2080,5.270588235
SAS,electricity,2085,5.452941176
SAS,electricity,2090,5.635294118
SAS,electricity,2095,5.817647059
SAS,electricity,2100,6
WEU,electricity,2015,3
WEU,electricity,2020,3.176470588
WEU,electricity,2025,3.352941176
WEU,electricity,2030,3.529411765
WEU,electricity,2035,3.705882353
WEU,electricity,2040,3.882352941
WEU,electricity,2045,4.058823529
WEU,electricity,2050,4.235294118
WEU,electricity,2055,4.411764706
WEU,electricity,2060,4.588235294
WEU,electricity,2065,4.764705882
WEU,electricity,2070,4.941176471
WEU,electricity,2075,5.117647059
WEU,electricity,2080,5.294117647
WEU,electricity,2085,5.470588235
WEU,electricity,2090,5.647058824
WEU,electricity,2095,5.823529412
WEU,electricity,2100,6
