node,commodity,level,year,time,value,mrg
R11_AFR,coal,final,2020,year,1,0
R11_AFR,coal,final,2025,year,1,0
R11_AFR,coal,final,2030,year,1,0
R11_AFR,coal,final,2035,year,1,0
R11_AFR,coal,final,2040,year,1,0
R11_AFR,coal,final,2045,year,1,0
R11_AFR,coal,final,2050,year,1,0
R11_AFR,coal,final,2055,year,1,0
R11_AFR,coal,final,2060,year,1,0
R11_AFR,coal,final,2070,year,1,0
R11_AFR,coal,final,2080,year,1,0
R11_AFR,coal,final,2090,year,1,0
R11_AFR,coal,final,2100,year,1,0
R11_AFR,coal,final,2110,year,1,0
R11_AFR,electr,final,2020,year,1,0
R11_AFR,electr,final,2025,year,1,0
R11_AFR,electr,final,2030,year,1,0
R11_AFR,electr,final,2035,year,1,0
R11_AFR,electr,final,2040,year,1,0
R11_AFR,electr,final,2045,year,1,0
R11_AFR,electr,final,2050,year,1,0
R11_AFR,electr,final,2055,year,1,0
R11_AFR,electr,final,2060,year,1,0
R11_AFR,electr,final,2070,year,1,0
R11_AFR,electr,final,2080,year,1,0
R11_AFR,electr,final,2090,year,1,0
R11_AFR,electr,final,2100,year,1,0
R11_AFR,electr,final,2110,year,1,0
R11_AFR,gas,final,2020,year,1,0
R11_AFR,gas,final,2025,year,1,0
R11_AFR,gas,final,2030,year,1,0
R11_AFR,gas,final,2035,year,1,0
R11_AFR,gas,final,2040,year,1,0
R11_AFR,gas,final,2045,year,1,0
R11_AFR,gas,final,2050,year,1,0
R11_AFR,gas,final,2055,year,1,0
R11_AFR,gas,final,2060,year,1,0
R11_AFR,gas,final,2070,year,1,0
R11_AFR,gas,final,2080,year,1,0
R11_AFR,gas,final,2090,year,1,0
R11_AFR,gas,final,2100,year,1,0
R11_AFR,gas,final,2110,year,1,0
R11_AFR,lightoil,final,2020,year,1,0
R11_AFR,lightoil,final,2025,year,1,0
R11_AFR,lightoil,final,2030,year,1,0
R11_AFR,lightoil,final,2035,year,1,0
R11_AFR,lightoil,final,2040,year,1,0
R11_AFR,lightoil,final,2045,year,1,0
R11_AFR,lightoil,final,2050,year,1,0
R11_AFR,lightoil,final,2055,year,1,0
R11_AFR,lightoil,final,2060,year,1,0
R11_AFR,lightoil,final,2070,year,1,0
R11_AFR,lightoil,final,2080,year,1,0
R11_AFR,lightoil,final,2090,year,1,0
R11_AFR,lightoil,final,2100,year,1,0
R11_AFR,lightoil,final,2110,year,1,0
R11_AFR,biomass,final,2020,year,1,0
R11_AFR,biomass,final,2025,year,1,0
R11_AFR,biomass,final,2030,year,1,0
R11_AFR,biomass,final,2035,year,1,0
R11_AFR,biomass,final,2040,year,1,0
R11_AFR,biomass,final,2045,year,1,0
R11_AFR,biomass,final,2050,year,1,0
R11_AFR,biomass,final,2055,year,1,0
R11_AFR,biomass,final,2060,year,1,0
R11_AFR,biomass,final,2070,year,1,0
R11_AFR,biomass,final,2080,year,1,0
R11_AFR,biomass,final,2090,year,1,0
R11_AFR,biomass,final,2100,year,1,0
R11_AFR,biomass,final,2110,year,1,0
R11_AFR,d_heat,final,2020,year,1,0
R11_AFR,d_heat,final,2025,year,1,0
R11_AFR,d_heat,final,2030,year,1,0
R11_AFR,d_heat,final,2035,year,1,0
R11_AFR,d_heat,final,2040,year,1,0
R11_AFR,d_heat,final,2045,year,1,0
R11_AFR,d_heat,final,2050,year,1,0
R11_AFR,d_heat,final,2055,year,1,0
