region_bld,inc_cl,urt,year,value
C-WEU-AUT,q1,rur,2015,17374.46917
C-WEU-AUT,q2,rur,2015,27698.38126
C-WEU-AUT,q3,rur,2015,46549.29505
C-WEU-AUT,q1,urb,2015,28680.58631
C-WEU-AUT,q2,urb,2015,46762.99666
C-WEU-AUT,q3,urb,2015,80331.30769
C-WEU-AUT,q1,rur,2020,18015.23241
C-WEU-AUT,q2,rur,2020,29107.83942
C-WEU-AUT,q3,rur,2020,50199.97961
C-WEU-AUT,q1,urb,2020,30594.54136
C-WEU-AUT,q2,urb,2020,50466.85232
C-WEU-AUT,q3,urb,2020,88254.41278
C-WEU-AUT,q1,rur,2025,19056.52518
C-WEU-AUT,q2,rur,2025,31191.51068
C-WEU-AUT,q3,rur,2025,53760.68875
C-WEU-AUT,q1,urb,2025,32014.458
C-WEU-AUT,q2,urb,2025,53553.01817
C-WEU-AUT,q3,urb,2025,94641.31055
C-WEU-AUT,q1,rur,2030,19690.44109
C-WEU-AUT,q2,rur,2030,32706.65778
C-WEU-AUT,q3,rur,2030,57449.58691
C-WEU-AUT,q1,urb,2030,33236.21749
C-WEU-AUT,q2,urb,2030,57087.96679
C-WEU-AUT,q3,urb,2030,102589.2467
C-WEU-AUT,q1,rur,2035,20371.92854
C-WEU-AUT,q2,rur,2035,34457.76633
C-WEU-AUT,q3,rur,2035,61401.70433
C-WEU-AUT,q1,urb,2035,34063.4599
C-WEU-AUT,q2,urb,2035,59290.34749
C-WEU-AUT,q3,urb,2035,109833.949
C-WEU-AUT,q1,rur,2040,21035.86683
C-WEU-AUT,q2,rur,2040,36015.71643
C-WEU-AUT,q3,rur,2040,64956.06275
C-WEU-AUT,q1,urb,2040,35716.44101
C-WEU-AUT,q2,urb,2040,62727.17096
C-WEU-AUT,q3,urb,2040,119415.5447
C-WEU-AUT,q1,rur,2045,21808.14987
C-WEU-AUT,q2,rur,2045,37736.77235
C-WEU-AUT,q3,rur,2045,69910.39956
C-WEU-AUT,q1,urb,2045,37170.69747
C-WEU-AUT,q2,urb,2045,66529.12416
C-WEU-AUT,q3,urb,2045,126274.3597
C-WEU-AUT,q1,rur,2050,22470.06757
C-WEU-AUT,q2,rur,2050,39718.14952
C-WEU-AUT,q3,rur,2050,73574.5596
C-WEU-AUT,q1,urb,2050,38606.76252
C-WEU-AUT,q2,urb,2050,68996.30686
C-WEU-AUT,q3,urb,2050,131614.9024
C-WEU-AUT,q1,rur,2055,22911.98394
C-WEU-AUT,q2,rur,2055,40959.85528
C-WEU-AUT,q3,rur,2055,78567.23649
C-WEU-AUT,q1,urb,2055,39117.42145
C-WEU-AUT,q2,urb,2055,71079.00211
C-WEU-AUT,q3,urb,2055,142146.1615
C-WEU-AUT,q1,rur,2060,23360.0584
C-WEU-AUT,q2,rur,2060,42081.3464
C-WEU-AUT,q3,rur,2060,81804.70909
C-WEU-AUT,q1,urb,2060,40016.09241
C-WEU-AUT,q2,urb,2060,73966.34768
C-WEU-AUT,q3,urb,2060,148820.2165
C-WEU-AUT,q1,rur,2065,24219.95251
C-WEU-AUT,q2,rur,2065,44472.27379
C-WEU-AUT,q3,rur,2065,88061.06159
C-WEU-AUT,q1,urb,2065,41570.80643
C-WEU-AUT,q2,urb,2065,77783.64011
C-WEU-AUT,q3,urb,2065,158128.7463
C-WEU-AUT,q1,rur,2070,25141.56456
C-WEU-AUT,q2,rur,2070,46679.88862
C-WEU-AUT,q3,rur,2070,93676.91116
C-WEU-AUT,q1,urb,2070,42423.99766
C-WEU-AUT,q2,urb,2070,81720.71038
C-WEU-AUT,q3,urb,2070,169160.9939
C-WEU-AUT,q1,rur,2075,25449.60713
C-WEU-AUT,q2,rur,2075,47653.37688
C-WEU-AUT,q3,rur,2075,97426.62522
