year,region_bld,value
2025,C-EEU-BGR,61045.63
2030,C-EEU-BGR,81394.17
2035,C-EEU-BGR,81394.17
2040,C-EEU-BGR,81394.17
2045,C-EEU-BGR,81394.17
2050,C-EEU-BGR,81394.17
2025,C-EEU-CZE,114323.55
2030,C-EEU-CZE,152431.41
2035,C-EEU-CZE,152431.41
2040,C-EEU-CZE,152431.41
2045,C-EEU-CZE,152431.41
2050,C-EEU-CZE,152431.41
2025,C-EEU-EST,7279.16
2030,C-EEU-EST,9705.55
2035,C-EEU-EST,9705.55
2040,C-EEU-EST,9705.55
2045,C-EEU-EST,9705.55
2050,C-EEU-EST,9705.55
2025,C-EEU-HUN,64256.02
2030,C-EEU-HUN,85674.69
2035,C-EEU-HUN,85674.69
2040,C-EEU-HUN,85674.69
2045,C-EEU-HUN,85674.69
2050,C-EEU-HUN,85674.69
2025,C-EEU-LTU,19104.93
2030,C-EEU-LTU,25473.24
2035,C-EEU-LTU,25473.24
2040,C-EEU-LTU,25473.24
2045,C-EEU-LTU,25473.24
2050,C-EEU-LTU,25473.24
2025,C-EEU-LVA,12285.45
2030,C-EEU-LVA,16380.60
2035,C-EEU-LVA,16380.60
2040,C-EEU-LVA,16380.60
2045,C-EEU-LVA,16380.60
2050,C-EEU-LVA,16380.60
2025,C-EEU-POL,308529.65
2030,C-EEU-POL,411372.87
2035,C-EEU-POL,411372.87
2040,C-EEU-POL,411372.87
2045,C-EEU-POL,411372.87
2050,C-EEU-POL,411372.87
2025,C-EEU-ROU,164400.42
2030,C-EEU-ROU,219200.56
2035,C-EEU-ROU,219200.56
2040,C-EEU-ROU,219200.56
2045,C-EEU-ROU,219200.56
2050,C-EEU-ROU,219200.56
2025,C-EEU-SVK,32638.14
2030,C-EEU-SVK,43517.52
2035,C-EEU-SVK,43517.52
2040,C-EEU-SVK,43517.52
2045,C-EEU-SVK,43517.52
2050,C-EEU-SVK,43517.52
2025,C-EEU-SVN,17349.57
2030,C-EEU-SVN,23132.76
2035,C-EEU-SVN,23132.76
2040,C-EEU-SVN,23132.76
2045,C-EEU-SVN,23132.76
2050,C-EEU-SVN,23132.76
2025,C-WEU-AUT,110834.56
2030,C-WEU-AUT,147779.41
2035,C-WEU-AUT,147779.41
2040,C-WEU-AUT,147779.41
2045,C-WEU-AUT,147779.41
2050,C-WEU-AUT,147779.41
2025,C-WEU-BEL,86124.05
2030,C-WEU-BEL,114832.06
2035,C-WEU-BEL,114832.06
2040,C-WEU-BEL,114832.06
2045,C-WEU-BEL,114832.06
2050,C-WEU-BEL,114832.06
2025,C-WEU-CYP,15686.98
2030,C-WEU-CYP,20915.98
2035,C-WEU-CYP,20915.98
2040,C-WEU-CYP,20915.98
2045,C-WEU-CYP,20915.98
2050,C-WEU-CYP,20915.98
2025,C-WEU-DEU,615926.68
2030,C-WEU-DEU,821235.58
2035,C-WEU-DEU,821235.58
2040,C-WEU-DEU,821235.58
2045,C-WEU-DEU,821235.58
2050,C-WEU-DEU,821235.58
2025,C-WEU-DNK,25553.33
2030,C-WEU-DNK,34071.10
2035,C-WEU-DNK,34071.10
2040,C-WEU-DNK,34071.10
2045,C-WEU-DNK,34071.10
2050,C-WEU-DNK,34071.10
2025,C-WEU-ESP,573738.29
2030,C-WEU-ESP,764984.38
2035,C-WEU-ESP,764984.38
2040,C-WEU-ESP,764984.38
2045,C-WEU-ESP,764984.38
2050,C-WEU-ESP,764984.38
2025,C-WEU-FIN,12359.01
2030,C-WEU-FIN,16478.68
2035,C-WEU-FIN,16478.68
2040,C-WEU-FIN,16478.68
2045,C-WEU-FIN,16478.68
2050,C-WEU-FIN,16478.68
2025,C-WEU-FRA,529329.41
2030,C-WEU-FRA,705772.54
2035,C-WEU-FRA,705772.54
2040,C-WEU-FRA,705772.54
2045,C-WEU-FRA,705772.54
2050,C-WEU-FRA,705772.54
2025,C-WEU-GRC,85869.03
2030,C-WEU-GRC,114492.03
2035,C-WEU-GRC,114492.03
2040,C-WEU-GRC,114492.03
2045,C-WEU-GRC,114492.03
2050,C-WEU-GRC,114492.03
2025,C-WEU-HRV,32396.00
2030,C-WEU-HRV,43194.00
2035,C-WEU-HRV,43194.00
2040,C-WEU-HRV,43194.00
2045,C-WEU-HRV,43194.00
2050,C-WEU-HRV,43194.00
2025,C-WEU-IRL,18540.16
2030,C-WEU-IRL,24720.21
2035,C-WEU-IRL,24720.21
2040,C-WEU-IRL,24720.21
2045,C-WEU-IRL,24720.21
2050,C-WEU-IRL,24720.21
2025,C-WEU-ITA,691655.50
2030,C-WEU-ITA,922207.33
2035,C-WEU-ITA,922207.33
2040,C-WEU-ITA,922207.33
2045,C-WEU-ITA,922207.33
2050,C-WEU-ITA,922207.33
2025,C-WEU-LUX,1728.28
2030,C-WEU-LUX,2304.37
2035,C-WEU-LUX,2304.37
