region_bld,bld_age,value
C-WEU-AUT,p1,1
C-WEU-BEL,p1,3
C-EEU-BGR,p1,1.4
C-WEU-CYP,p1,3.4
C-EEU-CZE,p1,1
C-WEU-DNK,p1,0.8
C-EEU-EST,p1,0.5
C-WEU-FIN,p1,0.4
C-WEU-FRA,p1,1.4
C-WEU-DEU,p1,1.5
C-WEU-GRC,p1,3
C-EEU-HUN,p1,1.1
C-WEU-IRL,p1,1.2
C-WEU-ITA,p1,1.5
C-EEU-LVA,p1,1.2
C-EEU-LTU,p1,1
C-WEU-LUX,p1,1.4
C-WEU-MLT,p1,1.9
C-WEU-NLD,p1,1.8
C-EEU-POL,p1,0.8
C-WEU-PRT,p1,3.1
C-EEU-ROU,p1,1.4
C-EEU-SVK,p1,2
C-EEU-SVN,p1,1.6
C-WEU-ESP,p1,3.1
C-WEU-SWE,p1,0.3
C-WEU-GBR,p1,2.3
C-WEU-AUT,p2,0.7
C-WEU-BEL,p2,1.7
C-EEU-BGR,p2,1
C-WEU-CYP,p2,1.7
C-EEU-CZE,p2,0.7
C-WEU-DNK,p2,0.4
C-EEU-EST,p2,0.3
C-WEU-FIN,p2,0.3
C-WEU-FRA,p2,1.2
C-WEU-DEU,p2,0.7
C-WEU-GRC,p2,1.9
C-EEU-HUN,p2,0.6
C-WEU-IRL,p2,0.6
C-WEU-ITA,p2,1.2
C-EEU-LVA,p2,1.1
C-EEU-LTU,p2,0.7
C-WEU-LUX,p2,0.7
C-WEU-MLT,p2,1.8
C-WEU-NLD,p2,1
C-EEU-POL,p2,0.6
C-WEU-PRT,p2,2.7
C-EEU-ROU,p2,1.3
C-EEU-SVK,p2,1.1
C-EEU-SVN,p2,0.7
C-WEU-ESP,p2,1.7
C-WEU-SWE,p2,0.2
C-WEU-GBR,p2,1.5
C-WEU-AUT,p3,0.3
C-WEU-BEL,p3,0.4
C-EEU-BGR,p3,0.4
C-WEU-CYP,p3,0.8
C-EEU-CZE,p3,0.3
C-WEU-DNK,p3,0.1
C-EEU-EST,p3,0.2
C-WEU-FIN,p3,0.1
C-WEU-FRA,p3,0.3
C-WEU-DEU,p3,0.3
C-WEU-GRC,p3,0.8
C-EEU-HUN,p3,0.3
C-WEU-IRL,p3,0.2
C-WEU-ITA,p3,0.5
C-EEU-LVA,p3,0.6
C-EEU-LTU,p3,0.4
C-WEU-LUX,p3,0.3
C-WEU-MLT,p3,1.8
C-WEU-NLD,p3,0.3
C-EEU-POL,p3,0.4
C-WEU-PRT,p3,1.9
C-EEU-ROU,p3,1.1
C-EEU-SVK,p3,0.5
C-EEU-SVN,p3,0.2
C-WEU-ESP,p3,0.6
C-WEU-SWE,p3,0.1
C-WEU-GBR,p3,0.2
C-WEU-AUT,p5,0.16
C-WEU-BEL,p5,0.21
C-EEU-BGR,p5,0.22
C-WEU-CYP,p5,0.67
C-EEU-CZE,p5,0.2
C-WEU-DNK,p5,0.05
C-EEU-EST,p5,0.2
C-WEU-FIN,p5,0.1
C-WEU-FRA,p5,0.14
C-WEU-DEU,p5,0.19
C-WEU-GRC,p5,0.44
C-EEU-HUN,p5,0.21
C-WEU-IRL,p5,0.16
C-WEU-ITA,p5,0.28
C-EEU-LVA,p5,0.33
C-EEU-LTU,p5,0.35
C-WEU-LUX,p5,0.2
C-WEU-MLT,p5,0.2
C-WEU-NLD,p5,0.16
C-EEU-POL,p5,0.33
C-WEU-PRT,p5,0.55
C-EEU-ROU,p5,0.29
C-EEU-SVK,p5,0.23
C-EEU-SVN,p5,0.2
C-WEU-ESP,p5,0.46
C-WEU-SWE,p5,0.13
C-WEU-GBR,p5,0.16
C-WEU-HRV,p1,1.7
C-WEU-HRV,p2,0.6
C-WEU-HRV,p3,0.2
C-WEU-HRV,p5,0.2
