region_gea,eneff,year,value
AFR,s51_std,2020,0
AFR,s51_std,2025,99999
AFR,s51_std,2030,99999
AFR,s51_std,2035,99999
AFR,s51_std,2040,99999
AFR,s51_std,2045,99999
AFR,s51_std,2050,99999
AFR,s51_std,2055,99999
AFR,s51_std,2060,99999
AFR,s51_std,2065,99999
AFR,s51_std,2070,99999
AFR,s51_std,2075,99999
AFR,s51_std,2080,99999
AFR,s51_std,2085,99999
AFR,s51_std,2090,99999
AFR,s51_std,2095,99999
AFR,s51_std,2100,99999
AFR,s52_low,2020,4000
AFR,s52_low,2025,1000
AFR,s52_low,2030,1000
AFR,s52_low,2035,1000
AFR,s52_low,2040,1000
AFR,s52_low,2045,1000
AFR,s52_low,2050,1000
AFR,s52_low,2055,1000
AFR,s52_low,2060,1000
AFR,s52_low,2065,1000
AFR,s52_low,2070,1000
AFR,s52_low,2075,1000
AFR,s52_low,2080,1000
AFR,s52_low,2085,1000
AFR,s52_low,2090,1000
AFR,s52_low,2095,1000
AFR,s52_low,2100,1000
CPA,s51_std,2020,0
CPA,s51_std,2025,99999
CPA,s51_std,2030,99999
CPA,s51_std,2035,99999
CPA,s51_std,2040,99999
CPA,s51_std,2045,99999
CPA,s51_std,2050,99999
CPA,s51_std,2055,99999
CPA,s51_std,2060,99999
CPA,s51_std,2065,99999
CPA,s51_std,2070,99999
CPA,s51_std,2075,99999
CPA,s51_std,2080,99999
CPA,s51_std,2085,99999
CPA,s51_std,2090,99999
CPA,s51_std,2095,99999
CPA,s51_std,2100,99999
CPA,s52_low,2020,4000
CPA,s52_low,2025,1000
CPA,s52_low,2030,1000
CPA,s52_low,2035,1000
CPA,s52_low,2040,1000
CPA,s52_low,2045,1000
CPA,s52_low,2050,1000
CPA,s52_low,2055,1000
CPA,s52_low,2060,1000
CPA,s52_low,2065,1000
CPA,s52_low,2070,1000
CPA,s52_low,2075,1000
CPA,s52_low,2080,1000
CPA,s52_low,2085,1000
CPA,s52_low,2090,1000
CPA,s52_low,2095,1000
CPA,s52_low,2100,1000
EEU,s51_std,2020,1000
EEU,s51_std,2025,99999
EEU,s51_std,2030,99999
EEU,s51_std,2035,99999
EEU,s51_std,2040,99999
EEU,s51_std,2045,99999
EEU,s51_std,2050,99999
EEU,s51_std,2055,99999
EEU,s51_std,2060,99999
EEU,s51_std,2065,99999
EEU,s51_std,2070,99999
EEU,s51_std,2075,99999
EEU,s51_std,2080,99999
EEU,s51_std,2085,99999
EEU,s51_std,2090,99999
EEU,s51_std,2095,99999
EEU,s51_std,2100,99999
EEU,s52_low,2020,0
EEU,s52_low,2025,0
EEU,s52_low,2030,0
EEU,s52_low,2035,0
EEU,s52_low,2040,0
EEU,s52_low,2045,0
EEU,s52_low,2050,0
EEU,s52_low,2055,0
EEU,s52_low,2060,0
EEU,s52_low,2065,0
EEU,s52_low,2070,0
EEU,s52_low,2075,0
EEU,s52_low,2080,0
EEU,s52_low,2085,0
EEU,s52_low,2090,0
EEU,s52_low,2095,0
EEU,s52_low,2100,0
FSU,s51_std,2020,0
FSU,s51_std,2025,99999
FSU,s51_std,2030,99999
FSU,s51_std,2035,99999
FSU,s51_std,2040,99999
FSU,s51_std,2045,99999
FSU,s51_std,2050,99999
FSU,s51_std,2055,99999
FSU,s51_std,2060,99999
FSU,s51_std,2065,99999
FSU,s51_std,2070,99999
FSU,s51_std,2075,99999
FSU,s51_std,2080,99999
FSU,s51_std,2085,99999
FSU,s51_std,2090,99999
FSU,s51_std,2095,99999
FSU,s51_std,2100,99999
FSU,s52_low,2020,4000
FSU,s52_low,2025,1000
FSU,s52_low,2030,1000
FSU,s52_low,2035,1000
FSU,s52_low,2040,1000
FSU,s52_low,2045,1000
FSU,s52_low,2050,1000
FSU,s52_low,2055,1000
FSU,s52_low,2060,1000
FSU,s52_low,2065,1000
FSU,s52_low,2070,1000
FSU,s52_low,2075,1000
FSU,s52_low,2080,1000
FSU,s52_low,2085,1000
FSU,s52_low,2090,1000
FSU,s52_low,2095,1000
FSU,s52_low,2100,1000
LAC,s51_std,2020,0
LAC,s51_std,2025,99999
LAC,s51_std,2030,99999
LAC,s51_std,2035,99999
LAC,s51_std,2040,99999
LAC,s51_std,2045,99999
LAC,s51_std,2050,99999
LAC,s51_std,2055,99999
LAC,s51_std,2060,99999
LAC,s51_std,2065,99999
LAC,s51_std,2070,99999
LAC,s51_std,2075,99999
LAC,s51_std,2080,99999
LAC,s51_std,2085,99999
LAC,s51_std,2090,99999
LAC,s51_std,2095,99999
LAC,s51_std,2100,99999
LAC,s52_low,2020,4000
LAC,s52_low,2025,1000
LAC,s52_low,2030,1000
LAC,s52_low,2035,1000
LAC,s52_low,2040,1000
LAC,s52_low,2045,1000
LAC,s52_low,2050,1000
LAC,s52_low,2055,1000
LAC,s52_low,2060,1000
LAC,s52_low,2065,1000
LAC,s52_low,2070,1000
LAC,s52_low,2075,1000
LAC,s52_low,2080,1000
LAC,s52_low,2085,1000
LAC,s52_low,2090,1000
LAC,s52_low,2095,1000
LAC,s52_low,2100,1000
MEA,s51_std,2020,0
MEA,s51_std,2025,99999
MEA,s51_std,2030,99999
MEA,s51_std,2035,99999
MEA,s51_std,2040,99999
MEA,s51_std,2045,99999
MEA,s51_std,2050,99999
MEA,s51_std,2055,99999
MEA,s51_std,2060,99999
MEA,s51_std,2065,99999
MEA,s51_std,2070,99999
MEA,s51_std,2075,99999
MEA,s51_std,2080,99999
MEA,s51_std,2085,99999
MEA,s51_std,2090,99999
MEA,s51_std,2095,99999
MEA,s51_std,2100,99999
MEA,s52_low,2020,4000
MEA,s52_low,2025,1000
MEA,s52_low,2030,1000
MEA,s52_low,2035,1000
MEA,s52_low,2040,1000
MEA,s52_low,2045,1000
MEA,s52_low,2050,1000
MEA,s52_low,2055,1000
MEA,s52_low,2060,1000
MEA,s52_low,2065,1000
MEA,s52_low,2070,1000
MEA,s52_low,2075,1000
MEA,s52_low,2080,1000
MEA,s52_low,2085,1000
MEA,s52_low,2090,1000
MEA,s52_low,2095,1000
MEA,s52_low,2100,1000
"NAM",s51_std,2020,0
"NAM",s51_std,2025,99999
"NAM",s51_std,2030,99999
"NAM",s51_std,2035,99999
"NAM",s51_std,2040,99999
"NAM",s51_std,2045,99999
"NAM",s51_std,2050,99999
"NAM",s51_std,2055,99999
"NAM",s51_std,2060,99999
"NAM",s51_std,2065,99999
"NAM",s51_std,2070,99999
"NAM",s51_std,2075,99999
"NAM",s51_std,2080,99999
"NAM",s51_std,2085,99999
"NAM",s51_std,2090,99999
"NAM",s51_std,2095,99999
"NAM",s51_std,2100,99999
"NAM",s52_low,2020,4000
"NAM",s52_low,2025,1000
"NAM",s52_low,2030,1000
"NAM",s52_low,2035,1000
"NAM",s52_low,2040,1000
"NAM",s52_low,2045,1000
"NAM",s52_low,2050,1000
"NAM",s52_low,2055,1000
"NAM",s52_low,2060,1000
"NAM",s52_low,2065,1000
"NAM",s52_low,2070,1000
"NAM",s52_low,2075,1000
"NAM",s52_low,2080,1000
"NAM",s52_low,2085,1000
"NAM",s52_low,2090,1000
"NAM",s52_low,2095,1000
"NAM",s52_low,2100,1000
PAO,s51_std,2020,0
PAO,s51_std,2025,99999
PAO,s51_std,2030,99999
PAO,s51_std,2035,99999
PAO,s51_std,2040,99999
PAO,s51_std,2045,99999
PAO,s51_std,2050,99999
PAO,s51_std,2055,99999
PAO,s51_std,2060,99999
PAO,s51_std,2065,99999
PAO,s51_std,2070,99999
PAO,s51_std,2075,99999
PAO,s51_std,2080,99999
PAO,s51_std,2085,99999
PAO,s51_std,2090,99999
PAO,s51_std,2095,99999
PAO,s51_std,2100,99999
PAO,s52_low,2020,4000
PAO,s52_low,2025,1000
PAO,s52_low,2030,1000
PAO,s52_low,2035,1000
PAO,s52_low,2040,1000
PAO,s52_low,2045,1000
PAO,s52_low,2050,1000
PAO,s52_low,2055,1000
PAO,s52_low,2060,1000
PAO,s52_low,2065,1000
PAO,s52_low,2070,1000
PAO,s52_low,2075,1000
PAO,s52_low,2080,1000
PAO,s52_low,2085,1000
PAO,s52_low,2090,1000
PAO,s52_low,2095,1000
PAO,s52_low,2100,1000
PAS,s51_std,2020,0
PAS,s51_std,2025,99999
PAS,s51_std,2030,99999
PAS,s51_std,2035,99999
PAS,s51_std,2040,99999
PAS,s51_std,2045,99999
PAS,s51_std,2050,99999
PAS,s51_std,2055,99999
PAS,s51_std,2060,99999
PAS,s51_std,2065,99999
PAS,s51_std,2070,99999
PAS,s51_std,2075,99999
PAS,s51_std,2080,99999
PAS,s51_std,2085,99999
PAS,s51_std,2090,99999
PAS,s51_std,2095,99999
PAS,s51_std,2100,99999
PAS,s52_low,2020,4000
PAS,s52_low,2025,1000
PAS,s52_low,2030,1000
PAS,s52_low,2035,1000
PAS,s52_low,2040,1000
PAS,s52_low,2045,1000
PAS,s52_low,2050,1000
PAS,s52_low,2055,1000
PAS,s52_low,2060,1000
PAS,s52_low,2065,1000
PAS,s52_low,2070,1000
PAS,s52_low,2075,1000
PAS,s52_low,2080,1000
PAS,s52_low,2085,1000
PAS,s52_low,2090,1000
PAS,s52_low,2095,1000
PAS,s52_low,2100,1000
SAS,s51_std,2020,0
SAS,s51_std,2025,99999
SAS,s51_std,2030,99999
SAS,s51_std,2035,99999
SAS,s51_std,2040,99999
SAS,s51_std,2045,99999
SAS,s51_std,2050,99999
SAS,s51_std,2055,99999
SAS,s51_std,2060,99999
SAS,s51_std,2065,99999
SAS,s51_std,2070,99999
SAS,s51_std,2075,99999
SAS,s51_std,2080,99999
SAS,s51_std,2085,99999
SAS,s51_std,2090,99999
SAS,s51_std,2095,99999
SAS,s51_std,2100,99999
SAS,s52_low,2020,4000
SAS,s52_low,2025,1000
SAS,s52_low,2030,1000
SAS,s52_low,2035,1000
SAS,s52_low,2040,1000
SAS,s52_low,2045,1000
SAS,s52_low,2050,1000
SAS,s52_low,2055,1000
SAS,s52_low,2060,1000
SAS,s52_low,2065,1000
SAS,s52_low,2070,1000
SAS,s52_low,2075,1000
SAS,s52_low,2080,1000
SAS,s52_low,2085,1000
SAS,s52_low,2090,1000
SAS,s52_low,2095,1000
SAS,s52_low,2100,1000
WEU,s51_std,2020,1000
WEU,s51_std,2025,99999
WEU,s51_std,2030,99999
WEU,s51_std,2035,99999
WEU,s51_std,2040,99999
WEU,s51_std,2045,99999
WEU,s51_std,2050,99999
WEU,s51_std,2055,99999
WEU,s51_std,2060,99999
WEU,s51_std,2065,99999
WEU,s51_std,2070,99999
WEU,s51_std,2075,99999
WEU,s51_std,2080,99999
WEU,s51_std,2085,99999
WEU,s51_std,2090,99999
WEU,s51_std,2095,99999
WEU,s51_std,2100,99999
WEU,s52_low,2020,0
WEU,s52_low,2025,0
WEU,s52_low,2030,0
WEU,s52_low,2035,0
WEU,s52_low,2040,0
WEU,s52_low,2045,0
WEU,s52_low,2050,0
WEU,s52_low,2055,0
WEU,s52_low,2060,0
WEU,s52_low,2065,0
WEU,s52_low,2070,0
WEU,s52_low,2075,0
WEU,s52_low,2080,0
WEU,s52_low,2085,0
WEU,s52_low,2090,0
WEU,s52_low,2095,0
WEU,s52_low,2100,0
