region_gea,eneff,eneff_f,year,value
AFR,s1,s1,2020,0
AFR,s1,s1,2025,0
AFR,s1,s1,2030,0
AFR,s1,s1,2035,0
AFR,s1,s1,2040,0
AFR,s1,s1,2045,0
AFR,s1,s1,2050,0
AFR,s1,s1,2055,0
AFR,s1,s1,2060,0
AFR,s1,s1,2065,0
AFR,s1,s1,2070,0
AFR,s1,s1,2075,0
AFR,s1,s1,2080,0
AFR,s1,s1,2085,0
AFR,s1,s1,2090,0
AFR,s1,s1,2095,0
AFR,s1,s1,2100,0
AFR,s1,sr11_std,2020,146.9274404
AFR,s1,sr11_std,2025,146.9274404
AFR,s1,sr11_std,2030,146.9274404
AFR,s1,sr11_std,2035,146.9274404
AFR,s1,sr11_std,2040,146.9274404
AFR,s1,sr11_std,2045,146.9274404
AFR,s1,sr11_std,2050,146.9274404
AFR,s1,sr11_std,2055,146.9274404
AFR,s1,sr11_std,2060,146.9274404
AFR,s1,sr11_std,2065,146.9274404
AFR,s1,sr11_std,2070,146.9274404
AFR,s1,sr11_std,2075,146.9274404
AFR,s1,sr11_std,2080,146.9274404
AFR,s1,sr11_std,2085,146.9274404
AFR,s1,sr11_std,2090,146.9274404
AFR,s1,sr11_std,2095,146.9274404
AFR,s1,sr11_std,2100,146.9274404
AFR,s1,sr12_low,2020,220.3911607
AFR,s1,sr12_low,2025,220.3911607
AFR,s1,sr12_low,2030,220.3911607
AFR,s1,sr12_low,2035,220.3911607
AFR,s1,sr12_low,2040,220.3911607
AFR,s1,sr12_low,2045,220.3911607
AFR,s1,sr12_low,2050,220.3911607
AFR,s1,sr12_low,2055,220.3911607
AFR,s1,sr12_low,2060,220.3911607
AFR,s1,sr12_low,2065,220.3911607
AFR,s1,sr12_low,2070,220.3911607
AFR,s1,sr12_low,2075,220.3911607
AFR,s1,sr12_low,2080,220.3911607
AFR,s1,sr12_low,2085,220.3911607
AFR,s1,sr12_low,2090,220.3911607
AFR,s1,sr12_low,2095,220.3911607
AFR,s1,sr12_low,2100,220.3911607
AFR,s2,s2,2020,0
AFR,s2,s2,2025,0
AFR,s2,s2,2030,0
AFR,s2,s2,2035,0
AFR,s2,s2,2040,0
AFR,s2,s2,2045,0
AFR,s2,s2,2050,0
AFR,s2,s2,2055,0
AFR,s2,s2,2060,0
AFR,s2,s2,2065,0
AFR,s2,s2,2070,0
AFR,s2,s2,2075,0
AFR,s2,s2,2080,0
AFR,s2,s2,2085,0
AFR,s2,s2,2090,0
AFR,s2,s2,2095,0
AFR,s2,s2,2100,0
AFR,s2,sr21_std,2020,146.9274404
AFR,s2,sr21_std,2025,146.9274404
AFR,s2,sr21_std,2030,146.9274404
AFR,s2,sr21_std,2035,146.9274404
AFR,s2,sr21_std,2040,146.9274404
AFR,s2,sr21_std,2045,146.9274404
AFR,s2,sr21_std,2050,146.9274404
AFR,s2,sr21_std,2055,146.9274404
AFR,s2,sr21_std,2060,146.9274404
AFR,s2,sr21_std,2065,146.9274404
AFR,s2,sr21_std,2070,146.9274404
AFR,s2,sr21_std,2075,146.9274404
AFR,s2,sr21_std,2080,146.9274404
AFR,s2,sr21_std,2085,146.9274404
AFR,s2,sr21_std,2090,146.9274404
AFR,s2,sr21_std,2095,146.9274404
AFR,s2,sr21_std,2100,146.9274404
AFR,s2,sr22_low,2020,220.3911607
AFR,s2,sr22_low,2025,220.3911607
AFR,s2,sr22_low,2030,220.3911607
AFR,s2,sr22_low,2035,220.3911607
AFR,s2,sr22_low,2040,220.3911607
AFR,s2,sr22_low,2045,220.3911607
AFR,s2,sr22_low,2050,220.3911607
AFR,s2,sr22_low,2055,220.3911607
AFR,s2,sr22_low,2060,220.3911607
AFR,s2,sr22_low,2065,220.3911607
AFR,s2,sr22_low,2070,220.3911607
AFR,s2,sr22_low,2075,220.3911607
AFR,s2,sr22_low,2080,220.3911607
AFR,s2,sr22_low,2085,220.3911607
AFR,s2,sr22_low,2090,220.3911607
AFR,s2,sr22_low,2095,220.3911607
AFR,s2,sr22_low,2100,220.3911607
AFR,s3,s3,2020,0
AFR,s3,s3,2025,0
AFR,s3,s3,2030,0
AFR,s3,s3,2035,0
AFR,s3,s3,2040,0
AFR,s3,s3,2045,0
AFR,s3,s3,2050,0
AFR,s3,s3,2055,0
AFR,s3,s3,2060,0
AFR,s3,s3,2065,0
AFR,s3,s3,2070,0
AFR,s3,s3,2075,0
AFR,s3,s3,2080,0
AFR,s3,s3,2085,0
AFR,s3,s3,2090,0
AFR,s3,s3,2095,0
AFR,s3,s3,2100,0
AFR,s3,sr31_std,2020,146.9274404
AFR,s3,sr31_std,2025,146.9274404
AFR,s3,sr31_std,2030,146.9274404
AFR,s3,sr31_std,2035,146.9274404
AFR,s3,sr31_std,2040,146.9274404
AFR,s3,sr31_std,2045,146.9274404
AFR,s3,sr31_std,2050,146.9274404
AFR,s3,sr31_std,2055,146.9274404
AFR,s3,sr31_std,2060,146.9274404
AFR,s3,sr31_std,2065,146.9274404
AFR,s3,sr31_std,2070,146.9274404
AFR,s3,sr31_std,2075,146.9274404
AFR,s3,sr31_std,2080,146.9274404
AFR,s3,sr31_std,2085,146.9274404
AFR,s3,sr31_std,2090,146.9274404
AFR,s3,sr31_std,2095,146.9274404
AFR,s3,sr31_std,2100,146.9274404
AFR,s3,sr32_low,2020,220.3911607
AFR,s3,sr32_low,2025,220.3911607
AFR,s3,sr32_low,2030,220.3911607
AFR,s3,sr32_low,2035,220.3911607
AFR,s3,sr32_low,2040,220.3911607
AFR,s3,sr32_low,2045,220.3911607
AFR,s3,sr32_low,2050,220.3911607
AFR,s3,sr32_low,2055,220.3911607
AFR,s3,sr32_low,2060,220.3911607
AFR,s3,sr32_low,2065,220.3911607
AFR,s3,sr32_low,2070,220.3911607
AFR,s3,sr32_low,2075,220.3911607
AFR,s3,sr32_low,2080,220.3911607
AFR,s3,sr32_low,2085,220.3911607
AFR,s3,sr32_low,2090,220.3911607
AFR,s3,sr32_low,2095,220.3911607
AFR,s3,sr32_low,2100,220.3911607
CPA,s1,s1,2020,0
CPA,s1,s1,2025,0
CPA,s1,s1,2030,0
CPA,s1,s1,2035,0
CPA,s1,s1,2040,0
CPA,s1,s1,2045,0
CPA,s1,s1,2050,0
CPA,s1,s1,2055,0
CPA,s1,s1,2060,0
CPA,s1,s1,2065,0
CPA,s1,s1,2070,0
CPA,s1,s1,2075,0
CPA,s1,s1,2080,0
CPA,s1,s1,2085,0
CPA,s1,s1,2090,0
CPA,s1,s1,2095,0
CPA,s1,s1,2100,0
CPA,s1,sr11_std,2020,146.9274404
CPA,s1,sr11_std,2025,146.9274404
CPA,s1,sr11_std,2030,146.9274404
CPA,s1,sr11_std,2035,146.9274404
CPA,s1,sr11_std,2040,146.9274404
CPA,s1,sr11_std,2045,146.9274404
CPA,s1,sr11_std,2050,146.9274404
CPA,s1,sr11_std,2055,146.9274404
CPA,s1,sr11_std,2060,146.9274404
CPA,s1,sr11_std,2065,146.9274404
CPA,s1,sr11_std,2070,146.9274404
CPA,s1,sr11_std,2075,146.9274404
CPA,s1,sr11_std,2080,146.9274404
CPA,s1,sr11_std,2085,146.9274404
CPA,s1,sr11_std,2090,146.9274404
CPA,s1,sr11_std,2095,146.9274404
CPA,s1,sr11_std,2100,146.9274404
CPA,s1,sr12_low,2020,220.3911607
CPA,s1,sr12_low,2025,220.3911607
CPA,s1,sr12_low,2030,220.3911607
CPA,s1,sr12_low,2035,220.3911607
CPA,s1,sr12_low,2040,220.3911607
CPA,s1,sr12_low,2045,220.3911607
CPA,s1,sr12_low,2050,220.3911607
CPA,s1,sr12_low,2055,220.3911607
CPA,s1,sr12_low,2060,220.3911607
CPA,s1,sr12_low,2065,220.3911607
CPA,s1,sr12_low,2070,220.3911607
CPA,s1,sr12_low,2075,220.3911607
CPA,s1,sr12_low,2080,220.3911607
CPA,s1,sr12_low,2085,220.3911607
CPA,s1,sr12_low,2090,220.3911607
CPA,s1,sr12_low,2095,220.3911607
CPA,s1,sr12_low,2100,220.3911607
CPA,s2,s2,2020,0
CPA,s2,s2,2025,0
CPA,s2,s2,2030,0
CPA,s2,s2,2035,0
CPA,s2,s2,2040,0
CPA,s2,s2,2045,0
CPA,s2,s2,2050,0
CPA,s2,s2,2055,0
CPA,s2,s2,2060,0
CPA,s2,s2,2065,0
CPA,s2,s2,2070,0
CPA,s2,s2,2075,0
CPA,s2,s2,2080,0
CPA,s2,s2,2085,0
CPA,s2,s2,2090,0
CPA,s2,s2,2095,0
CPA,s2,s2,2100,0
CPA,s2,sr21_std,2020,146.9274404
CPA,s2,sr21_std,2025,146.9274404
CPA,s2,sr21_std,2030,146.9274404
CPA,s2,sr21_std,2035,146.9274404
CPA,s2,sr21_std,2040,146.9274404
CPA,s2,sr21_std,2045,146.9274404
CPA,s2,sr21_std,2050,146.9274404
CPA,s2,sr21_std,2055,146.9274404
CPA,s2,sr21_std,2060,146.9274404
CPA,s2,sr21_std,2065,146.9274404
CPA,s2,sr21_std,2070,146.9274404
CPA,s2,sr21_std,2075,146.9274404
CPA,s2,sr21_std,2080,146.9274404
CPA,s2,sr21_std,2085,146.9274404
CPA,s2,sr21_std,2090,146.9274404
CPA,s2,sr21_std,2095,146.9274404
