Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP1,R12_AFR,Energy Service|Residential|Floor Space,bn m2,21.40284,27.57751,33.42832,38.54439,44.81888,51.19863
MESSAGEix-Buildings,SSP1,R12_CHN,Energy Service|Residential|Floor Space,bn m2,57.05681,56.80947,56.07954,54.92374,53.38391,51.44837
MESSAGEix-Buildings,SSP1,R12_EEU,Energy Service|Residential|Floor Space,bn m2,3.53864,3.62251,3.67359,3.69386,3.69053,3.66603
MESSAGEix-Buildings,SSP1,R12_FSU,Energy Service|Residential|Floor Space,bn m2,7.46922,8.16282,8.75513,9.24597,9.64865,9.95032
MESSAGEix-Buildings,SSP1,R12_LAM,Energy Service|Residential|Floor Space,bn m2,15.15456,17.36615,19.38,21.0876,22.52685,23.59929
MESSAGEix-Buildings,SSP1,R12_MEA,Energy Service|Residential|Floor Space,bn m2,12.43873,14.68381,16.79323,19.00488,21.0009,22.76733
MESSAGEix-Buildings,SSP1,R12_NAM,Energy Service|Residential|Floor Space,bn m2,24.21125,24.28832,24.29719,24.20817,24.05647,23.84516
MESSAGEix-Buildings,SSP1,R12_PAO,Energy Service|Residential|Floor Space,bn m2,6.41059,6.3361,6.23445,6.11012,5.97745,5.8426
MESSAGEix-Buildings,SSP1,R12_PAS,Energy Service|Residential|Floor Space,bn m2,14.56043,16.51004,18.32689,19.89644,21.23814,22.26188
MESSAGEix-Buildings,SSP1,R12_RCPA,Energy Service|Residential|Floor Space,bn m2,5.08691,5.4559,5.71066,5.88583,6.00078,6.05483
MESSAGEix-Buildings,SSP1,R12_SAS,Energy Service|Residential|Floor Space,bn m2,38.33832,45.53189,52.30243,58.39141,63.89722,68.44049
MESSAGEix-Buildings,SSP1,R12_WEU,Energy Service|Residential|Floor Space,bn m2,20.81387,20.82797,20.79644,20.72065,20.62539,20.49173
MESSAGEix-Buildings,SSP1,R12_AFR,Energy Service|Residential|Slum|Floor Space,bn m2,3.44319,3.44267,3.53481,3.39116,3.05582,2.68247
MESSAGEix-Buildings,SSP1,R12_AFR,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.05294,1.57538,2.09601,2.60945,3.3052,4.05186
MESSAGEix-Buildings,SSP1,R12_AFR,Energy Service|Residential|Single-family|Floor Space,bn m2,16.90671,22.55945,27.7975,32.54378,38.45785,44.4643
MESSAGEix-Buildings,SSP1,R12_CHN,Energy Service|Residential|Slum|Floor Space,bn m2,2.2592,1.38552,0.7221,0.29336,0.0722,0.02901
MESSAGEix-Buildings,SSP1,R12_CHN,Energy Service|Residential|Multi-family|Floor Space,bn m2,41.36626,43.07923,44.02003,44.22317,43.76645,42.6881
MESSAGEix-Buildings,SSP1,R12_CHN,Energy Service|Residential|Single-family|Floor Space,bn m2,13.43135,12.34472,11.33742,10.40721,9.54526,8.73126
MESSAGEix-Buildings,SSP1,R12_EEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.55062,1.66994,1.76408,1.83341,1.88163,1.91061
MESSAGEix-Buildings,SSP1,R12_EEU,Energy Service|Residential|Single-family|Floor Space,bn m2,1.98802,1.95257,1.90951,1.86046,1.8089,1.75541
MESSAGEix-Buildings,SSP1,R12_FSU,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.83288,4.35827,4.82897,5.23888,5.59142,5.87664
MESSAGEix-Buildings,SSP1,R12_FSU,Energy Service|Residential|Single-family|Floor Space,bn m2,3.63633,3.80455,3.92616,4.00709,4.05723,4.07368
MESSAGEix-Buildings,SSP1,R12_LAM,Energy Service|Residential|Slum|Floor Space,bn m2,1.67998,1.70322,1.6296,1.43691,1.18502,0.90161
MESSAGEix-Buildings,SSP1,R12_LAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.79684,0.95625,1.11246,1.25834,1.39109,1.50085
MESSAGEix-Buildings,SSP1,R12_LAM,Energy Service|Residential|Single-family|Floor Space,bn m2,12.67774,14.70668,16.63794,18.39235,19.95074,21.19683
MESSAGEix-Buildings,SSP1,R12_MEA,Energy Service|Residential|Slum|Floor Space,bn m2,1.38645,1.38917,1.35745,1.29835,1.22641,1.09585
MESSAGEix-Buildings,SSP1,R12_MEA,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.08267,1.34017,1.59386,1.86978,2.12665,2.36701
MESSAGEix-Buildings,SSP1,R12_MEA,Energy Service|Residential|Single-family|Floor Space,bn m2,9.96961,11.95448,13.84192,15.83675,17.64784,19.30447
MESSAGEix-Buildings,SSP1,R12_NAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.15544,3.23828,3.29181,3.31905,3.32865,3.32353
MESSAGEix-Buildings,SSP1,R12_NAM,Energy Service|Residential|Single-family|Floor Space,bn m2,21.05581,21.05004,21.00538,20.88912,20.72782,20.52163
MESSAGEix-Buildings,SSP1,R12_PAO,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.45526,1.44886,1.43556,1.41625,1.39418,1.37075
MESSAGEix-Buildings,SSP1,R12_PAO,Energy Service|Residential|Single-family|Floor Space,bn m2,4.95533,4.88724,4.7989,4.69387,4.58327,4.47185
MESSAGEix-Buildings,SSP1,R12_PAS,Energy Service|Residential|Slum|Floor Space,bn m2,1.13254,1.13791,1.09938,1.00564,0.82049,0.67345
MESSAGEix-Buildings,SSP1,R12_PAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,2.04456,2.38496,2.71837,3.02485,3.31108,3.53743
MESSAGEix-Buildings,SSP1,R12_PAS,Energy Service|Residential|Single-family|Floor Space,bn m2,11.38334,12.98718,14.50914,15.86594,17.10657,18.051
MESSAGEix-Buildings,SSP1,R12_RCPA,Energy Service|Residential|Slum|Floor Space,bn m2,0.3918,0.37653,0.34669,0.31789,0.29001,0.25423
MESSAGEix-Buildings,SSP1,R12_RCPA,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.17084,3.54306,3.85851,4.12048,4.33449,4.5009
MESSAGEix-Buildings,SSP1,R12_RCPA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.52427,1.53632,1.50546,1.44745,1.37628,1.2997
MESSAGEix-Buildings,SSP1,R12_SAS,Energy Service|Residential|Slum|Floor Space,bn m2,2.76488,3.07984,3.25821,3.26972,3.01581,2.7251
MESSAGEix-Buildings,SSP1,R12_SAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,4.3752,5.82011,7.44265,9.15404,10.946,12.61093
MESSAGEix-Buildings,SSP1,R12_SAS,Energy Service|Residential|Single-family|Floor Space,bn m2,31.19824,36.63195,41.60157,45.96765,49.93541,53.10446
MESSAGEix-Buildings,SSP1,R12_WEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,6.6582,6.90419,7.0902,7.22432,7.32152,7.38046
MESSAGEix-Buildings,SSP1,R12_WEU,Energy Service|Residential|Single-family|Floor Space,bn m2,14.15567,13.92378,13.70624,13.49633,13.30387,13.11128
MESSAGEix-Buildings,SSP1,R12_AFR,Energy Service|Residential|Renovation rate,%/yr,0.151,0.055999999999999994,0.106,0.078,0.056999999999999995,0.04
MESSAGEix-Buildings,SSP1,R12_CHN,Energy Service|Residential|Renovation rate,%/yr,0.8869999999999999,0.557,0.304,0.135,0.029,0
MESSAGEix-Buildings,SSP1,R12_EEU,Energy Service|Residential|Renovation rate,%/yr,1.512,1.221,0.988,0.6709999999999999,0.364,0.161
MESSAGEix-Buildings,SSP1,R12_FSU,Energy Service|Residential|Renovation rate,%/yr,0.9610000000000001,0.6839999999999999,0.44600000000000006,0.158,0,0
MESSAGEix-Buildings,SSP1,R12_LAM,Energy Service|Residential|Renovation rate,%/yr,0.436,0.346,0.28200000000000003,0.22599999999999998,0.173,0.153
MESSAGEix-Buildings,SSP1,R12_MEA,Energy Service|Residential|Renovation rate,%/yr,0.658,0.705,0.611,0.45799999999999996,0.305,0.203
MESSAGEix-Buildings,SSP1,R12_NAM,Energy Service|Residential|Renovation rate,%/yr,2.398,2.333,2.08,1.283,0.781,0.432
MESSAGEix-Buildings,SSP1,R12_PAO,Energy Service|Residential|Renovation rate,%/yr,1.191,1.287,1.242,0.97,0.6890000000000001,0.51
MESSAGEix-Buildings,SSP1,R12_PAS,Energy Service|Residential|Renovation rate,%/yr,0.22699999999999998,0.161,0.11100000000000002,0.128,0.037,0.034999999999999996
MESSAGEix-Buildings,SSP1,R12_RCPA,Energy Service|Residential|Renovation rate,%/yr,0.038,0.027999999999999997,0.018000000000000002,0.013,0.003,0.004
MESSAGEix-Buildings,SSP1,R12_SAS,Energy Service|Residential|Renovation rate,%/yr,0.101,0.077,0.068,0.063,0.058,0.03
MESSAGEix-Buildings,SSP1,R12_WEU,Energy Service|Residential|Renovation rate,%/yr,2.019,1.745,1.48,0.9939999999999999,0.66,0.322
MESSAGEix-Buildings,SSP1,R12_AFR,Final Energy|Residential|Cooling,EJ/yr,0.01917,0.06204,0.1201,0.19376,0.31939,0.47999000000000003
MESSAGEix-Buildings,SSP1,R12_AFR,Final Energy|Residential|Electricity,EJ/yr,0.23413,0.29697,0.37464,0.46055,0.59787,0.77573
MESSAGEix-Buildings,SSP1,R12_AFR,Final Energy|Residential|Gases,EJ/yr,0.06105,0.12612,0.19688,0.27986,0.37374,0.47522
MESSAGEix-Buildings,SSP1,R12_AFR,Final Energy|Residential|Heating|Space,EJ/yr,0.19232,0.21848,0.2353,0.24808,0.25719,0.26384
