"","UC_NM_MN","CTR_MN_ISO","GRGN_L2","lcz","month","delta"
"1","Accra","GHA","Western Africa","Compact lowrise",1,0.232971279410839
"2","Accra","GHA","Western Africa","Large lowrise",1,-0.493519084417122
"3","Accra","GHA","Western Africa","Open lowrise",1,0.200523041046267
"4","Accra","GHA","Western Africa","Open midrise",1,-0.117933263584691
"5","Accra","GHA","Western Africa","Sparsely built",1,-3.89644085004467
"6","Accra","GHA","Western Africa","Compact lowrise",2,0.312804967374744
"7","Accra","GHA","Western Africa","Large lowrise",2,-0.331368994805642
"8","Accra","GHA","Western Africa","Open lowrise",2,0.246615283720613
"9","Accra","GHA","Western Africa","Open midrise",2,0.0801630024230798
"10","Accra","GHA","Western Africa","Sparsely built",2,-3.38733655362985
"11","Accra","GHA","Western Africa","Compact lowrise",3,0.289955114924756
"12","Accra","GHA","Western Africa","Large lowrise",3,-0.300452631979565
"13","Accra","GHA","Western Africa","Open lowrise",3,0.175885573654745
"14","Accra","GHA","Western Africa","Open midrise",3,0.116226152536862
"15","Accra","GHA","Western Africa","Sparsely built",3,-3.50557435065415
"16","Accra","GHA","Western Africa","Compact lowrise",4,0.25051954594067
"17","Accra","GHA","Western Africa","Large lowrise",4,-0.345776860938995
"18","Accra","GHA","Western Africa","Open lowrise",4,0.146884303242222
"19","Accra","GHA","Western Africa","Open midrise",4,0.0493939883711751
"20","Accra","GHA","Western Africa","Sparsely built",4,-3.65022859455385
"21","Accra","GHA","Western Africa","Compact lowrise",5,0.138098773864735
"22","Accra","GHA","Western Africa","Large lowrise",5,-0.344781791299981
"23","Accra","GHA","Western Africa","Open lowrise",5,-0.047146578053062
"24","Accra","GHA","Western Africa","Open midrise",5,0.156303889430103
"25","Accra","GHA","Western Africa","Sparsely built",5,-4.15049411821229
"26","Accra","GHA","Western Africa","Compact lowrise",6,0.130414640194188
"27","Accra","GHA","Western Africa","Large lowrise",6,-0.296247802315194
"28","Accra","GHA","Western Africa","Open lowrise",6,-0.105201388257431
"29","Accra","GHA","Western Africa","Open midrise",6,0.337510808268089
"30","Accra","GHA","Western Africa","Sparsely built",6,-4.34649874375939
"31","Accra","GHA","Western Africa","Compact lowrise",7,0.280506994997758
"32","Accra","GHA","Western Africa","Large lowrise",7,-0.218250173297661
