"region","scenario","gdp_cap_2020","gdp_cap_2025","gdp_cap_2030","gdp_cap_2035","gdp_cap_2040","gdp_cap_2045","gdp_cap_2050","gdp_cap_2055","gdp_cap_2060","gdp_cap_2065","gdp_cap_2070","gdp_cap_2075","gdp_cap_2080","gdp_cap_2085","gdp_cap_2090","gdp_cap_2095","gdp_cap_2100","unit"
"C-EEU-BGR","SSP1",22304.3017196423,28292.2788024378,33682.540350908,39858.0649020772,46602.5483988211,53291.422335324,59754.1471868709,66201.9980348492,72691.4074747137,79397.0104599873,86490.9828758766,93566.5989669031,100964.594265815,108945.395689806,116541.105940673,123528.377239107,130248.507899412,"USD_2005"
"C-EEU-BGR","SSP2",22304.3017196423,28292.3233406843,33184.169292807,38093.849119608,42996.8521395278,47863.4980659165,52719.6040112714,57699.3126984906,62743.3335739094,67968.0607862858,73478.3098427676,78964.1906732964,84707.7620834291,90914.7589004156,96929.5527392159,102659.629402802,108387.062499285,"USD_2005"
"C-EEU-BGR","SSP3",22304.3017196423,28292.2926317848,32532.3739150374,35832.0027345374,38184.1812880979,40024.9762188398,41705.0774222182,43362.1077563256,44909.6635180959,46441.1282400804,48033.876251957,49524.3704114735,51116.6928593016,52930.102056505,54620.4123783761,56189.7947165975,57810.7063392482,"USD_2005"
"C-EEU-BGR","SSP4",22304.3017196423,28292.3244319625,33418.2031649088,38916.9717849127,44701.0378083712,50463.8649523582,56118.7253092133,61795.8497115119,67499.84327232,73366.956574199,79542.3623143048,85666.0260673356,92066.4004118026,99018.3966680725,105717.036029703,112027.864965496,118208.55689281,"USD_2005"
"C-EEU-BGR","SSP5",22304.3017196423,28292.3153901081,34294.374442227,42001.1010663169,50955.4087679248,59989.0430463208,68947.2901486355,78269.4055131438,88140.5516974015,98847.6042604232,110644.501608134,123104.66950824,136659.123846276,151688.847620578,167065.033417942,182452.458684748,198201.309654677,"USD_2005"
"C-EEU-CZE","SSP1",39262.5720778735,44141.0527619005,50286.1968913963,55745.7259349769,61315.7087321652,66368.5620993761,70819.0342325516,75274.4099362166,80123.8837771837,85219.4006560413,91123.9393587913,97353.3732867494,103605.074008918,110450.393334831,117174.647518654,123011.167643188,128501.884906308,"USD_2005"
"C-EEU-CZE","SSP2",39262.5720778735,44141.0459622278,49565.1703748331,53572.0178743244,57496.4334227166,61313.6706186224,64890.8980648972,68582.1030965357,72587.5875662582,76768.403110534,81578.4115237902,86607.6521020158,91638.2435359105,97161.6300275112,102688.085820909,107723.257613061,112701.547224997,"USD_2005"
"C-EEU-CZE","SSP3",39262.5720778735,44141.0461296124,48477.2703625832,50414.7063302252,51680.6815589198,52913.238951232,54228.1655922998,55796.4523515034,57580.0717544614,59379.046052405,61485.588858422,63567.5442560308,65475.9030449153,67575.4905267026,69557.7687552134,71158.9410692812,72680.7341755094,"USD_2005"
"C-EEU-CZE","SSP4",39262.5720778735,44141.0225687548,50236.0992268155,55498.8621697436,60709.1044123395,65296.7944594164,69241.4487889492,73157.4542714006,77411.8263658213,81855.2450783696,87023.2522031724,92468.4895912704,97942.7596319105,104028.031593175,110102.774201619,115527.067566625,120727.571317359,"USD_2005"
"C-EEU-CZE","SSP5",39262.5720778735,44141.0207153828,51218.4882040285,58497.2554794491,66231.6314709749,73402.9264057539,80169.0894002808,87402.0501701047,95621.2008161577,104700.108269858,115267.64823461,126825.479947354,139052.347191595,152648.4350191,166810.621711481,180603.859836332,194596.278966778,"USD_2005"
"C-EEU-EST","SSP1",35849.2688988188,42896.4647946089,52524.8811996112,61159.9369058955,68403.2345484859,73379.8020517472,76872.2896175992,79913.8472285592,83012.0205697751,86303.6748252642,89605.3219976677,92632.278735006,95857.5865522876,99368.4420182945,102581.351672067,104950.981128127,106944.460545635,"USD_2005"
