"region","material_type","year","emission_factor"
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2020,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2025,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2030,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2035,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2040,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2045,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2050,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2055,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2060,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2065,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2070,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2075,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2080,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2085,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2090,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2095,0.321
"C-EEU-BGR","acrylonitrile_butadiene_styrene",2100,0.321
"C-EEU-BGR","aluminium",2020,0.922967287951866
"C-EEU-BGR","aluminium",2030,0.899701862293517
"C-EEU-BGR","aluminium",2040,0.898901232564915
"C-EEU-BGR","aluminium",2050,0.896266181182317
"C-EEU-BGR","aluminium",2060,0.842212725438285
"C-EEU-BGR","aluminium",2070,0.819184438091013
"C-EEU-BGR","aluminium",2080,0.807882265184232
"C-EEU-BGR","aluminium",2090,0.785187180782
"C-EEU-BGR","aluminium",2100,0.768997986847326
"C-EEU-BGR","bio-based polystyrene",2020,0.1605
"C-EEU-BGR","bio-based polystyrene",2025,0.1605
"C-EEU-BGR","bio-based polystyrene",2030,0.1605
"C-EEU-BGR","bio-based polystyrene",2035,0.1605
"C-EEU-BGR","bio-based polystyrene",2040,0.1605
"C-EEU-BGR","bio-based polystyrene",2045,0.1605
"C-EEU-BGR","bio-based polystyrene",2050,0.1605
"C-EEU-BGR","bio-based polystyrene",2055,0.1605
"C-EEU-BGR","bio-based polystyrene",2060,0.1605
"C-EEU-BGR","bio-based polystyrene",2065,0.1605
