region_gea,hh_group,year,d_beh
AFR,g1,2050,-0.035069105
AFR,g2,2050,-0.011661039
AFR,g3,2050,-0.077553865
AFR,g4,2050,-0.078741042
CPA,g1,2050,0.06164848
CPA,g2,2050,0.069789722
CPA,g3,2050,0.046983208
CPA,g4,2050,0.055269722
EEU,g1,2050,0.051897814
EEU,g2,2050,0.057429218
EEU,g3,2050,0.062231429
EEU,g4,2050,0.059935819
FSU,g1,2050,-0.000271821
FSU,g2,2050,0.009320355
FSU,g3,2050,0.009521746
FSU,g4,2050,0.007656718
LAC,g1,2050,0.007622284
LAC,g2,2050,0.012693783
LAC,g3,2050,-0.048269852
LAC,g4,2050,-0.042702644
MEA,g1,2050,-0.007944818
MEA,g2,2050,-0.002924126
MEA,g3,2050,-0.073410304
MEA,g4,2050,-0.042794802
NAM,g1,2050,0.119987458
NAM,g2,2050,0.123313295
NAM,g3,2050,0.069156582
NAM,g4,2050,0.104409128
PAO,g1,2050,0.103181812
PAO,g2,2050,0.105714209
PAO,g3,2050,0.101771948
PAO,g4,2050,0.102158328
PAS,g1,2050,0.089684137
PAS,g2,2050,0.087391382
PAS,g3,2050,0.059736957
PAS,g4,2050,0.087105993
SAS,g1,2050,0.020372904
SAS,g2,2050,0.017079066
SAS,g3,2050,-0.034050657
SAS,g4,2050,0.005364318
WEU,g1,2050,0.100082634
WEU,g2,2050,0.109880481
WEU,g3,2050,0.103617991
WEU,g4,2050,0.11284361
