region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,value
C-EEU-BGR,rur,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1945,p1,33316.05123
C-EEU-BGR,rur,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1960,p2,5660.86546
C-EEU-BGR,rur,q1,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1945,p1,124463.4458
C-EEU-BGR,rur,q1,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1960,p2,21148.08922
C-EEU-BGR,rur,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,16306.46255
C-EEU-BGR,rur,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1960,p2,2770.69723
C-EEU-BGR,rur,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,60918.3395
C-EEU-BGR,rur,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1960,p2,10350.88231
C-EEU-BGR,rur,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1945,p1,33316.05123
C-EEU-BGR,rur,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1960,p2,5660.86546
C-EEU-BGR,rur,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1945,p1,124463.4458
C-EEU-BGR,rur,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1960,p2,21148.08922
C-EEU-BGR,rur,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,16306.46255
C-EEU-BGR,rur,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1960,p2,2770.69723
C-EEU-BGR,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,60918.3395
C-EEU-BGR,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1960,p2,10350.88231
C-EEU-BGR,rur,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1945,p1,33316.05123
C-EEU-BGR,rur,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1960,p2,5660.86546
C-EEU-BGR,rur,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1945,p1,124463.4458
C-EEU-BGR,rur,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1960,p2,21148.08922
C-EEU-BGR,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1945,p1,16306.46255
C-EEU-BGR,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1960,p2,2770.69723
C-EEU-BGR,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1945,p1,60918.3395
C-EEU-BGR,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1960,p2,10350.88231
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1945,p1,82900.11613
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1960,p2,27545.46377
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1965,p2,58202.90466
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1970,p2,40941.26301
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1975,p2,38568.88836
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1980,p2,36387.86733
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1985,p2,28028.50812
