region_bld,year,urt,value
C-EEU-BGR,2020,rur,0.243
C-EEU-BGR,2020,urb,0.757
C-EEU-BGR,2025,rur,0.22577999999999995
C-EEU-BGR,2025,urb,0.77422
C-EEU-BGR,2030,rur,0.20999999999999996
C-EEU-BGR,2030,urb,0.79
C-EEU-BGR,2035,rur,0.19552000000000003
C-EEU-BGR,2035,urb,0.80448
C-EEU-BGR,2040,rur,0.18221999999999994
C-EEU-BGR,2040,urb,0.8177800000000002
C-EEU-BGR,2045,rur,0.17001
C-EEU-BGR,2045,urb,0.82999
C-EEU-BGR,2050,rur,0.15876999999999997
C-EEU-BGR,2050,urb,0.84123
C-EEU-BGR,2055,rur,0.14840999999999993
C-EEU-BGR,2055,urb,0.8515900000000001
C-EEU-BGR,2060,rur,0.13885999999999998
C-EEU-BGR,2060,urb,0.8611399999999999
C-EEU-BGR,2065,rur,0.13002999999999998
C-EEU-BGR,2065,urb,0.86997
C-EEU-BGR,2070,rur,0.12187999999999999
C-EEU-BGR,2070,urb,0.87812
C-EEU-BGR,2075,rur,0.11431999999999998
C-EEU-BGR,2075,urb,0.88568
C-EEU-BGR,2080,rur,0.10731999999999997
C-EEU-BGR,2080,urb,0.8926799999999999
C-EEU-BGR,2085,rur,0.10081999999999991
C-EEU-BGR,2085,urb,0.8991800000000001
C-EEU-BGR,2090,rur,0.09477999999999998
C-EEU-BGR,2090,urb,0.90522
C-EEU-BGR,2095,rur,0.08916000000000002
C-EEU-BGR,2095,urb,0.91084
C-EEU-BGR,2100,rur,0.08392
C-EEU-BGR,2100,urb,0.91608
C-EEU-CZE,2020,rur,0.259
C-EEU-CZE,2020,urb,0.741
C-EEU-CZE,2025,rur,0.24433000000000005
C-EEU-CZE,2025,urb,0.75567
C-EEU-CZE,2030,rur,0.23048000000000002
C-EEU-CZE,2030,urb,0.76952
C-EEU-CZE,2035,rur,0.21739999999999995
C-EEU-CZE,2035,urb,0.7826000000000001
C-EEU-CZE,2040,rur,0.20507999999999993
C-EEU-CZE,2040,urb,0.7949200000000001
C-EEU-CZE,2045,rur,0.19346000000000008
C-EEU-CZE,2045,urb,0.8065399999999999
