region_bld,urt,clim,year,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,2020,0.9306444593869521
C-EEU-BGR,rur,Zone_4A Mixed Humid,2025,0.6869876618588997
C-EEU-BGR,rur,Zone_4A Mixed Humid,2030,0.5221778887472133
C-EEU-BGR,rur,Zone_4A Mixed Humid,2035,0.4027213545745885
C-EEU-BGR,rur,Zone_4A Mixed Humid,2040,0.31414082100775725
C-EEU-BGR,rur,Zone_4A Mixed Humid,2045,0.24765691593006103
C-EEU-BGR,rur,Zone_4A Mixed Humid,2050,0.1969703418976447
C-EEU-BGR,rur,Zone_4A Mixed Humid,2055,0.15758192468959242
C-EEU-BGR,rur,Zone_4A Mixed Humid,2060,0.1264889244847146
C-EEU-BGR,rur,Zone_4A Mixed Humid,2065,0.10175863948184556
C-EEU-BGR,rur,Zone_4A Mixed Humid,2070,0.08200454087711836
C-EEU-BGR,rur,Zone_4A Mixed Humid,2075,0.06616355697798752
C-EEU-BGR,rur,Zone_4A Mixed Humid,2080,0.053534119092596026
C-EEU-BGR,rur,Zone_4A Mixed Humid,2085,0.043488653382810126
C-EEU-BGR,rur,Zone_4A Mixed Humid,2090,0.03545603751502407
C-EEU-BGR,rur,Zone_4A Mixed Humid,2095,0.028979149497656027
C-EEU-BGR,rur,Zone_4A Mixed Humid,2100,0.023684923117201804
C-EEU-BGR,rur,Zone_5A Cool Humid,2020,0.45550173116305004
C-EEU-BGR,rur,Zone_5A Cool Humid,2025,0.3362444874711002
C-EEU-BGR,rur,Zone_5A Cool Humid,2030,0.2555787335327867
C-EEU-BGR,rur,Zone_5A Cool Humid,2035,0.19711101520541158
C-EEU-BGR,rur,Zone_5A Cool Humid,2040,0.1537554824022428
C-EEU-BGR,rur,Zone_5A Cool Humid,2045,0.12121509218993835
C-EEU-BGR,rur,Zone_5A Cool Humid,2050,0.09640666832235471
C-EEU-BGR,rur,Zone_5A Cool Humid,2055,0.07712810061040706
C-EEU-BGR,rur,Zone_5A Cool Humid,2060,0.061909705145285474
C-EEU-BGR,rur,Zone_5A Cool Humid,2065,0.049805525598154335
C-EEU-BGR,rur,Zone_5A Cool Humid,2070,0.04013692872288132
C-EEU-BGR,rur,Zone_5A Cool Humid,2075,0.03238359659201229
C-EEU-BGR,rur,Zone_5A Cool Humid,2080,0.026202148067404334
C-EEU-BGR,rur,Zone_5A Cool Humid,2085,0.021285418617190098
C-EEU-BGR,rur,Zone_5A Cool Humid,2090,0.017353873764976012
C-EEU-BGR,rur,Zone_5A Cool Humid,2095,0.01418377623234386
C-EEU-BGR,rur,Zone_5A Cool Humid,2100,0.011592529642798218
C-EEU-BGR,urb,Zone_4A Mixed Humid,2020,4.0215920320956995
C-EEU-BGR,urb,Zone_4A Mixed Humid,2025,4.025620725261895
C-EEU-BGR,urb,Zone_4A Mixed Humid,2030,3.9998081023614223
C-EEU-BGR,urb,Zone_4A Mixed Humid,2035,3.9270232341780367
C-EEU-BGR,urb,Zone_4A Mixed Humid,2040,3.8236477984453665
C-EEU-BGR,urb,Zone_4A Mixed Humid,2045,3.7062364446384257
C-EEU-BGR,urb,Zone_4A Mixed Humid,2050,3.5822108462652347
C-EEU-BGR,urb,Zone_4A Mixed Humid,2055,3.4509323590560896
C-EEU-BGR,urb,Zone_4A Mixed Humid,2060,3.3110293698555346
C-EEU-BGR,urb,Zone_4A Mixed Humid,2065,3.164224024009758
C-EEU-BGR,urb,Zone_4A Mixed Humid,2070,3.0132452787009876
C-EEU-BGR,urb,Zone_4A Mixed Humid,2075,2.861818712548196
C-EEU-BGR,urb,Zone_4A Mixed Humid,2080,2.7167403399709698
C-EEU-BGR,urb,Zone_4A Mixed Humid,2085,2.580779502093623
C-EEU-BGR,urb,Zone_4A Mixed Humid,2090,2.455392811266163
C-EEU-BGR,urb,Zone_4A Mixed Humid,2095,2.337331682150057
C-EEU-BGR,urb,Zone_4A Mixed Humid,2100,2.2191060141123575
C-EEU-BGR,urb,Zone_5A Cool Humid,2020,1.6125007773543083
C-EEU-BGR,urb,Zone_5A Cool Humid,2025,1.6141161254081053
C-EEU-BGR,urb,Zone_5A Cool Humid,2030,1.6037662753585777
C-EEU-BGR,urb,Zone_5A Cool Humid,2035,1.5745823960419632
C-EEU-BGR,urb,Zone_5A Cool Humid,2040,1.5331328981446328
C-EEU-BGR,urb,Zone_5A Cool Humid,2045,1.4860555472415742
C-EEU-BGR,urb,Zone_5A Cool Humid,2050,1.4363261435147656
C-EEU-BGR,urb,Zone_5A Cool Humid,2055,1.383688615643911
C-EEU-BGR,urb,Zone_5A Cool Humid,2060,1.3275930005144652
C-EEU-BGR,urb,Zone_5A Cool Humid,2065,1.2687298109102418
C-EEU-BGR,urb,Zone_5A Cool Humid,2070,1.2081932516990124
C-EEU-BGR,urb,Zone_5A Cool Humid,2075,1.1474771338818037
C-EEU-BGR,urb,Zone_5A Cool Humid,2080,1.0893063928690294
C-EEU-BGR,urb,Zone_5A Cool Humid,2085,1.0347914259063766
C-EEU-BGR,urb,Zone_5A Cool Humid,2090,0.9845162774538366
C-EEU-BGR,urb,Zone_5A Cool Humid,2095,0.9371783921199426
C-EEU-BGR,urb,Zone_5A Cool Humid,2100,0.8897745331276423
C-EEU-CZE,rur,Zone_5A Cool Humid,2020,2.2027389092400003
C-EEU-CZE,rur,Zone_5A Cool Humid,2025,1.78597500935
C-EEU-CZE,rur,Zone_5A Cool Humid,2030,1.3893957965999997
C-EEU-CZE,rur,Zone_5A Cool Humid,2035,1.0800790926400006
C-EEU-CZE,rur,Zone_5A Cool Humid,2040,0.8412166546
C-EEU-CZE,rur,Zone_5A Cool Humid,2045,0.6582024395200009
C-EEU-CZE,rur,Zone_5A Cool Humid,2050,0.5166958503999994
C-EEU-CZE,rur,Zone_5A Cool Humid,2055,0.4057967989799998
C-EEU-CZE,rur,Zone_5A Cool Humid,2060,0.31783349600000066
C-EEU-CZE,rur,Zone_5A Cool Humid,2065,0.2477437118499999
C-EEU-CZE,rur,Zone_5A Cool Humid,2070,0.19212357515999917
C-EEU-CZE,rur,Zone_5A Cool Humid,2075,0.14869925825000038
C-EEU-CZE,rur,Zone_5A Cool Humid,2080,0.11506077134999947
C-EEU-CZE,rur,Zone_5A Cool Humid,2085,0.08921606924999961
C-EEU-CZE,rur,Zone_5A Cool Humid,2090,0.06918185671999996
C-EEU-CZE,rur,Zone_5A Cool Humid,2095,0.0536894421599994
C-EEU-CZE,rur,Zone_5A Cool Humid,2100,0.041621161049999515
C-EEU-CZE,urb,Zone_5A Cool Humid,2020,8.33516909076
C-EEU-CZE,urb,Zone_5A Cool Humid,2025,9.03745999065
C-EEU-CZE,urb,Zone_5A Cool Humid,2030,9.2475342034
C-EEU-CZE,urb,Zone_5A Cool Humid,2035,9.33333290736
C-EEU-CZE,urb,Zone_5A Cool Humid,2040,9.343004345399999
C-EEU-CZE,urb,Zone_5A Cool Humid,2045,9.32060956048001
C-EEU-CZE,urb,Zone_5A Cool Humid,2050,9.27106414960001
C-EEU-CZE,urb,Zone_5A Cool Humid,2055,9.18070920102
C-EEU-CZE,urb,Zone_5A Cool Humid,2060,9.03021050400001
C-EEU-CZE,urb,Zone_5A Cool Humid,2065,8.810527288150002
C-EEU-CZE,urb,Zone_5A Cool Humid,2070,8.532834424839992
C-EEU-CZE,urb,Zone_5A Cool Humid,2075,8.22872374175
C-EEU-CZE,urb,Zone_5A Cool Humid,2080,7.9255242286500005
C-EEU-CZE,urb,Zone_5A Cool Humid,2085,7.63511893075
C-EEU-CZE,urb,Zone_5A Cool Humid,2090,7.35376414328
C-EEU-CZE,urb,Zone_5A Cool Humid,2095,7.076382557839991
C-EEU-CZE,urb,Zone_5A Cool Humid,2100,6.7927238389500015
C-EEU-EST,rur,Zone_6A Cold Humid,2020,0.35218253318
C-EEU-EST,rur,Zone_6A Cold Humid,2025,0.29637254401999996
C-EEU-EST,rur,Zone_6A Cold Humid,2030,0.23733927712000005
C-EEU-EST,rur,Zone_6A Cold Humid,2035,0.1889215085399999
C-EEU-EST,rur,Zone_6A Cold Humid,2040,0.1498863586399999
C-EEU-EST,rur,Zone_6A Cold Humid,2045,0.11878270846
C-EEU-EST,rur,Zone_6A Cold Humid,2050,0.09391921343999991
C-EEU-EST,rur,Zone_6A Cold Humid,2055,0.07394408494999995
C-EEU-EST,rur,Zone_6A Cold Humid,2060,0.057919993529999964
C-EEU-EST,rur,Zone_6A Cold Humid,2065,0.0451555434799999
C-EEU-EST,rur,Zone_6A Cold Humid,2070,0.035067056479999956
C-EEU-EST,rur,Zone_6A Cold Humid,2075,0.027139648769999938
C-EEU-EST,rur,Zone_6A Cold Humid,2080,0.020961784480000044
C-EEU-EST,rur,Zone_6A Cold Humid,2085,0.016147568299999998
C-EEU-EST,rur,Zone_6A Cold Humid,2090,0.01242930989999993
C-EEU-EST,rur,Zone_6A Cold Humid,2095,0.009550605820000061
C-EEU-EST,rur,Zone_6A Cold Humid,2100,0.007314076230000048
C-EEU-EST,urb,Zone_6A Cold Humid,2020,0.97690846682
C-EEU-EST,urb,Zone_6A Cold Humid,2025,1.04820845598
C-EEU-EST,urb,Zone_6A Cold Humid,2030,1.06614972288
C-EEU-EST,urb,Zone_6A Cold Humid,2035,1.0744294914600003
C-EEU-EST,urb,Zone_6A Cold Humid,2040,1.0760776413600002
C-EEU-EST,urb,Zone_6A Cold Humid,2045,1.07405429154
C-EEU-EST,urb,Zone_6A Cold Humid,2050,1.0675847865599999
C-EEU-EST,urb,Zone_6A Cold Humid,2055,1.05480091505
C-EEU-EST,urb,Zone_6A Cold Humid,2060,1.0355290064700002
C-EEU-EST,urb,Zone_6A Cold Humid,2065,1.01086745652
C-EEU-EST,urb,Zone_6A Cold Humid,2070,0.98195894352
C-EEU-EST,urb,Zone_6A Cold Humid,2075,0.9501613512299991
C-EEU-EST,urb,Zone_6A Cold Humid,2080,0.9165062155199999
C-EEU-EST,urb,Zone_6A Cold Humid,2085,0.8819374317
C-EEU-EST,urb,Zone_6A Cold Humid,2090,0.8471356901000001
C-EEU-EST,urb,Zone_6A Cold Humid,2095,0.8123603941799998
C-EEU-EST,urb,Zone_6A Cold Humid,2100,0.77661692377
C-EEU-HRV,rur,Zone_3A Warm Humid,2020,0.21863169693182652
C-EEU-HRV,rur,Zone_3A Warm Humid,2025,0.17673043446741837
C-EEU-HRV,rur,Zone_3A Warm Humid,2030,0.14152298848490705
C-EEU-HRV,rur,Zone_3A Warm Humid,2035,0.11264458470376346
C-EEU-HRV,rur,Zone_3A Warm Humid,2040,0.08922843004754635
C-EEU-HRV,rur,Zone_3A Warm Humid,2045,0.07052667944964831
C-EEU-HRV,rur,Zone_3A Warm Humid,2050,0.05568614683980618
C-EEU-HRV,rur,Zone_3A Warm Humid,2055,0.04392318270291777
C-EEU-HRV,rur,Zone_3A Warm Humid,2060,0.034607640828143015
C-EEU-HRV,rur,Zone_3A Warm Humid,2065,0.02724307386537298
C-EEU-HRV,rur,Zone_3A Warm Humid,2070,0.02141075861069109
C-EEU-HRV,rur,Zone_3A Warm Humid,2075,0.01679532328800828
C-EEU-HRV,rur,Zone_3A Warm Humid,2080,0.0131532925240446
C-EEU-HRV,rur,Zone_3A Warm Humid,2085,0.010288945368126487
C-EEU-HRV,rur,Zone_3A Warm Humid,2090,0.008039076133067216
C-EEU-HRV,rur,Zone_3A Warm Humid,2095,0.006272877818446917
C-EEU-HRV,rur,Zone_3A Warm Humid,2100,0.0048810790908858466
C-EEU-HRV,rur,Zone_4A Mixed Humid,2020,0.6654149220058809
C-EEU-HRV,rur,Zone_4A Mixed Humid,2025,0.5378866372878781
C-EEU-HRV,rur,Zone_4A Mixed Humid,2030,0.43073126937348
C-EEU-HRV,rur,Zone_4A Mixed Humid,2035,0.3428386121359709
C-EEU-HRV,rur,Zone_4A Mixed Humid,2040,0.27157054376845075
