region_gea,mat,arch,bld_age,parameter,value
PAS,perm,comm,p1,shape,1.9
PAS,perm,comm,p1,scale,54.9375
CPA,perm,comm,p1,shape,2
CPA,perm,comm,p1,scale,38.7875
EEU,perm,comm,p1,shape,2.5
EEU,perm,comm,p1,scale,187.5
NAM,perm,comm,p1,shape,4.16
NAM,perm,comm,p1,scale,187.5
WEU,perm,comm,p1,shape,2.95
WEU,perm,comm,p1,scale,187.5
LAC,perm,comm,p1,shape,1.97
LAC,perm,comm,p1,scale,85.3
PAO,perm,comm,p1,shape,1.97
PAO,perm,comm,p1,scale,117.5
FSU,perm,comm,p1,shape,2.5
FSU,perm,comm,p1,scale,67
AFR,perm,comm,p1,shape,1.97
AFR,perm,comm,p1,scale,84.17500000000001
MEA,perm,comm,p1,shape,1.97
MEA,perm,comm,p1,scale,84.17500000000001
SAS,perm,comm,p1,shape,1.97
SAS,perm,comm,p1,scale,84.17500000000001
PAS,perm,comm,p2,shape,1.9
PAS,perm,comm,p2,scale,54.9375
CPA,perm,comm,p2,shape,2
CPA,perm,comm,p2,scale,38.7875
EEU,perm,comm,p2,shape,2.5
EEU,perm,comm,p2,scale,67
NAM,perm,comm,p2,shape,4.16
NAM,perm,comm,p2,scale,106.4875
WEU,perm,comm,p2,shape,2.95
WEU,perm,comm,p2,scale,88.52499999999999
LAC,perm,comm,p2,shape,1.97
LAC,perm,comm,p2,scale,85.3
PAO,perm,comm,p2,shape,1.97
PAO,perm,comm,p2,scale,117.5
FSU,perm,comm,p2,shape,2.5
FSU,perm,comm,p2,scale,67
AFR,perm,comm,p2,shape,1.97
AFR,perm,comm,p2,scale,84.17500000000001
MEA,perm,comm,p2,shape,1.97
MEA,perm,comm,p2,scale,84.17500000000001
SAS,perm,comm,p2,shape,1.97
SAS,perm,comm,p2,scale,84.17500000000001
PAS,perm,comm,p3,shape,1.9
PAS,perm,comm,p3,scale,54.9375
CPA,perm,comm,p3,shape,2
CPA,perm,comm,p3,scale,38.7875
EEU,perm,comm,p3,shape,2.5
EEU,perm,comm,p3,scale,67
NAM,perm,comm,p3,shape,4.16
NAM,perm,comm,p3,scale,106.4875
WEU,perm,comm,p3,shape,2.95
WEU,perm,comm,p3,scale,88.52499999999999
LAC,perm,comm,p3,shape,1.97
LAC,perm,comm,p3,scale,85.3
PAO,perm,comm,p3,shape,1.97
PAO,perm,comm,p3,scale,117.5
FSU,perm,comm,p3,shape,2.5
FSU,perm,comm,p3,scale,67
AFR,perm,comm,p3,shape,1.97
AFR,perm,comm,p3,scale,84.17500000000001
MEA,perm,comm,p3,shape,1.97
MEA,perm,comm,p3,scale,84.17500000000001
SAS,perm,comm,p3,shape,1.97
SAS,perm,comm,p3,scale,84.17500000000001
PAS,perm,comm,p5,shape,1.9
PAS,perm,comm,p5,scale,63.7275
CPA,perm,comm,p5,shape,2
CPA,perm,comm,p5,scale,44.9935
EEU,perm,comm,p5,shape,2.5
EEU,perm,comm,p5,scale,77.72
NAM,perm,comm,p5,shape,4.16
NAM,perm,comm,p5,scale,123.5255
WEU,perm,comm,p5,shape,2.95
WEU,perm,comm,p5,scale,102.689
LAC,perm,comm,p5,shape,1.97
LAC,perm,comm,p5,scale,98.948
PAO,perm,comm,p5,shape,1.97
PAO,perm,comm,p5,scale,136.29999999999998
FSU,perm,comm,p5,shape,2.5
FSU,perm,comm,p5,scale,77.72
AFR,perm,comm,p5,shape,1.97
AFR,perm,comm,p5,scale,97.643
MEA,perm,comm,p5,shape,1.97
MEA,perm,comm,p5,scale,97.643
SAS,perm,comm,p5,shape,1.97
SAS,perm,comm,p5,scale,97.643
