region_bld,clim,urt,arch,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s1,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s2,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s3,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s51_std,25.21327567
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s52_low,29.64203319
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr11_std,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr12_low,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr21_std,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr22_low,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr31_std,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr32_low,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s1,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s2,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s3,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s51_std,25.17218351
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s52_low,29.62885883
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr11_std,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr12_low,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr21_std,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr22_low,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr31_std,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr32_low,23.91734987
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s1,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s2,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s3,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s51_std,9.690917463
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s52_low,15.03554725
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr11_std,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr12_low,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr21_std,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr22_low,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr31_std,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr32_low,8.271892779
