region_gea,year,value
AFR,2020,1.4474035897792292
AFR,2025,1.5198419900923434
AFR,2030,1.6073267147121366
AFR,2035,1.7581692144003807
AFR,2040,1.9481152196569422
AFR,2045,2.199486086439159
AFR,2050,2.534844772602401
AFR,2055,2.9787247657241327
AFR,2060,3.547664714160172
AFR,2065,4.329397779069249
AFR,2070,5.292541752960139
AFR,2075,6.438767513456464
AFR,2080,7.704825354621718
AFR,2085,8.97535383955641
AFR,2090,10.128701839676836
AFR,2095,11.087975779475437
AFR,2100,11.83860297274446
CPA,2020,10.237215331807176
CPA,2025,12.389084625900113
CPA,2030,13.236865445909782
CPA,2035,13.441201606360032
CPA,2040,13.290795874031849
CPA,2045,13.004363584230129
CPA,2050,12.644930483866785
CPA,2055,12.69293845856806
CPA,2060,12.720994373338524
CPA,2065,12.736162603230838
CPA,2070,12.74357449986525
CPA,2075,12.747060409838353
CPA,2080,12.748659296257456
CPA,2085,12.749388497447187
CPA,2090,12.749720875927334
CPA,2095,12.749872814540693
CPA,2100,12.749942232279624
EEU,2020,11.488169975561789
EEU,2025,14.030639826079462
EEU,2030,15.365387186477522
EEU,2035,15.787678490837193
EEU,2040,15.744708589666438
EEU,2045,15.463913825527483
EEU,2050,15.070205951149259
EEU,2055,15.153707504304666
EEU,2060,15.207608213605518
EEU,2065,15.242774973787308
EEU,2070,15.264252722039412
EEU,2075,15.277042234114145
EEU,2080,15.284719933403704
EEU,2085,15.289545443452687
EEU,2090,15.29275032861006
EEU,2095,15.294954042149826
EEU,2100,15.296479396571717
FSU,2020,7.817349153191681
FSU,2025,8.973391491179841
FSU,2030,10.029333307905151
FSU,2035,11.166727077027158
FSU,2040,12.041318441015122
FSU,2045,12.629182828263087
FSU,2050,12.976945281721614
FSU,2055,13.635281665262772
FSU,2060,14.174390856946694
FSU,2065,14.570306363252968
FSU,2070,14.839432178003856
FSU,2075,15.013784799551889
FSU,2080,15.126150766320276
FSU,2085,15.198113237265744
FSU,2090,15.243167182711531
FSU,2095,15.269849403195485
FSU,2100,15.284744589252053
LAC,2020,4.665905626180668
LAC,2025,5.957277383547237
LAC,2030,6.807198175419544
LAC,2035,8.060268237834618
