region_gea,year,value
AFR,2015,1.491652982
AFR,2020,1.642949905
AFR,2025,1.887195396
AFR,2030,2.28676435
AFR,2035,2.90538723
AFR,2040,3.818171687
AFR,2045,5.123523408
AFR,2050,6.902748673
AFR,2055,9.078909165
AFR,2060,11.27837388
AFR,2065,13.01307951
AFR,2070,14.07155631
AFR,2075,14.58581676
AFR,2080,14.80056711
AFR,2085,14.88501807
AFR,2090,14.92074769
AFR,2095,14.93933244
AFR,2100,14.95171835
CPA,2015,7.72766031
CPA,2020,10.80322232
CPA,2025,13.14996943
CPA,2030,14.21281306
CPA,2035,14.59840708
CPA,2040,14.77481697
CPA,2045,14.87871498
CPA,2050,14.93865015
CPA,2055,14.9707721
CPA,2060,14.98677616
CPA,2065,14.99444338
CPA,2070,14.99772203
CPA,2075,14.9990532
CPA,2080,14.9996074
CPA,2085,14.99984059
CPA,2090,14.99993973
CPA,2095,14.9999787
CPA,2100,14.99999289
EEU,2015,9.240224795
EEU,2020,11.66414258
EEU,2025,13.85923877
EEU,2030,15.55863205
EEU,2035,16.63911023
EEU,2040,17.22713099
EEU,2045,17.54077917
EEU,2050,17.71712683
EEU,2055,17.82443982
EEU,2060,17.89305575
EEU,2065,17.93579714
EEU,2070,17.96086513
EEU,2075,17.97579118
EEU,2080,17.98525208
EEU,2085,17.99114603
EEU,2090,17.99486361
EEU,2095,17.99715266
EEU,2100,17.9984849
FSU,2015,8.532171864
FSU,2020,10.95935222
FSU,2025,13.36023773
FSU,2030,15.19757263
FSU,2035,16.32731492
FSU,2040,16.99030633
FSU,2045,17.38468806
FSU,2050,17.6180414
FSU,2055,17.76324112
FSU,2060,17.86094681
FSU,2065,17.92636271
FSU,2070,17.9632857
FSU,2075,17.98146593
FSU,2080,17.99092231
FSU,2085,17.99572202
FSU,2090,17.99807876
FSU,2095,17.99915389
FSU,2100,17.99961663
LAC,2015,5.812547598
LAC,2020,7.363089489
LAC,2025,9.317141508
LAC,2030,11.5872101
LAC,2035,13.7954657
LAC,2040,15.52504851
LAC,2045,16.67537602
LAC,2050,17.34753992
LAC,2055,17.70405891
LAC,2060,17.87544983
LAC,2065,17.95022975
LAC,2070,17.98067078
LAC,2075,17.99263134
LAC,2080,17.99726515
LAC,2085,17.99900235
LAC,2090,17.99964645
LAC,2095,17.9998793
LAC,2100,17.9999598
MEA,2015,4.537542216
MEA,2020,5.550255838
MEA,2025,6.852042083
MEA,2030,8.463781335
MEA,2035,10.0969754
MEA,2040,11.47041041
MEA,2045,12.52615098
MEA,2050,13.30838315
MEA,2055,13.88752235
MEA,2060,14.30142601
MEA,2065,14.57567404
MEA,2070,14.74472234
MEA,2075,14.84671312
MEA,2080,14.90844413
MEA,2085,14.94550699
MEA,2090,14.96765081
MEA,2095,14.98080014
MEA,2100,14.98848172
NAM,2015,24.32460983
NAM,2020,24.73910205
NAM,2025,24.88332262
NAM,2030,24.94324641
NAM,2035,24.97146816
NAM,2040,24.98510091
NAM,2045,24.99192501
NAM,2050,24.99536777
NAM,2055,24.99730919
NAM,2060,24.99850698
NAM,2065,24.99923786
NAM,2070,24.99962805
NAM,2075,24.99981969
NAM,2080,24.99991652
NAM,2085,24.9999629
NAM,2090,24.9999843
NAM,2095,24.99999379
NAM,2100,24.9999977
PAO,2015,17.36148201
PAO,2020,19.50673017
PAO,2025,21.59276178
PAO,2030,23.18781397
PAO,2035,24.12543118
PAO,2040,24.58622145
PAO,2045,24.81457274
PAO,2050,24.91709466
PAO,2055,24.96405684
PAO,2060,24.98538103
PAO,2065,24.99439328
PAO,2070,24.99795529
PAO,2075,24.99926768
PAO,2080,24.9997438
PAO,2085,24.99991621
PAO,2090,24.99997431
PAO,2095,24.99999257
PAO,2100,24.99999795
PAS,2015,2.867558955
PAS,2020,4.009658406
PAS,2025,5.527036206
PAS,2030,7.456320613
PAS,2035,9.622013727
PAS,2040,11.42300553
PAS,2045,12.65561207
PAS,2050,13.51017283
PAS,2055,14.10892301
PAS,2060,14.49735426
PAS,2065,14.72618027
PAS,2070,14.85320429
PAS,2075,14.92183847
PAS,2080,14.95909649
PAS,2085,14.97892549
PAS,2090,14.989358
PAS,2095,14.99473602
PAS,2100,14.9974204
SAS,2015,2.487720816
SAS,2020,2.967523129
SAS,2025,3.753506115
SAS,2030,5.008575902
SAS,2035,6.835925573
SAS,2040,8.996349443
SAS,2045,10.99039596
SAS,2050,12.48376785
SAS,2055,13.5000925
SAS,2060,14.16284304
SAS,2065,14.57138125
SAS,2070,14.80148863
SAS,2075,14.91618628
SAS,2080,14.96741288
SAS,2085,14.98812588
SAS,2090,14.99589733
SAS,2095,14.99865006
SAS,2100,14.99956857
WEU,2015,15.39051025
WEU,2020,16.78025853
WEU,2025,17.84228499
WEU,2030,18.68604369
WEU,2035,19.26792817
WEU,2040,19.60678096
WEU,2045,19.78789311
WEU,2050,19.8854178
WEU,2055,19.94100265
WEU,2060,19.97178401
WEU,2065,19.98743155
WEU,2070,19.99454845
WEU,2075,19.99765186
WEU,2080,19.99903095
WEU,2085,19.99962264
WEU,2090,19.99986409
WEU,2095,19.99995398
WEU,2100,19.99998505
