region_gea,urt,mat,arch,year,value
AFR,rur,perm,comm,2020,1
AFR,urb,perm,comm,2020,1
CPA,rur,perm,comm,2020,1
CPA,urb,perm,comm,2020,1
EEU,rur,perm,comm,2020,1
EEU,urb,perm,comm,2020,1
FSU,rur,perm,comm,2020,1
FSU,urb,perm,comm,2020,1
LAC,rur,perm,comm,2020,1
LAC,urb,perm,comm,2020,1
MEA,rur,perm,comm,2020,1
MEA,urb,perm,comm,2020,1
NAM,rur,perm,comm,2020,1
NAM,urb,perm,comm,2020,1
PAO,rur,perm,comm,2020,1
PAO,urb,perm,comm,2020,1
PAS,rur,perm,comm,2020,1
PAS,urb,perm,comm,2020,1
SAS,rur,perm,comm,2020,1
SAS,urb,perm,comm,2020,1
WEU,rur,perm,comm,2020,1
WEU,urb,perm,comm,2020,1
