region_gea,mat,eneff,year,value
AFR,perm,s51_std,2020,1
AFR,perm,s52_low,2020,0
CPA,perm,s51_std,2020,0.95
CPA,perm,s52_low,2020,0.05
EEU,perm,s51_std,2020,0
EEU,perm,s52_low,2020,1
FSU,perm,s51_std,2020,0.95
FSU,perm,s52_low,2020,0.05
LAC,perm,s51_std,2020,1
LAC,perm,s52_low,2020,0
MEA,perm,s51_std,2020,1
MEA,perm,s52_low,2020,0
NAM,perm,s51_std,2020,0.95
NAM,perm,s52_low,2020,0.05
PAO,perm,s51_std,2020,0.95
PAO,perm,s52_low,2020,0.05
PAS,perm,s51_std,2020,1
PAS,perm,s52_low,2020,0
SAS,perm,s51_std,2020,1
SAS,perm,s52_low,2020,0
WEU,perm,s51_std,2020,0
WEU,perm,s52_low,2020,1
AFR,perm,s51_std,2025,1
AFR,perm,s52_low,2025,0
CPA,perm,s51_std,2025,0.5
CPA,perm,s52_low,2025,0.5
EEU,perm,s51_std,2025,0
EEU,perm,s52_low,2025,1
FSU,perm,s51_std,2025,0.5
FSU,perm,s52_low,2025,0.5
LAC,perm,s51_std,2025,1
LAC,perm,s52_low,2025,0
MEA,perm,s51_std,2025,1
MEA,perm,s52_low,2025,0
NAM,perm,s51_std,2025,0.5
NAM,perm,s52_low,2025,0.5
PAO,perm,s51_std,2025,0.5
PAO,perm,s52_low,2025,0.5
PAS,perm,s51_std,2025,1
PAS,perm,s52_low,2025,0
SAS,perm,s51_std,2025,1
SAS,perm,s52_low,2025,0
WEU,perm,s51_std,2025,0
WEU,perm,s52_low,2025,1
AFR,perm,s51_std,2030,1
AFR,perm,s52_low,2030,0
CPA,perm,s51_std,2030,0
CPA,perm,s52_low,2030,1
EEU,perm,s51_std,2030,0
EEU,perm,s52_low,2030,1
FSU,perm,s51_std,2030,0
FSU,perm,s52_low,2030,1
LAC,perm,s51_std,2030,1
LAC,perm,s52_low,2030,0
MEA,perm,s51_std,2030,1
MEA,perm,s52_low,2030,0
NAM,perm,s51_std,2030,0
NAM,perm,s52_low,2030,1
PAO,perm,s51_std,2030,0
PAO,perm,s52_low,2030,1
PAS,perm,s51_std,2030,1
PAS,perm,s52_low,2030,0
SAS,perm,s51_std,2030,1
SAS,perm,s52_low,2030,0
WEU,perm,s51_std,2030,0
WEU,perm,s52_low,2030,1
AFR,perm,s51_std,2035,1
AFR,perm,s52_low,2035,0
CPA,perm,s51_std,2035,0
CPA,perm,s52_low,2035,1
EEU,perm,s51_std,2035,0
EEU,perm,s52_low,2035,1
FSU,perm,s51_std,2035,0
FSU,perm,s52_low,2035,1
LAC,perm,s51_std,2035,1
LAC,perm,s52_low,2035,0
MEA,perm,s51_std,2035,1
MEA,perm,s52_low,2035,0
NAM,perm,s51_std,2035,0
NAM,perm,s52_low,2035,1
PAO,perm,s51_std,2035,0
PAO,perm,s52_low,2035,1
PAS,perm,s51_std,2035,1
PAS,perm,s52_low,2035,0
SAS,perm,s51_std,2035,1
SAS,perm,s52_low,2035,0
WEU,perm,s51_std,2035,0
WEU,perm,s52_low,2035,1
