region_bld,urt,clim,year,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,2020,1.2189109326009606
C-EEU-BGR,rur,Zone_4A Mixed Humid,2025,1.1570548650991639
C-EEU-BGR,rur,Zone_4A Mixed Humid,2030,1.1119606874057057
C-EEU-BGR,rur,Zone_4A Mixed Humid,2035,1.0703123733021305
C-EEU-BGR,rur,Zone_4A Mixed Humid,2040,1.0324259367445052
C-EEU-BGR,rur,Zone_4A Mixed Humid,2045,0.996940662068716
C-EEU-BGR,rur,Zone_4A Mixed Humid,2050,0.9644861997283682
C-EEU-BGR,rur,Zone_4A Mixed Humid,2055,0.9341143443046867
C-EEU-BGR,rur,Zone_4A Mixed Humid,2060,0.9051600043868314
C-EEU-BGR,rur,Zone_4A Mixed Humid,2065,0.876923670710834
C-EEU-BGR,rur,Zone_4A Mixed Humid,2070,0.8496572561944635
C-EEU-BGR,rur,Zone_4A Mixed Humid,2075,0.8235479246514379
C-EEU-BGR,rur,Zone_4A Mixed Humid,2080,0.7994059208532707
C-EEU-BGR,rur,Zone_4A Mixed Humid,2085,0.7771971879195768
C-EEU-BGR,rur,Zone_4A Mixed Humid,2090,0.756646352047397
C-EEU-BGR,rur,Zone_4A Mixed Humid,2095,0.7365479850659915
C-EEU-BGR,rur,Zone_4A Mixed Humid,2100,0.7149403001705107
C-EEU-BGR,rur,Zone_5A Cool Humid,2020,0.596593075189042
C-EEU-BGR,rur,Zone_5A Cool Humid,2025,0.5663177691408364
C-EEU-BGR,rur,Zone_5A Cool Humid,2030,0.5442465304442937
C-EEU-BGR,rur,Zone_5A Cool Humid,2035,0.5238618615378697
C-EEU-BGR,rur,Zone_5A Cool Humid,2040,0.5053184347054944
C-EEU-BGR,rur,Zone_5A Cool Humid,2045,0.48795025088128097
C-EEU-BGR,rur,Zone_5A Cool Humid,2050,0.4720654909916315
C-EEU-BGR,rur,Zone_5A Cool Humid,2055,0.4572000581353137
C-EEU-BGR,rur,Zone_5A Cool Humid,2060,0.44302842489316846
C-EEU-BGR,rur,Zone_5A Cool Humid,2065,0.4292082181091655
C-EEU-BGR,rur,Zone_5A Cool Humid,2070,0.41586273596553625
C-EEU-BGR,rur,Zone_5A Cool Humid,2075,0.4030835853485622
C-EEU-BGR,rur,Zone_5A Cool Humid,2080,0.39126733864672936
C-EEU-BGR,rur,Zone_5A Cool Humid,2085,0.38039732680042315
C-EEU-BGR,rur,Zone_5A Cool Humid,2090,0.3703387687526033
C-EEU-BGR,rur,Zone_5A Cool Humid,2095,0.3605016705340085
C-EEU-BGR,rur,Zone_5A Cool Humid,2100,0.3499258402294895
C-EEU-BGR,urb,Zone_4A Mixed Humid,2020,3.7151182065608754
C-EEU-BGR,urb,Zone_4A Mixed Humid,2025,3.5575037852939797
C-EEU-BGR,urb,Zone_4A Mixed Humid,2030,3.4529515500573758
C-EEU-BGR,urb,Zone_4A Mixed Humid,2035,3.3611952235713156
C-EEU-BGR,urb,Zone_4A Mixed Humid,2040,3.283618366142058
C-EEU-BGR,urb,Zone_4A Mixed Humid,2045,3.216504039185347
C-EEU-BGR,urb,Zone_4A Mixed Humid,2050,3.162655439340843
C-EEU-BGR,urb,Zone_4A Mixed Humid,2055,3.119671573184072
C-EEU-BGR,urb,Zone_4A Mixed Humid,2060,3.08601036961444
C-EEU-BGR,urb,Zone_4A Mixed Humid,2065,3.05994435876135
C-EEU-BGR,urb,Zone_4A Mixed Humid,2070,3.043214338006016
C-EEU-BGR,urb,Zone_4A Mixed Humid,2075,3.0375728398188437
C-EEU-BGR,urb,Zone_4A Mixed Humid,2080,3.047106475917166
C-EEU-BGR,urb,Zone_4A Mixed Humid,2085,3.073497467482404
C-EEU-BGR,urb,Zone_4A Mixed Humid,2090,3.1177338185010735
C-EEU-BGR,urb,Zone_4A Mixed Humid,2095,3.177027029932448
C-EEU-BGR,urb,Zone_4A Mixed Humid,2100,3.244840144247599
C-EEU-BGR,urb,Zone_5A Cool Humid,2020,1.4896167856491318
C-EEU-BGR,urb,Zone_5A Cool Humid,2025,1.42641958046602
C-EEU-BGR,urb,Zone_5A Cool Humid,2030,1.384498232092625
