region_gea,year,value
AFR,2020,0.31
AFR,2025,0.31
AFR,2030,0.3038
AFR,2035,0.2976
AFR,2040,0.2914
AFR,2045,0.28519999999999995
AFR,2050,0.279
AFR,2055,0.2728
AFR,2060,0.2666
AFR,2070,0.2542
AFR,2080,0.24180000000000001
AFR,2090,0.2294
AFR,2100,0.217
CPA,2020,0.39
CPA,2025,0.39
CPA,2030,0.3822
CPA,2035,0.3744
CPA,2040,0.3666
CPA,2045,0.3588
CPA,2050,0.35100000000000003
CPA,2055,0.3432
CPA,2060,0.33540000000000003
CPA,2070,0.3198
CPA,2080,0.3042
CPA,2090,0.2886
CPA,2100,0.27299999999999996
EEU,2020,0.97
EEU,2025,0.97
EEU,2030,0.9506
EEU,2035,0.9311999999999999
EEU,2040,0.9117999999999999
EEU,2045,0.8923999999999999
EEU,2050,0.873
EEU,2055,0.8536
EEU,2060,0.8341999999999999
EEU,2070,0.7953999999999999
EEU,2080,0.7566
EEU,2090,0.7178
EEU,2100,0.6789999999999999
FSU,2020,1
FSU,2025,1
FSU,2030,0.98
FSU,2035,0.96
FSU,2040,0.94
FSU,2045,0.9199999999999999
FSU,2050,0.9
FSU,2055,0.88
FSU,2060,0.86
FSU,2070,0.82
FSU,2080,0.78
FSU,2090,0.74
FSU,2100,0.7
LAC,2020,0.52
LAC,2025,0.52
LAC,2030,0.5096
LAC,2035,0.4992
LAC,2040,0.4888
LAC,2045,0.4784
LAC,2050,0.468
LAC,2055,0.4576
LAC,2060,0.4472
LAC,2070,0.4264
LAC,2080,0.4056
LAC,2090,0.38480000000000003
LAC,2100,0.364
MEA,2020,0.45
MEA,2025,0.45
MEA,2030,0.441
MEA,2035,0.432
MEA,2040,0.423
MEA,2045,0.414
MEA,2050,0.405
MEA,2055,0.396
MEA,2060,0.387
MEA,2070,0.369
MEA,2080,0.35100000000000003
MEA,2090,0.333
MEA,2100,0.315
NAM,2020,0.62
NAM,2025,0.62
NAM,2030,0.6076
NAM,2035,0.5952
NAM,2040,0.5828
NAM,2045,0.5703999999999999
NAM,2050,0.558
NAM,2055,0.5456
NAM,2060,0.5332
NAM,2070,0.5084
NAM,2080,0.48360000000000003
NAM,2090,0.4588
NAM,2100,0.434
PAO,2020,0.37
PAO,2025,0.37
PAO,2030,0.3626
PAO,2035,0.35519999999999996
PAO,2040,0.3478
PAO,2045,0.3404
PAO,2050,0.333
PAO,2055,0.3256
PAO,2060,0.3182
PAO,2070,0.3034
PAO,2080,0.2886
PAO,2090,0.2738
PAO,2100,0.259
PAS,2020,0.34
PAS,2025,0.34
PAS,2030,0.3332
PAS,2035,0.3264
PAS,2040,0.3196
PAS,2045,0.3128
PAS,2050,0.30600000000000005
PAS,2055,0.2992
PAS,2060,0.2924
PAS,2070,0.2788
PAS,2080,0.26520000000000005
PAS,2090,0.2516
PAS,2100,0.238
SAS,2020,0.33
SAS,2025,0.33
SAS,2030,0.3234
SAS,2035,0.3168
SAS,2040,0.3102
SAS,2045,0.3036
SAS,2050,0.29700000000000004
SAS,2055,0.2904
SAS,2060,0.2838
SAS,2070,0.2706
SAS,2080,0.2574
SAS,2090,0.2442
SAS,2100,0.23099999999999998
WEU,2020,1.03
WEU,2025,1.03
WEU,2030,1.0094
WEU,2035,0.9888
WEU,2040,0.9682
WEU,2045,0.9476
WEU,2050,0.927
WEU,2055,0.9064
WEU,2060,0.8858
WEU,2070,0.8446
WEU,2080,0.8034
WEU,2090,0.7622
WEU,2100,0.721
