year,region_bld,clim,arch,urt,value,region_gea
2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,rur,43183,EEU
2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,urb,429357,EEU
2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,rur,111500,EEU
2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,urb,492038,EEU
2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,rur,21676,EEU
2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,urb,287740,EEU
2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,rur,11765,EEU
2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,urb,260415,EEU
2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,rur,121899,EEU
2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,urb,403839,EEU
2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,rur,114042,EEU
2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,urb,220114,EEU
2020,C-EEU-EST,Zone_6A Cold Humid,mfh,rur,25956,EEU
2020,C-EEU-EST,Zone_6A Cold Humid,mfh,urb,97631,EEU
2020,C-EEU-EST,Zone_6A Cold Humid,sfh,rur,20360,EEU
2020,C-EEU-EST,Zone_6A Cold Humid,sfh,urb,31743,EEU
2020,C-EEU-HRV,Zone_3A Warm Humid,mfh,rur,62070,EEU
2020,C-EEU-HRV,Zone_3A Warm Humid,sfh,rur,39218,EEU
2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,rur,87011,EEU
2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,urb,253535,EEU
2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,rur,227771,EEU
2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,urb,157356,EEU
2020,C-EEU-HRV,Zone_4C Mixed Marine,mfh,rur,63302,EEU
2020,C-EEU-HRV,Zone_4C Mixed Marine,sfh,rur,33757,EEU
2020,C-EEU-HRV,Zone_5A Cool Humid,mfh,rur,16829,EEU
2020,C-EEU-HRV,Zone_5A Cool Humid,sfh,rur,17635,EEU
2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,rur,26183,EEU
2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,urb,258389,EEU
2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,rur,34925,EEU
2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,urb,138880,EEU
2020,C-EEU-HUN,Zone_5A Cool Humid,mfh,rur,15281,EEU
2020,C-EEU-HUN,Zone_5A Cool Humid,mfh,urb,24160,EEU
2020,C-EEU-HUN,Zone_5A Cool Humid,sfh,rur,33200,EEU
2020,C-EEU-HUN,Zone_5A Cool Humid,sfh,urb,33438,EEU
2020,C-EEU-LTU,Zone_5A Cool Humid,mfh,rur,3822,EEU
2020,C-EEU-LTU,Zone_5A Cool Humid,mfh,urb,19300,EEU
2020,C-EEU-LTU,Zone_5A Cool Humid,sfh,rur,3465,EEU
2020,C-EEU-LTU,Zone_5A Cool Humid,sfh,urb,4376,EEU
2020,C-EEU-LTU,Zone_6A Cold Humid,mfh,rur,4405,EEU
2020,C-EEU-LTU,Zone_6A Cold Humid,mfh,urb,105798,EEU
2020,C-EEU-LTU,Zone_6A Cold Humid,sfh,rur,4407,EEU
2020,C-EEU-LTU,Zone_6A Cold Humid,sfh,urb,78723,EEU
2020,C-EEU-LVA,Zone_6A Cold Humid,mfh,rur,57054,EEU
2020,C-EEU-LVA,Zone_6A Cold Humid,mfh,urb,101377,EEU
