region_gea,mat,eneff_i,eneff_f,year,value
NAM,perm,s1,sr11_std,2020,0.95
WEU,perm,s1,sr11_std,2020,0.9
EEU,perm,s1,sr11_std,2020,0.9
FSU,perm,s1,sr11_std,2020,0.95
PAO,perm,s1,sr11_std,2020,0.95
CPA,perm,s1,sr11_std,2020,0.95
SAS,perm,s1,sr11_std,2020,1
PAS,perm,s1,sr11_std,2020,1
MEA,perm,s1,sr11_std,2020,1
AFR,perm,s1,sr11_std,2020,1
LAC,perm,s1,sr11_std,2020,1
NAM,perm,s1,sr12_low,2020,0.05
WEU,perm,s1,sr12_low,2020,0.1
EEU,perm,s1,sr12_low,2020,0.1
FSU,perm,s1,sr12_low,2020,0.05
PAO,perm,s1,sr12_low,2020,0.05
CPA,perm,s1,sr12_low,2020,0.05
SAS,perm,s1,sr12_low,2020,0
PAS,perm,s1,sr12_low,2020,0
MEA,perm,s1,sr12_low,2020,0
AFR,perm,s1,sr12_low,2020,0
LAC,perm,s1,sr12_low,2020,0
NAM,perm,s2,sr21_std,2020,0.95
WEU,perm,s2,sr21_std,2020,0.9
EEU,perm,s2,sr21_std,2020,0.9
FSU,perm,s2,sr21_std,2020,0.95
PAO,perm,s2,sr21_std,2020,0.95
CPA,perm,s2,sr21_std,2020,0.95
SAS,perm,s2,sr21_std,2020,1
PAS,perm,s2,sr21_std,2020,1
MEA,perm,s2,sr21_std,2020,1
AFR,perm,s2,sr21_std,2020,1
LAC,perm,s2,sr21_std,2020,1
NAM,perm,s2,sr22_low,2020,0.05
WEU,perm,s2,sr22_low,2020,0.1
EEU,perm,s2,sr22_low,2020,0.1
FSU,perm,s2,sr22_low,2020,0.05
PAO,perm,s2,sr22_low,2020,0.05
CPA,perm,s2,sr22_low,2020,0.05
SAS,perm,s2,sr22_low,2020,0
PAS,perm,s2,sr22_low,2020,0
MEA,perm,s2,sr22_low,2020,0
AFR,perm,s2,sr22_low,2020,0
LAC,perm,s2,sr22_low,2020,0
NAM,perm,s3,sr31_std,2020,0.95
WEU,perm,s3,sr31_std,2020,0.9
EEU,perm,s3,sr31_std,2020,0.9
FSU,perm,s3,sr31_std,2020,0.95
PAO,perm,s3,sr31_std,2020,0.95
CPA,perm,s3,sr31_std,2020,0.95
SAS,perm,s3,sr31_std,2020,1
PAS,perm,s3,sr31_std,2020,1
MEA,perm,s3,sr31_std,2020,1
AFR,perm,s3,sr31_std,2020,1
LAC,perm,s3,sr31_std,2020,1
NAM,perm,s3,sr32_low,2020,0.05
WEU,perm,s3,sr32_low,2020,0.1
EEU,perm,s3,sr32_low,2020,0.1
FSU,perm,s3,sr32_low,2020,0.05
PAO,perm,s3,sr32_low,2020,0.05
CPA,perm,s3,sr32_low,2020,0.05
SAS,perm,s3,sr32_low,2020,0
PAS,perm,s3,sr32_low,2020,0
MEA,perm,s3,sr32_low,2020,0
AFR,perm,s3,sr32_low,2020,0
LAC,perm,s3,sr32_low,2020,0
NAM,perm,s1,sr11_std,2025,0.95
WEU,perm,s1,sr11_std,2025,0.9
EEU,perm,s1,sr11_std,2025,0.9
FSU,perm,s1,sr11_std,2025,0.95
PAO,perm,s1,sr11_std,2025,0.95
CPA,perm,s1,sr11_std,2025,0.95
SAS,perm,s1,sr11_std,2025,1
PAS,perm,s1,sr11_std,2025,1
MEA,perm,s1,sr11_std,2025,1
AFR,perm,s1,sr11_std,2025,1
LAC,perm,s1,sr11_std,2025,1
NAM,perm,s1,sr12_low,2025,0.05
WEU,perm,s1,sr12_low,2025,0.1
EEU,perm,s1,sr12_low,2025,0.1
FSU,perm,s1,sr12_low,2025,0.05
PAO,perm,s1,sr12_low,2025,0.05
CPA,perm,s1,sr12_low,2025,0.05
SAS,perm,s1,sr12_low,2025,0
PAS,perm,s1,sr12_low,2025,0
MEA,perm,s1,sr12_low,2025,0
AFR,perm,s1,sr12_low,2025,0
LAC,perm,s1,sr12_low,2025,0
NAM,perm,s2,sr21_std,2025,0.95
WEU,perm,s2,sr21_std,2025,0.9
EEU,perm,s2,sr21_std,2025,0.9
FSU,perm,s2,sr21_std,2025,0.95
PAO,perm,s2,sr21_std,2025,0.95
CPA,perm,s2,sr21_std,2025,0.95
SAS,perm,s2,sr21_std,2025,1
PAS,perm,s2,sr21_std,2025,1
MEA,perm,s2,sr21_std,2025,1
AFR,perm,s2,sr21_std,2025,1
LAC,perm,s2,sr21_std,2025,1
NAM,perm,s2,sr22_low,2025,0.05
WEU,perm,s2,sr22_low,2025,0.1
EEU,perm,s2,sr22_low,2025,0.1
FSU,perm,s2,sr22_low,2025,0.05
PAO,perm,s2,sr22_low,2025,0.05
CPA,perm,s2,sr22_low,2025,0.05
SAS,perm,s2,sr22_low,2025,0
PAS,perm,s2,sr22_low,2025,0
MEA,perm,s2,sr22_low,2025,0
AFR,perm,s2,sr22_low,2025,0
LAC,perm,s2,sr22_low,2025,0
NAM,perm,s3,sr31_std,2025,0.95
WEU,perm,s3,sr31_std,2025,0.9
EEU,perm,s3,sr31_std,2025,0.9
FSU,perm,s3,sr31_std,2025,0.95
PAO,perm,s3,sr31_std,2025,0.95
CPA,perm,s3,sr31_std,2025,0.95
SAS,perm,s3,sr31_std,2025,1
PAS,perm,s3,sr31_std,2025,1
MEA,perm,s3,sr31_std,2025,1
AFR,perm,s3,sr31_std,2025,1
LAC,perm,s3,sr31_std,2025,1
NAM,perm,s3,sr32_low,2025,0.05
WEU,perm,s3,sr32_low,2025,0.1
EEU,perm,s3,sr32_low,2025,0.1
FSU,perm,s3,sr32_low,2025,0.05
PAO,perm,s3,sr32_low,2025,0.05
CPA,perm,s3,sr32_low,2025,0.05
SAS,perm,s3,sr32_low,2025,0
PAS,perm,s3,sr32_low,2025,0
MEA,perm,s3,sr32_low,2025,0
AFR,perm,s3,sr32_low,2025,0
LAC,perm,s3,sr32_low,2025,0
NAM,perm,s1,sr11_std,2030,0.95
WEU,perm,s1,sr11_std,2030,0.9
EEU,perm,s1,sr11_std,2030,0.9
FSU,perm,s1,sr11_std,2030,0.95
PAO,perm,s1,sr11_std,2030,0.95
CPA,perm,s1,sr11_std,2030,0.95
SAS,perm,s1,sr11_std,2030,1
PAS,perm,s1,sr11_std,2030,1
MEA,perm,s1,sr11_std,2030,1
AFR,perm,s1,sr11_std,2030,1
LAC,perm,s1,sr11_std,2030,1
NAM,perm,s1,sr12_low,2030,0.05
WEU,perm,s1,sr12_low,2030,0.1
EEU,perm,s1,sr12_low,2030,0.1
FSU,perm,s1,sr12_low,2030,0.05
PAO,perm,s1,sr12_low,2030,0.05
CPA,perm,s1,sr12_low,2030,0.05
SAS,perm,s1,sr12_low,2030,0
PAS,perm,s1,sr12_low,2030,0
MEA,perm,s1,sr12_low,2030,0
AFR,perm,s1,sr12_low,2030,0
LAC,perm,s1,sr12_low,2030,0
NAM,perm,s2,sr21_std,2030,0.95
WEU,perm,s2,sr21_std,2030,0.9
EEU,perm,s2,sr21_std,2030,0.9
FSU,perm,s2,sr21_std,2030,0.95
PAO,perm,s2,sr21_std,2030,0.95
CPA,perm,s2,sr21_std,2030,0.95
SAS,perm,s2,sr21_std,2030,1
PAS,perm,s2,sr21_std,2030,1
MEA,perm,s2,sr21_std,2030,1
AFR,perm,s2,sr21_std,2030,1
