region_bld,urt,clim,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,0.671389833
C-EEU-BGR,rur,Zone_5A Cool Humid,0.32861016699999995
C-EEU-BGR,urb,Zone_4A Mixed Humid,0.713795844
C-EEU-BGR,urb,Zone_5A Cool Humid,0.28620415600000004
C-EEU-CZE,rur,Zone_5A Cool Humid,1
C-EEU-CZE,urb,Zone_5A Cool Humid,1
C-EEU-EST,rur,Zone_6A Cold Humid,1
C-EEU-EST,urb,Zone_6A Cold Humid,1
C-EEU-HRV,rur,Zone_3A Warm Humid,0.14338727199999998
C-EEU-HRV,rur,Zone_4A Mixed Humid,0.436405296
C-EEU-HRV,rur,Zone_5A Cool Humid,0.420207432
C-EEU-HRV,urb,Zone_3A Warm Humid,0.130260071
C-EEU-HRV,urb,Zone_4A Mixed Humid,0.346308354
C-EEU-HRV,urb,Zone_5A Cool Humid,0.523431575
C-EEU-HUN,rur,Zone_4A Mixed Humid,0.515033164
C-EEU-HUN,rur,Zone_5A Cool Humid,0.484966836
C-EEU-HUN,urb,Zone_4A Mixed Humid,0.4762998939999999
C-EEU-HUN,urb,Zone_5A Cool Humid,0.523700106
C-EEU-LTU,rur,Zone_6A Cold Humid,1
C-EEU-LTU,urb,Zone_6A Cold Humid,1
C-EEU-LVA,rur,Zone_6A Cold Humid,1
C-EEU-LVA,urb,Zone_6A Cold Humid,1
C-EEU-POL,rur,Zone_5A Cool Humid,1
C-EEU-POL,urb,Zone_5A Cool Humid,1
C-EEU-ROU,rur,Zone_4A Mixed Humid,0.34780954799999997
C-EEU-ROU,rur,Zone_5A Cool Humid,0.495090866
C-EEU-ROU,rur,Zone_6A Cold Humid,0.15709958599999996
C-EEU-ROU,urb,Zone_4A Mixed Humid,0.40331551040331554
C-EEU-ROU,urb,Zone_5A Cool Humid,0.5170510965170512
C-EEU-ROU,urb,Zone_6A Cold Humid,0.0796333930796334
C-EEU-SVK,rur,Zone_5A Cool Humid,0.5407992110000001
C-EEU-SVK,rur,Zone_6A Cold Humid,0.45920078899999994
C-EEU-SVK,urb,Zone_5A Cool Humid,0.585684745
C-EEU-SVK,urb,Zone_6A Cold Humid,0.4143152550000001
C-EEU-SVN,rur,Zone_5A Cool Humid,1
C-EEU-SVN,urb,Zone_5A Cool Humid,1
C-WEU-AUT,rur,Zone_4A Mixed Humid,0.00305391899999999
C-WEU-AUT,rur,Zone_5A Cool Humid,0.717325824
C-WEU-AUT,rur,Zone_6A Cold Humid,0.279620257
C-WEU-AUT,urb,Zone_4A Mixed Humid,0.349595149
C-WEU-AUT,urb,Zone_5A Cool Humid,0.44622001599999994
C-WEU-AUT,urb,Zone_6A Cold Humid,0.204184835
C-WEU-BEL,rur,Zone_4A Mixed Humid,1
C-WEU-BEL,urb,Zone_4A Mixed Humid,1
C-WEU-CHE,rur,Zone_5A Cool Humid,1
C-WEU-CHE,urb,Zone_5A Cool Humid,1
C-WEU-CYP,rur,Zone_3A Warm Humid,1
C-WEU-CYP,urb,Zone_3A Warm Humid,1
C-WEU-DEU,rur,Zone_4A Mixed Humid,0.03087862699999999
C-WEU-DEU,rur,Zone_5A Cool Humid,0.969121373
C-WEU-DEU,urb,Zone_4A Mixed Humid,0.247805196
C-WEU-DEU,urb,Zone_5A Cool Humid,0.752194804
C-WEU-DNK,rur,Zone_5A Cool Humid,1
C-WEU-DNK,urb,Zone_5A Cool Humid,1
C-WEU-ESP,rur,Zone_3A Warm Humid,0.5026459
C-WEU-ESP,rur,Zone_3B Warm Dry,0.129637842
C-WEU-ESP,rur,Zone_3C Warm Marine,0.046262641
C-WEU-ESP,rur,Zone_4A Mixed Humid,0.171227634
C-WEU-ESP,rur,Zone_4C Mixed Marine,0.150225983
C-WEU-ESP,urb,Zone_3A Warm Humid,0.43862456056137544
C-WEU-ESP,urb,Zone_3B Warm Dry,0.24222189475777808
C-WEU-ESP,urb,Zone_3C Warm Marine,0.05587955494412044
C-WEU-ESP,urb,Zone_4A Mixed Humid,0.18897443781102555
C-WEU-ESP,urb,Zone_4C Mixed Marine,0.07429955192570045
C-WEU-FIN,rur,Zone_6A Cold Humid,0.176179313
C-WEU-FIN,rur,Zone_7A Very cold Humid,0.823820687
C-WEU-FIN,urb,Zone_6A Cold Humid,0.636939824
C-WEU-FIN,urb,Zone_7A Very cold Humid,0.363060176
C-WEU-FRA,rur,Zone_3A Warm Humid,0.102099305
C-WEU-FRA,rur,Zone_4A Mixed Humid,0.758755556
C-WEU-FRA,rur,Zone_5A Cool Humid,0.13914513899999997
C-WEU-FRA,urb,Zone_3A Warm Humid,0.14566862900000002
C-WEU-FRA,urb,Zone_4A Mixed Humid,0.760844359
C-WEU-FRA,urb,Zone_5A Cool Humid,0.093487012
C-WEU-GBR,rur,Zone_4A Mixed Humid,0.48314530399999994
C-WEU-GBR,rur,Zone_5A Cool Humid,0.516854696
C-WEU-GBR,urb,Zone_4A Mixed Humid,0.429166781
C-WEU-GBR,urb,Zone_5A Cool Humid,0.5708332190000001
C-WEU-GRC,rur,Zone_3A Warm Humid,0.6540184130000001
C-WEU-GRC,rur,Zone_4A Mixed Humid,0.34598158700000003
C-WEU-GRC,urb,Zone_3A Warm Humid,0.881303962
C-WEU-GRC,urb,Zone_4A Mixed Humid,0.118696038
C-WEU-IRL,rur,Zone_5A Cool Humid,1
C-WEU-IRL,urb,Zone_5A Cool Humid,1
C-WEU-ISL,rur,Zone_7A Very cold Humid,1
C-WEU-ISL,urb,Zone_7A Very cold Humid,1
C-WEU-ITA,rur,Zone_3A Warm Humid,0.434394058
C-WEU-ITA,rur,Zone_4A Mixed Humid,0.434407913
C-WEU-ITA,rur,Zone_4C Mixed Marine,0.05649444899999999
C-WEU-ITA,rur,Zone_5A Cool Humid,0.07470357999999999
C-WEU-ITA,urb,Zone_3A Warm Humid,0.487702124
C-WEU-ITA,urb,Zone_4A Mixed Humid,0.43457245400000005
C-WEU-ITA,urb,Zone_4C Mixed Marine,0.04767564
C-WEU-ITA,urb,Zone_5A Cool Humid,0.030049782
C-WEU-LUX,rur,Zone_5A Cool Humid,1
C-WEU-LUX,urb,Zone_5A Cool Humid,1
C-WEU-MLT,rur,Zone_3A Warm Humid,1
C-WEU-MLT,urb,Zone_3A Warm Humid,1
C-WEU-NLD,rur,Zone_4A Mixed Humid,0.440225952
C-WEU-NLD,rur,Zone_5A Cool Humid,0.559774048
C-WEU-NLD,urb,Zone_4A Mixed Humid,0.880220527
C-WEU-NLD,urb,Zone_5A Cool Humid,0.11977947300000004
C-WEU-NOR,rur,Zone_6A Cold Humid,1
C-WEU-NOR,urb,Zone_6A Cold Humid,1
C-WEU-PRT,rur,Zone_3A Warm Humid,0.553903127
C-WEU-PRT,rur,Zone_3C Warm Marine,0.4460968729999999
C-WEU-PRT,urb,Zone_3A Warm Humid,0.504624283
C-WEU-PRT,urb,Zone_3C Warm Marine,0.495375717
C-WEU-SWE,rur,Zone_5A Cool Humid,0.136218621
C-WEU-SWE,rur,Zone_6A Cold Humid,0.863781379
C-WEU-SWE,urb,Zone_5A Cool Humid,0.41873904600000006
C-WEU-SWE,urb,Zone_6A Cold Humid,0.581260954
R32ANUZ,rur,Zone_2A Hot Humid,0.147343596
R32ANUZ,rur,Zone_3A Warm Humid,0.8526564040000001
R32ANUZ,urb,Zone_2A Hot Humid,0.15610236600000002
R32ANUZ,urb,Zone_3A Warm Humid,0.843897634
R32BRA,rur,Zone_0A Extremely hot Humid,0.280910412
R32BRA,rur,Zone_1A Very hot Humid,0.34757052899999996
R32BRA,rur,Zone_1B Very hot Dry,0.052654618
R32BRA,rur,Zone_2A Hot Humid,0.246836352
R32BRA,rur,Zone_3A Warm Humid,0.072028089
R32BRA,urb,Zone_0A Extremely hot Humid,0.114520259
R32BRA,urb,Zone_1A Very hot Humid,0.202315529
R32BRA,urb,Zone_1B Very hot Dry,0.008001272
R32BRA,urb,Zone_2A Hot Humid,0.604343442
R32BRA,urb,Zone_3A Warm Humid,0.070819498
R32CAN,rur,Zone_5A Cool Humid,0.077852991
R32CAN,rur,Zone_6A Cold Humid,0.417280286
R32CAN,rur,Zone_7A Very cold Humid,0.504866723
R32CAN,urb,Zone_5A Cool Humid,0.34658860334658853
R32CAN,urb,Zone_6A Cold Humid,0.3762144433762144
R32CAN,urb,Zone_7A Very cold Humid,0.27719695327719696
R32CAS-CAU,rur,Zone_4A Mixed Humid,0.369663582
R32CAS-CAU,rur,Zone_4B Mixed Dry,0.227876358
R32CAS-CAU,rur,Zone_5A Cool Humid,0.260280241
R32CAS-CAU,rur,Zone_6A Cold Humid,0.14217981900000007
R32CAS-CAU,urb,Zone_4A Mixed Humid,0.246624812
R32CAS-CAU,urb,Zone_4B Mixed Dry,0.30225719100000004
R32CAS-CAU,urb,Zone_5A Cool Humid,0.242206041
R32CAS-CAU,urb,Zone_6A Cold Humid,0.20891195600000004
R32CAS-OTH,rur,Zone_3B Warm Dry,0.03350994799999999
R32CAS-OTH,rur,Zone_4A Mixed Humid,0.182381846
R32CAS-OTH,rur,Zone_4B Mixed Dry,0.345503657
R32CAS-OTH,rur,Zone_5A Cool Humid,0.22609272
R32CAS-OTH,rur,Zone_6A Cold Humid,0.029808206
R32CAS-OTH,rur,Zone_7A Very cold Humid,0.182703623
R32CAS-OTH,urb,Zone_3B Warm Dry,0.06382824306382824
R32CAS-OTH,urb,Zone_4A Mixed Humid,0.24272178324272176
R32CAS-OTH,urb,Zone_4B Mixed Dry,0.1802934021802934
R32CAS-OTH,urb,Zone_5A Cool Humid,0.12318655312318656
R32CAS-OTH,urb,Zone_6A Cold Humid,0.02716777302716777
R32CAS-OTH,urb,Zone_7A Very cold Humid,0.36280224536280226
R32CHN,rur,Zone_1A Very hot Humid,0.01159073198840927
R32CHN,rur,Zone_2A Hot Humid,0.09714241990285756
R32CHN,rur,Zone_3A Warm Humid,0.39720156960279845
R32CHN,rur,Zone_3C Warm Marine,0.03385436396614564
R32CHN,rur,Zone_4A Mixed Humid,0.14545328885454673
R32CHN,rur,Zone_4B Mixed Dry,0.03986155496013845
R32CHN,rur,Zone_4C Mixed Marine,0.01959224498040775
R32CHN,rur,Zone_5A Cool Humid,0.04907827495092173
R32CHN,rur,Zone_5B Cool Dry,0.02888163297111836
R32CHN,rur,Zone_5C Cool Marine,0.00596070899403929
R32CHN,rur,Zone_6A Cold Humid,0.05944573894055426
R32CHN,rur,Zone_6B Cold Dry,0.02624056197375943
R32CHN,rur,Zone_7A Very cold Humid,0.07201132392798869
R32CHN,rur,Zone_7B Very cold Dry,0.00622344899377655
R32CHN,rur,Zone_8A Subarctic/arctic Humid,0.00746213499253786
R32CHN,urb,Zone_1A Very hot Humid,0.00555128436237111
R32CHN,urb,Zone_2A Hot Humid,0.1468725416726002
R32CHN,urb,Zone_3A Warm Humid,0.3706704776522091
R32CHN,urb,Zone_3C Warm Marine,0.00823822656972316
R32CHN,urb,Zone_4A Mixed Humid,0.2628055344723673
R32CHN,urb,Zone_4B Mixed Dry,0.08553151676820256
R32CHN,urb,Zone_4C Mixed Marine,0.00188645044349711
R32CHN,urb,Zone_5A Cool Humid,0.03413247293092048
R32CHN,urb,Zone_5B Cool Dry,0.01423824479971778
R32CHN,urb,Zone_5C Cool Marine,0.00164698751413868
R32CHN,urb,Zone_6A Cold Humid,0.0388147345496533
R32CHN,urb,Zone_6B Cold Dry,0.00819049458380409
R32CHN,urb,Zone_7A Very cold Humid,0.02128963371955804
R32CHN,urb,Zone_7B Very cold Dry,1.1099996725500966e-4
R32CHN,urb,Zone_8A Subarctic/arctic Humid,2.0399993982001774e-5
R32EEU,rur,Zone_3A Warm Humid,0.143387272
R32EEU,rur,Zone_4A Mixed Humid,0.436405296
R32EEU,rur,Zone_5A Cool Humid,0.420207432
R32EEU,urb,Zone_3A Warm Humid,0.13026007099999998
R32EEU,urb,Zone_4A Mixed Humid,0.346308354
R32EEU,urb,Zone_5A Cool Humid,0.5234315749999999
R32EEU-FSU,rur,Zone_5A Cool Humid,0.914343652
R32EEU-FSU,rur,Zone_6A Cold Humid,0.08565634799999998
R32EEU-FSU,urb,Zone_5A Cool Humid,0.861551797
R32EEU-FSU,urb,Zone_6A Cold Humid,0.13844820300000002
R32IDN,rur,Zone_0A Extremely hot Humid,0.5682506035682506
R32IDN,rur,Zone_1A Very hot Humid,0.4093228944093229
R32IDN,rur,Zone_2A Hot Humid,0.0224265020224265
R32IDN,urb,Zone_0A Extremely hot Humid,0.681858295
R32IDN,urb,Zone_1A Very hot Humid,0.3181417050000001
R32IDN,urb,Zone_2A Hot Humid,0
R32IND,rur,Zone_0A Extremely hot Humid,0.24596370924596372
R32IND,rur,Zone_0B Extremely hot Dry,0.10479911910479912
R32IND,rur,Zone_1A Very hot Humid,0.40072872140072874
R32IND,rur,Zone_1B Very hot Dry,0.1784591651784592
R32IND,rur,Zone_2A Hot Humid,0.04754069304754069
R32IND,rur,Zone_2B Hot Dry,0.00256557900256557
R32IND,rur,Zone_3A Warm Humid,0.00725783500725783
R32IND,rur,Zone_3C Warm Marine,0.00357588100357588
R32IND,rur,Zone_4C Mixed Marine,0.00743207900743207
R32IND,rur,Zone_5C Cool Marine,0.00167721800167721
R32IND,urb,Zone_0A Extremely hot Humid,0.39969134004631063
R32IND,urb,Zone_0B Extremely hot Dry,0.05130315606008147
R32IND,urb,Zone_1A Very hot Humid,0.3434911758940416
R32IND,urb,Zone_1B Very hot Dry,0.15904774307990105
R32IND,urb,Zone_2A Hot Humid,0.03514334095561391
R32IND,urb,Zone_2B Hot Dry,0.00473886921838236
R32IND,urb,Zone_3A Warm Humid,0.00291872367085851
R32IND,urb,Zone_3C Warm Marine,8.349993336705317e-4
R32IND,urb,Zone_4C Mixed Marine,4.629996305262948e-4
R32IND,urb,Zone_5C Cool Marine,0.00236765211061361
R32JPN,rur,Zone_3A Warm Humid,0.32397825267602176
R32JPN,rur,Zone_4A Mixed Humid,0.37412775762587225
R32JPN,rur,Zone_5A Cool Humid,0.23703174076296823
R32JPN,rur,Zone_6A Cold Humid,0.06486224893513774
R32JPN,urb,Zone_3A Warm Humid,0.668478081
R32JPN,urb,Zone_4A Mixed Humid,0.239647497
R32JPN,urb,Zone_5A Cool Humid,0.059567069
R32JPN,urb,Zone_6A Cold Humid,0.032307353
R32KOR,rur,Zone_4A Mixed Humid,0.508489285
R32KOR,rur,Zone_5A Cool Humid,0.491510715
R32KOR,urb,Zone_4A Mixed Humid,0.683891436
R32KOR,urb,Zone_5A Cool Humid,0.31610856400000004
