region_gea,urt,value,inc_cl,original_value
AFR,urb,0,d1,0
AFR,urb,0,d2,0
AFR,urb,0,d3,0
AFR,urb,0,d4,0
AFR,urb,0,d5,0
AFR,urb,0,d6,0
AFR,urb,0,d7,0
AFR,urb,0,d8,0
AFR,urb,0,d9,0
AFR,urb,0,d10,0
AFR,rur,0,d1,0
AFR,rur,0,d2,0
AFR,rur,0,d3,0
AFR,rur,0,d4,0
AFR,rur,0,d5,0
AFR,rur,0,d6,0
AFR,rur,0,d7,0
AFR,rur,0,d8,0
AFR,rur,0,d9,0
AFR,rur,0,d10,0
CPA,urb,0.1680405485,d1,0.336081097
CPA,urb,0.20538289261111112,d2,0.336081097
CPA,urb,0.2427252367222222,d3,0.336081097
CPA,urb,0.28006758083333333,d4,0.336081097
CPA,urb,0.3174099249444444,d5,0.336081097
CPA,urb,0.35475226905555557,d6,0.336081097
CPA,urb,0.39209461316666666,d7,0.336081097
CPA,urb,0.42943695727777775,d8,0.336081097
CPA,urb,0.4667793013888889,d9,0.336081097
CPA,urb,0.5041216454999999,d10,0.336081097
CPA,rur,0,d1,0
CPA,rur,0,d2,0
CPA,rur,0,d3,0
CPA,rur,0,d4,0
CPA,rur,0,d5,0
CPA,rur,0,d6,0
CPA,rur,0,d7,0
CPA,rur,0,d8,0
CPA,rur,0,d9,0
CPA,rur,0,d10,0
EEU,urb,0.225660073,d1,0.451320146
EEU,urb,0.27580675588888887,d2,0.451320146
EEU,urb,0.3259534387777777,d3,0.451320146
EEU,urb,0.3761001216666666,d4,0.451320146
EEU,urb,0.4262468045555555,d5,0.451320146
EEU,urb,0.47639348744444443,d6,0.451320146
EEU,urb,0.5265401703333333,d7,0.451320146
EEU,urb,0.5766868532222222,d8,0.451320146
EEU,urb,0.626833536111111,d9,0.451320146
EEU,urb,0.6769802189999999,d10,0.451320146
EEU,rur,0,d1,0
EEU,rur,0,d2,0
EEU,rur,0,d3,0
EEU,rur,0,d4,0
EEU,rur,0,d5,0
EEU,rur,0,d6,0
EEU,rur,0,d7,0
EEU,rur,0,d8,0
EEU,rur,0,d9,0
EEU,rur,0,d10,0
FSU,urb,0.8500000000000001,d1,0.9
FSU,urb,0.8611111111111112,d2,0.9
FSU,urb,0.8722222222222222,d3,0.9
