region_gea,urt,inc_cl,year,value
AFR,urb,d1,2020,7073.5664
AFR,urb,d1,2025,7649.7656
AFR,urb,d1,2030,8070.4909
AFR,urb,d1,2035,8695.4345
AFR,urb,d1,2040,9378.4807
AFR,urb,d1,2045,10092.4310
AFR,urb,d1,2050,10819.4646
AFR,urb,d1,2055,11551.6119
AFR,urb,d1,2060,12274.4137
AFR,urb,d1,2065,12896.2271
AFR,urb,d1,2070,13411.4591
AFR,urb,d1,2075,13810.1412
AFR,urb,d1,2080,14154.2756
AFR,urb,d1,2085,14473.2989
AFR,urb,d1,2090,14799.2280
AFR,urb,d1,2095,15104.7661
AFR,urb,d1,2100,15425.4492
AFR,urb,d2,2020,19150.1450
AFR,urb,d2,2025,20911.9090
AFR,urb,d2,2030,22277.1354
AFR,urb,d2,2035,24164.0939
AFR,urb,d2,2040,26201.8303
AFR,urb,d2,2045,28317.3728
AFR,urb,d2,2050,30460.1360
AFR,urb,d2,2055,32610.2320
AFR,urb,d2,2060,34728.4397
AFR,urb,d2,2065,36558.1056
AFR,urb,d2,2070,38086.3097
AFR,urb,d2,2075,39286.4313
AFR,urb,d2,2080,40335.5393
AFR,urb,d2,2085,41320.1287
AFR,urb,d2,2090,42334.7334
AFR,urb,d2,2095,43305.5188
AFR,urb,d2,2100,44338.2524
AFR,urb,d3,2020,30192.3749
AFR,urb,d3,2025,33192.7136
AFR,urb,d3,2030,35577.0198
AFR,urb,d3,2035,38754.2110
AFR,urb,d3,2040,42163.7594
AFR,urb,d3,2045,45691.0049
AFR,urb,d3,2050,49253.3722
AFR,urb,d3,2055,52820.9222
AFR,urb,d3,2060,56331.5918
AFR,urb,d3,2065,59371.5582
AFR,urb,d3,2070,61922.7452
AFR,urb,d3,2075,63943.6003
AFR,urb,d3,2080,65723.0859
AFR,urb,d3,2085,67404.7997
AFR,urb,d3,2090,69146.2283
AFR,urb,d3,2095,70831.2173
AFR,urb,d3,2100,72636.9574
AFR,urb,d4,2020,40975.9204
AFR,urb,d4,2025,45314.0610
AFR,urb,d4,2030,48816.0561
AFR,urb,d4,2035,53361.5584
AFR,urb,d4,2040,58217.1347
AFR,urb,d4,2045,63227.4291
AFR,urb,d4,2050,68276.8557
AFR,urb,d4,2055,73326.1999
AFR,urb,d4,2060,78290.8565
