R12,urt,arch,mat,eneff,fuel_heat,fuel_cool,scenario,year,stock_M,floor_Mm2,heat_TJ,cool_TJ,cool_ac_TJ,cool_fans_TJ,hotwater_TJ,other_uses_TJ
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2020,25.21899916783796,25.21899916783796,143.35065047685868,77.10116398393116,7.180725413878135,69.92043857005304,4773.976090667892,7926.770481556164
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2025,23.486426879883545,23.486426879883545,138.14679426327504,77.51208532714725,7.992291575718117,69.51979375142912,4541.172501655441,7375.977934322091
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2030,21.981705694114577,21.981705694114577,132.91836902611567,81.0544227876996,9.713829060580775,71.34059372711882,4350.578679584802,6895.6010823657325
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2035,20.67513697638954,20.67513697638954,127.80524280454344,88.38986388766588,13.072618791537495,75.31724509612839,4196.463395572045,6527.985739106221
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2040,19.539079927794482,19.539079927794482,122.88978325815546,96.59208211341358,17.079183282215823,79.51289883119775,4083.2255365070846,6232.518743240474
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2045,18.54845820131065,18.54845820131065,118.2148947150782,105.14845203247626,21.153530942345483,83.99492109013079,4008.643463306128,5999.852277617334
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2050,17.680953097856772,17.680953097856772,113.79780252774563,118.81645831805918,27.622424461247082,91.1940338568121,3968.709087206315,5820.501274410721
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2055,16.91699564877069,16.91699564877069,109.64023827705105,128.47437575985148,30.695775206016442,97.77860055383503,3960.226501301578,5685.497682841536
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2060,16.239638156383936,16.239638156383936,105.73571677361457,144.08655022773442,35.33190340863962,108.7546468190948,3975.321911591363,5580.362438008025
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2070,15.076949947564154,15.076949947564154,98.56930052124844,195.740751736144,46.03397552138077,149.70677621476324,4031.973034036714,5391.580176110539
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2080,14.116231422054078,14.116231422054078,92.32898900408216,321.71422938059766,74.81089661436937,246.90333276622835,4061.6506726111597,5167.704078391455
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2090,13.293000816183158,13.293000816183158,86.94454557276002,544.9519011418677,150.9003370976823,394.0515640441853,4014.3397522868922,4902.848083842017
AFR,rur,comm,perm,s1,biomass_solid,electricity,SSP2,2100,12.526858825088581,12.526858825088581,81.50768696552548,707.4168122767242,220.34146998103142,487.0753422956929,3879.59695224634,4621.178386813589
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2020,14.002530847172697,14.002530847172697,42.44994057921247,42.8094477443655,3.987007114958708,38.82244062940679,1413.7013030714013,4401.239218406454
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2025,13.040541961526749,13.040541961526749,40.90894033749399,43.03760663146914,4.43761897863512,38.59998765283402,1344.7619680418652,4095.4186114281997
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2030,12.20506452326381,12.20506452326381,39.36066455423056,45.00444477747024,5.393480929290452,39.61096384817979,1288.322067735571,3828.6954301046358
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2035,11.479608740839055,11.479608740839055,37.846531876604544,49.077355824373406,7.258406516223437,41.81894930814997,1242.6844328414534,3624.581652653354
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2040,10.848827409606827,10.848827409606827,36.39093355899757,53.63153392483625,9.483000858792956,44.14853306604329,1209.1516907658163,3460.5273340620297
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2045,10.29879720457373,10.29879720457373,35.006574714395164,58.38235028166835,11.745230950527988,46.63711933114036,1187.065955088033,3331.3422169080613
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2050,9.817125949896386,9.817125949896386,33.69855622789843,65.97133818574838,15.33700239414842,50.63433579159995,1175.2403241150457,3231.7598370502365
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2055,9.392948222826206,9.392948222826206,32.46739086665573,71.33377489666475,17.043441588925255,54.29033330773948,1172.7284048049196,3156.800797534614
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2060,9.01685402820119,9.01685402820119,31.311158193584472,80.00223763605344,19.61759323362263,60.38464440243081,1177.1985573159866,3098.4257803918563
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2070,8.371286081524888,8.371286081524888,29.188991722234604,108.68258078531441,25.559783639198912,83.1227971461155,1193.9744615298084,2993.60681322628
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2080,7.837859251220506,7.837859251220506,27.34106949607194,178.62776357776903,41.53780570935465,137.0899578684144,1202.7627997017373,2869.302436846607
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2090,7.380770852268567,7.380770852268567,25.746592575574187,302.5776619986467,83.7855067556721,218.79215524297453,1188.7527777760572,2722.244490218299
AFR,rur,comm,perm,s1,coal,electricity,SSP2,2100,6.955380185822867,6.955380185822867,24.136594127406315,392.78425246237566,122.34181895627276,270.44243350610293,1148.851850674211,2565.850947599294
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2020,8.518073526630166,8.518073526630166,19.36748358206833,26.042008227070326,2.425391532961747,23.616616694108583,644.9911685082908,2677.3788024358623
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2025,7.932872740481533,7.932872740481533,18.664413177892477,26.18080272082873,2.699509478523123,23.481293242305604,613.5380870397497,2491.340832252944
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2030,7.424631885572599,7.424631885572599,17.9580233596051,27.377277281691423,3.2809831040398683,24.096294177651558,587.7877837985268,2329.0867587236057
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2035,6.983319828273863,6.983319828273863,17.26721109030316,29.8549262254755,4.415461823992884,25.43946440148261,566.9659373457026,2204.9194790171714
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2040,6.599600498005062,6.599600498005062,16.603104706768402,32.625341397663675,5.768735627303128,26.856605770360545,551.666862181487,2105.121323712124
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2045,6.265004004007574,6.265004004007574,15.971500826170447,35.51537631225907,7.144904154813454,28.37047215744562,541.5904023004368,2026.5349353980528
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2050,5.971991890115657,5.971991890115657,15.37472669126157,40.13193867942756,9.32986440093094,30.802074278496622,536.19504224345,1965.9565983126874
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2055,5.713954460527445,5.713954460527445,14.813016248411131,43.3940368437266,10.367932067603485,33.02610477612312,535.0489969170266,1920.3572265239397
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2060,5.485167390718114,5.485167390718114,14.285493311985618,48.66726950311822,11.933849916119895,36.73341958699832,537.0884722205783,1884.8463111425367
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2070,5.092453009555932,5.092453009555932,13.317269947432582,66.11420637311586,15.548626083098075,50.56558029001779,544.7423592447728,1821.082433090659
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2080,4.76795674449006,4.76795674449006,12.474168570101659,108.66352951811064,25.268438043679637,83.395091474431,548.7519760545557,1745.4651158240936
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2090,4.489898968148569,4.489898968148569,11.746699811410348,184.06520939165242,50.968722354331476,133.0964870373209,542.3600031573895,1656.006259010535
AFR,rur,comm,perm,s1,electricity,electricity,SSP2,2100,4.231123678602932,4.231123678602932,11.012149466065042,238.94003013020432,74.42344677581461,164.51658335438975,524.1554888511864,1560.8683364687645
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2020,0.005610996814927522,0.005610996814927522,0.017010245126404797,0.017154304226239342,0.0015976457559556565,0.015556658470283688,0.5664885580590708,1.7636339820096907
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2025,0.005225515312396864,0.005225515312396864,0.0163927463173872,0.01724573049221477,0.0017782118201112541,0.015467518672103515,0.5388636665764005,1.6410876731834565
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2030,0.004890728601927661,0.004890728601927661,0.01577233195442005,0.018033868495344007,0.002161238285171928,0.01587263021017208,0.516247462121897,1.5342082143352003
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2035,0.004600029004620886,0.004600029004620886,0.015165599257621953,0.019665937198815965,0.002908538374545997,0.016757398824269968,0.4979598663781398,1.4524171605698366
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2040,0.004347266697424759,0.004347266697424759,0.014582321948238676,0.021490856163541367,0.0037999625322781734,0.01769089363126319,0.4845228593779957,1.3866784553669242
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2045,0.004126862409837534,0.004126862409837534,0.014027591279423648,0.023394570287953727,0.004706467691465678,0.01868810259648805,0.4756728160328368,1.3349122908408357
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2050,0.003933850447958301,0.003933850447958301,0.013503451206359512,0.026435576091813597,0.006145737092175408,0.020289838999638186,0.47093413072971996,1.2950083300915476
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2055,0.003763876895925983,0.003763876895925983,0.013010107088361344,0.028584374815174642,0.006829529721316307,0.021754845093858333,0.469927571549336,1.2649712640815753
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2060,0.003613171047568648,0.003613171047568648,0.012546789552884187,0.032057941116806536,0.007861025978570742,0.024196915138235797,0.4717188202482454,1.241579633843259
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2070,0.0033544835383505,0.0033544835383505,0.01169640970716406,0.04355052822991935,0.010242138959008563,0.03330838927091079,0.4784411424251643,1.1995773023960776
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2080,0.0031407324500218425,0.0031407324500218425,0.010955923110192485,0.07157847567338199,0.01664474087952218,0.05493373479385983,0.4819627443697881,1.149766917660277
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2090,0.002957571171366248,0.002957571171366248,0.010316995455357232,0.12124681752028806,0.03357394611957574,0.08767287140071231,0.47634874673712246,1.0908388821210468
AFR,rur,comm,perm,s1,gas,electricity,SSP2,2100,0.0027871115833403262,0.0027871115833403262,0.009671848007078643,0.1573937749633402,0.04902396333034508,0.10836981163299514,0.4603599249804702,1.0281699498979577
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2020,11.567648214298663,11.567648214298663,35.068373331754124,35.3653662439835,3.2937114180275477,32.07165482595595,1167.8745458595097,3635.913217486715
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2025,10.772938376689687,10.772938376689687,33.79533570081511,35.553850866601366,3.665966946514244,31.887883920087123,1110.9229858522583,3383.271374596968
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2030,10.08274106861522,10.08274106861522,32.516287663409884,37.17867797905629,4.455615254107249,32.723062724949045,1064.2973494487562,3162.9283547623745
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2035,9.483433887797618,9.483433887797618,31.265445629365367,40.543355600722606,5.996251255353327,34.54710434536928,1026.5955859908368,2994.3076676104492
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2040,8.962338335901098,8.962338335901098,30.062959488548103,44.305613348416664,7.834013660804931,36.47159968761173,998.8938106319127,2858.780549963763
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2045,8.507952197535602,8.507952197535602,28.919325077487503,48.23031617151799,9.702867382059738,38.527448789458255,980.6485359985248,2752.059271785533
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2050,8.110038156839206,8.110038156839206,27.838756294712176,54.49966442921816,12.670070166823685,41.82959426239448,970.8792492501019,2669.79314780967
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2055,7.759620165923482,7.759620165923482,26.821676743072757,58.92963370432577,14.079778776792768,44.849854927533,968.8041244559837,2607.8686422251517
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2060,7.448924521934414,7.448924521934414,25.86649992796398,66.09074826270844,16.2063144001428,49.88443386256563,972.4969677174872,2559.6443840356796
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2070,6.915613580721591,6.915613580721591,24.11335433883327,89.78390229632234,21.115224724082225,68.66867757224011,986.3557308611546,2473.0522564003945
AFR,rur,comm,perm,s1,oil,electricity,SSP2,2080,6.474943676971952,6.474943676971952,22.58676500523141,147.56640445044783,34.31484845570807,113.25155599473979,993.6158758672697,2370.363013074917
