region_gea,material,production,unit,year,1p5C,NPi,diff_1p5C_vs_NPi,pct_diff_1p5C_vs_NPi
AFR,aluminum,primary,kgco2e/kg,2020,11.21489795,11.21489795,0,0
AFR,aluminum,primary,kgco2e/kg,2025,11.983665084999998,11.983665084999998,0,0
AFR,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
AFR,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
AFR,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
AFR,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
AFR,concrete,primary,kgco2e/kg,2020,0.124062386,0.124062386,0,0
AFR,concrete,primary,kgco2e/kg,2025,0.1232993075,0.1232993075,0,0
AFR,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
AFR,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
AFR,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
AFR,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
AFR,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
AFR,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
AFR,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
AFR,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
AFR,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
AFR,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
AFR,steel,primary,kgco2e/kg,2020,2.096990073,2.096990073,0,0
AFR,steel,primary,kgco2e/kg,2025,2.034599286,2.034599286,0,0
AFR,steel,secondary,kgco2e/kg,2020,1.224899869,1.224899869,0,0
AFR,steel,secondary,kgco2e/kg,2025,1.200297276,1.200297276,0,0
AFR,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
AFR,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
CPA,aluminum,primary,kgco2e/kg,2020,14.50751932,14.50751932,0,0
CPA,aluminum,primary,kgco2e/kg,2025,14.38359667,14.38359667,0,0
CPA,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
CPA,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
CPA,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
CPA,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
CPA,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
CPA,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
CPA,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
CPA,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
CPA,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
CPA,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
CPA,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
CPA,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
CPA,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
CPA,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
CPA,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
CPA,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
CPA,steel,primary,kgco2e/kg,2020,0.880637012,0.880637012,0,0
CPA,steel,primary,kgco2e/kg,2025,0.8695784485,0.8695784485,0,0
CPA,steel,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
CPA,steel,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
CPA,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
CPA,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
EEU,aluminum,primary,kgco2e/kg,2020,14.50751932,14.50751932,0,0
EEU,aluminum,primary,kgco2e/kg,2025,14.38359667,14.38359667,0,0
EEU,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
EEU,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
EEU,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
EEU,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
EEU,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
EEU,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
EEU,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
EEU,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
EEU,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
EEU,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
EEU,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
EEU,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
EEU,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
EEU,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
EEU,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
EEU,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
EEU,steel,primary,kgco2e/kg,2020,0.880637012,0.880637012,0,0
EEU,steel,primary,kgco2e/kg,2025,0.8695784485,0.8695784485,0,0
EEU,steel,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
EEU,steel,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
