scenario_supply,region_gea,material,production,year,emission_factor,unit
1p5C,AFR,aluminum,primary,2020,11.21489795,kgco2e/kg
1p5C,AFR,aluminum,primary,2025,11.983665084999998,kgco2e/kg
1p5C,AFR,aluminum,primary,2030,8.223447035,kgco2e/kg
1p5C,AFR,aluminum,primary,2040,6.695691854,kgco2e/kg
1p5C,AFR,aluminum,primary,2050,7.042760225,kgco2e/kg
1p5C,AFR,aluminum,primary,2060,6.819144253,kgco2e/kg
1p5C,AFR,aluminum,primary,2070,6.713639069,kgco2e/kg
1p5C,AFR,aluminum,primary,2080,6.815179177,kgco2e/kg
1p5C,AFR,aluminum,primary,2090,6.744792761,kgco2e/kg
1p5C,AFR,aluminum,primary,2100,6.685794333,kgco2e/kg
1p5C,AFR,aluminum,secondary,2020,0.922967288,kgco2e/kg
1p5C,AFR,aluminum,secondary,2025,0.911334575,kgco2e/kg
1p5C,AFR,aluminum,secondary,2030,0.731229512,kgco2e/kg
1p5C,AFR,aluminum,secondary,2040,0.672749871,kgco2e/kg
1p5C,AFR,aluminum,secondary,2050,0.655466196,kgco2e/kg
1p5C,AFR,aluminum,secondary,2060,0.646293106,kgco2e/kg
1p5C,AFR,aluminum,secondary,2070,0.639624334,kgco2e/kg
1p5C,AFR,aluminum,secondary,2080,0.637775006,kgco2e/kg
1p5C,AFR,aluminum,secondary,2090,0.631954518,kgco2e/kg
1p5C,AFR,aluminum,secondary,2100,0.630429008,kgco2e/kg
1p5C,AFR,brick,primary,2020,0.255354211,kgco2e/kg
1p5C,AFR,brick,primary,2025,0.25439529,kgco2e/kg
1p5C,AFR,brick,primary,2030,0.233040632,kgco2e/kg
1p5C,AFR,brick,primary,2040,0.224760201,kgco2e/kg
1p5C,AFR,brick,primary,2050,0.221729875,kgco2e/kg
1p5C,AFR,brick,primary,2060,0.220215128,kgco2e/kg
1p5C,AFR,brick,primary,2070,0.219133406,kgco2e/kg
1p5C,AFR,brick,primary,2080,0.218868301,kgco2e/kg
1p5C,AFR,brick,primary,2090,0.218697756,kgco2e/kg
1p5C,AFR,brick,primary,2100,0.21894062,kgco2e/kg
1p5C,AFR,concrete,primary,2020,0.124062386,kgco2e/kg
1p5C,AFR,concrete,primary,2025,0.1232993075,kgco2e/kg
1p5C,AFR,concrete,primary,2030,0.073853021,kgco2e/kg
1p5C,AFR,concrete,primary,2040,0.044939253,kgco2e/kg
1p5C,AFR,concrete,primary,2050,0.039019069,kgco2e/kg
1p5C,AFR,concrete,primary,2060,0.035205331,kgco2e/kg
1p5C,AFR,concrete,primary,2070,0.033547546,kgco2e/kg
1p5C,AFR,concrete,primary,2080,0.033995564,kgco2e/kg
1p5C,AFR,concrete,primary,2090,0.033541198,kgco2e/kg
1p5C,AFR,concrete,primary,2100,0.033388575,kgco2e/kg
1p5C,AFR,copper,primary,2020,5.671664441,kgco2e/kg
1p5C,AFR,copper,primary,2025,5.5737000525,kgco2e/kg
1p5C,AFR,copper,primary,2030,3.537172299,kgco2e/kg
1p5C,AFR,copper,primary,2040,2.764253245,kgco2e/kg
1p5C,AFR,copper,primary,2050,2.568063353,kgco2e/kg
1p5C,AFR,copper,primary,2060,2.488230133,kgco2e/kg
1p5C,AFR,copper,primary,2070,2.419654943,kgco2e/kg
1p5C,AFR,copper,primary,2080,2.402930078,kgco2e/kg
1p5C,AFR,copper,primary,2090,2.371150072,kgco2e/kg
1p5C,AFR,copper,primary,2100,2.36828894,kgco2e/kg
1p5C,AFR,copper,secondary,2020,1.650324957,kgco2e/kg
1p5C,AFR,copper,secondary,2025,1.6368501035,kgco2e/kg
1p5C,AFR,copper,secondary,2030,1.16054612,kgco2e/kg
1p5C,AFR,copper,secondary,2040,1.023224243,kgco2e/kg
1p5C,AFR,copper,secondary,2050,0.990030314,kgco2e/kg
1p5C,AFR,copper,secondary,2060,0.977676894,kgco2e/kg
1p5C,AFR,copper,secondary,2070,0.97394825,kgco2e/kg
1p5C,AFR,copper,secondary,2080,0.986396537,kgco2e/kg
1p5C,AFR,copper,secondary,2090,0.981132338,kgco2e/kg
1p5C,AFR,copper,secondary,2100,0.979990944,kgco2e/kg
1p5C,AFR,glass,primary,2020,1.128042383,kgco2e/kg
1p5C,AFR,glass,primary,2025,1.1136197635,kgco2e/kg
1p5C,AFR,glass,primary,2030,0.895308392,kgco2e/kg
1p5C,AFR,glass,primary,2040,0.795093691,kgco2e/kg
1p5C,AFR,glass,primary,2050,0.747515566,kgco2e/kg
1p5C,AFR,glass,primary,2060,0.72113265,kgco2e/kg
1p5C,AFR,glass,primary,2070,0.728788002,kgco2e/kg
1p5C,AFR,glass,primary,2080,0.755912338,kgco2e/kg
1p5C,AFR,glass,primary,2090,0.770691698,kgco2e/kg
1p5C,AFR,glass,primary,2100,0.773585957,kgco2e/kg
1p5C,AFR,mortar,primary,2020,0.219366782,kgco2e/kg
1p5C,AFR,mortar,primary,2025,0.21786172450000002,kgco2e/kg
1p5C,AFR,mortar,primary,2030,0.17901792,kgco2e/kg
1p5C,AFR,mortar,primary,2040,0.117691314,kgco2e/kg
1p5C,AFR,mortar,primary,2050,0.084204459,kgco2e/kg
1p5C,AFR,mortar,primary,2060,0.036386904,kgco2e/kg
1p5C,AFR,mortar,primary,2070,0.035249515,kgco2e/kg
1p5C,AFR,mortar,primary,2080,0.034792042,kgco2e/kg
1p5C,AFR,mortar,primary,2090,0.034473232,kgco2e/kg
1p5C,AFR,mortar,primary,2100,0.034462163,kgco2e/kg
1p5C,AFR,plaster,primary,2020,0.907684029,kgco2e/kg
1p5C,AFR,plaster,primary,2025,0.896430422,kgco2e/kg
1p5C,AFR,plaster,primary,2030,0.721269119,kgco2e/kg
1p5C,AFR,plaster,primary,2040,0.628473152,kgco2e/kg
1p5C,AFR,plaster,primary,2050,0.583241173,kgco2e/kg
1p5C,AFR,plaster,primary,2060,0.54982831,kgco2e/kg
1p5C,AFR,plaster,primary,2070,0.555299729,kgco2e/kg
1p5C,AFR,plaster,primary,2080,0.575536345,kgco2e/kg
1p5C,AFR,plaster,primary,2090,0.586518466,kgco2e/kg
1p5C,AFR,plaster,primary,2100,0.588678313,kgco2e/kg
1p5C,AFR,steel,primary,2020,2.096990073,kgco2e/kg
1p5C,AFR,steel,primary,2025,2.034599286,kgco2e/kg
1p5C,AFR,steel,primary,2030,1.538513113,kgco2e/kg
1p5C,AFR,steel,primary,2040,1.366545389,kgco2e/kg
1p5C,AFR,steel,primary,2050,1.329658031,kgco2e/kg
1p5C,AFR,steel,primary,2060,1.311838204,kgco2e/kg
1p5C,AFR,steel,primary,2070,1.310794726,kgco2e/kg
1p5C,AFR,steel,primary,2080,1.335356898,kgco2e/kg
1p5C,AFR,steel,primary,2090,1.411955249,kgco2e/kg
1p5C,AFR,steel,primary,2100,1.454755279,kgco2e/kg
1p5C,AFR,steel,secondary,2020,1.224899869,kgco2e/kg
1p5C,AFR,steel,secondary,2025,1.200297276,kgco2e/kg
1p5C,AFR,steel,secondary,2030,0.864496529,kgco2e/kg
1p5C,AFR,steel,secondary,2040,0.736201369,kgco2e/kg
1p5C,AFR,steel,secondary,2050,0.706308717,kgco2e/kg
1p5C,AFR,steel,secondary,2060,0.679295646,kgco2e/kg
1p5C,AFR,steel,secondary,2070,0.674721683,kgco2e/kg
