sector,scenario,scenario_name,year,embodied_MtCO2e,operational_MtCO2e,total_MtCO2e
Commercial,A_r,Combined R,2020,NA,899.0160490980055,NA
Commercial,A_r,Combined R,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,A_r,Combined R,2030,544.1776236665777,822.0585351157815,1366.2361587823593
Commercial,A_r,Combined R,2035,431.00029382021654,761.7079745994675,1192.7082684196841
Commercial,A_r,Combined R,2040,346.764232495348,674.168569295041,1020.932801790389
Commercial,A_r,Combined R,2045,281.62112963105005,630.7508235245219,912.371953155572
Commercial,A_r,Combined R,2050,239.85720582117867,623.6031562520858,863.4603620732645
Commercial,A_r,Combined R,2055,197.08871289549407,582.1425785772839,779.2312914727779
Commercial,A_r,Combined R,2060,176.96897994616063,541.813316749062,718.7822966952226
Commercial,A_r,Combined R,2070,163.69801354518677,441.03281890456276,604.7308324497495
Commercial,A_r,Combined R,2080,169.3452497558779,382.61896012281557,551.9642098786935
Commercial,A_r,Combined R,2090,168.31914190993734,339.33492643271046,507.6540683426478
Commercial,A_r,Combined R,2100,143.75307128698373,302.3643343077273,446.11740559471104
Commercial,A_tp,Combined TP,2020,NA,899.0160490980055,NA
Commercial,A_tp,Combined TP,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,A_tp,Combined TP,2030,435.0570671847236,818.3918942489655,1253.4489614336892
Commercial,A_tp,Combined TP,2035,304.23452055063996,757.3491448372984,1061.5836653879383
Commercial,A_tp,Combined TP,2040,207.37010228671656,671.7581391685468,879.1282414552634
Commercial,A_tp,Combined TP,2045,141.67377709802665,630.1069515608974,771.7807286589241
Commercial,A_tp,Combined TP,2050,108.61593909904067,624.0420236665921,732.6579627656328
Commercial,A_tp,Combined TP,2055,82.73983607779854,585.1022368389741,667.8420729167726
Commercial,A_tp,Combined TP,2060,73.10322577926047,546.7793522449341,619.8825780241946
Commercial,A_tp,Combined TP,2070,67.17322348573651,449.02725568714243,516.2004791728789
Commercial,A_tp,Combined TP,2080,73.66363043055443,391.0599514605669,464.7235818911213
Commercial,A_tp,Combined TP,2090,76.08361257490064,346.75612877648604,422.8397413513867
Commercial,A_tp,Combined TP,2100,64.72587490085812,308.1663334906692,372.89220839152733
Commercial,C_r,Close R,2020,NA,899.0160490980055,NA
Commercial,C_r,Close R,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,C_r,Close R,2030,605.2430419555257,824.2585196358714,1429.5015615913971
Commercial,C_r,Close R,2035,506.0302256297656,763.5979475954105,1269.628173225176
Commercial,C_r,Close R,2040,435.90989423236704,673.6646697914678,1109.5745640238347
Commercial,C_r,Close R,2045,382.3620952078506,627.7266580220751,1010.0887532299257
Commercial,C_r,Close R,2050,350.34501724428986,618.4597665099395,968.8047837542294
Commercial,C_r,Close R,2055,315.6739711471679,574.1527690350102,889.8267401821781
Commercial,C_r,Close R,2060,289.2155017128968,532.0259376132009,821.2414393260976
Commercial,C_r,Close R,2070,272.8786668277451,429.85581269122287,702.734479518968
Commercial,C_r,Close R,2080,270.1465453301358,372.8916015070547,643.0381468371904
Commercial,C_r,Close R,2090,255.18892638692708,332.34422645099687,587.5331528379239
Commercial,C_r,Close R,2100,211.8580670310109,298.2503256677296,510.10839269874054
Commercial,C_tp,Close TP,2020,NA,899.0160490980055,NA
Commercial,C_tp,Close TP,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,C_tp,Close TP,2030,605.2430419555257,824.2585196358714,1429.5015615913971
Commercial,C_tp,Close TP,2035,506.0302256297656,763.5979475954105,1269.628173225176
Commercial,C_tp,Close TP,2040,435.90989423236704,673.6646697914678,1109.5745640238347
Commercial,C_tp,Close TP,2045,382.3620952078506,627.7266580220751,1010.0887532299257
Commercial,C_tp,Close TP,2050,350.34501724428986,618.4597665099395,968.8047837542294
Commercial,C_tp,Close TP,2055,315.6739711471679,574.1527690350102,889.8267401821781
Commercial,C_tp,Close TP,2060,289.2155017128968,532.0259376132009,821.2414393260976
Commercial,C_tp,Close TP,2070,272.8786668277451,429.85581269122287,702.734479518968
Commercial,C_tp,Close TP,2080,270.1465453301358,372.8916015070547,643.0381468371904
Commercial,C_tp,Close TP,2090,255.18892638692708,332.34422645099687,587.5331528379239
Commercial,C_tp,Close TP,2100,211.8580670310109,298.2503256677296,510.10839269874054
Commercial,E_r,Efficiency R,2020,NA,899.0160490980055,NA
Commercial,E_r,Efficiency R,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,E_r,Efficiency R,2030,544.1776236665777,773.7503108244708,1317.9279344910485
Commercial,E_r,Efficiency R,2035,431.00029382018977,679.7178322843662,1110.718126104556
Commercial,E_r,Efficiency R,2040,346.7642324953085,567.9715997987132,914.7358322940217
Commercial,E_r,Efficiency R,2045,281.62112963122706,507.5272198571877,789.1483494884147
Commercial,E_r,Efficiency R,2050,239.85720582122482,488.14583146211976,728.0030372833446
Commercial,E_r,Efficiency R,2055,197.08871289527363,439.56627478037683,636.6549876756504
Commercial,E_r,Efficiency R,2060,176.9689799461165,396.0725283221726,573.0415082682891
Commercial,E_r,Efficiency R,2070,163.69801354519038,298.18045081951726,461.8784643647076
Commercial,E_r,Efficiency R,2080,169.34524975593035,248.58357991656683,417.92882967249716
Commercial,E_r,Efficiency R,2090,168.31914190998293,217.01154507886955,385.33068698885245
Commercial,E_r,Efficiency R,2100,143.75307128696986,192.7099165271744,336.4629878141443
Commercial,E_tp,Efficiency TP,2020,NA,899.0160490980055,NA
Commercial,E_tp,Efficiency TP,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,E_tp,Efficiency TP,2030,435.0570671847236,770.2311805249166,1205.2882477096402
Commercial,E_tp,Efficiency TP,2035,304.2345205506583,675.4425092486811,979.6770297993394
Commercial,E_tp,Efficiency TP,2040,207.37010228675376,565.1194778012518,772.4895800880056
Commercial,E_tp,Efficiency TP,2045,141.67377709807232,505.596847285573,647.2706243836453
Commercial,E_tp,Efficiency TP,2050,108.61593909910553,486.22503646211214,594.8409755612176
Commercial,E_tp,Efficiency TP,2055,82.73983607774503,438.83189031635715,521.5717263941021
Commercial,E_tp,Efficiency TP,2060,73.10322577920154,396.07121006810473,469.17443584730626
